003/Inst,001/BSN,OCLC number(s),245a/Title
UaCaAUL,b12167101,"60506176","Kitāb ḥusn al-ṣanīʻ fī ʻilm al-maʻānī wa-al-bayān wa-al-badīʻ /"
UaCaAUL,b12179851,"1088722240","Kitāb dalāʼil al-iʻjāz /"
UaCaAUL,b12182072,"61210491","Kitāb Ḥusn al-tawassul ilá ṣināʻat al-tarassul /"
UaCaAUL,b12188888,"318938401","al-Talkhīṣ fī ʻulūm al-balāghah /"
UaCaAUL,b12190202,"36530086","al-Aqṣá al-qarīb fī ʻilm al-bayān /"
UaCaAUL,b12193008,"22354936","al-Ḍarāʼir wa-mā yasūghu lil-shāʻir dūna al-nāthir /"
UaCaAUL,b12197178,"54291995","Shāʻirāt al-ʻArab fī al-Jāhilīyah wa-al-Islām /"
UaCaAUL,b12213846,"40593341","Hādhā kitāb Shifāʼ al-ghalīl fīmā fī kalām al-ʻArab min al-dakhīl /"
UaCaAUL,b1221386x,"10590658","Kitāb shifāʼ al-ghalīl fī-mā fī kalām al-ʻArab min al-dakhīl /"
UaCaAUL,b12215454,"60506212","Kitāb al-Alfāẓ al-kitābīyah /"
UaCaAUL,b12216380,"31193795","Jawāhir al-alfāẓ /"
UaCaAUL,b12229714,"318938094","al-Iʻtiṣām /"
UaCaAUL,b12237255,"43215742","al-ʻAmal al-maydānī fī al-rīf /"
UaCaAUL,b12245914,"60506224","Multaqá al-lughatayn al-ʻIbrīyah wa-al-ʻArabīyah ="
UaCaAUL,b12257394,"813672813","Kitāb Fiqh al-lughah /"
UaCaAUL,b12259032,"956971196","al-Mudun al-fāḍilah /"
UaCaAUL,b12259044,"12097811","Aḥlām al-falāsifah :"
UaCaAUL,b12266346,"145082169","Hādhā huwa kitāb al-Rijāl /"
UaCaAUL,b12280951,"31083690","Maṣraʻ al-taṣawwuf, aw, Tanbīh al-ghabī ilá takfīr Ibn ʻArabī wa-taḥdhīr al-ʻibād min ahl al-ʻinād /"
UaCaAUL,b12285225,"17854314","Min balāghat al-Qurʼān /"
UaCaAUL,b12286503,"977940792","Luʻab al-ʻArab /"
UaCaAUL,b12289735,"318938527","al-Sukkān wa-mawārid al-tharwah fī Miṣr /"
UaCaAUL,b12293817,"30474696","al-Istiʻmār wa-al-madhāhib al-istiʻmārīyah /"
UaCaAUL,b12298621,"318938930","Hādhā sharḥ al-faqīr ilá Rabbihi al-Ghanī Ibrāhīm ibn Aḥmad al-Mārghanī al-Tūnisī al-musammá (bi-Dalīl al-ḥayrān ʻalá Mawrid al-ẓamʼān) fī fannay al-rasm wa-al-ḍabṭ bi-iʻtibār qirāʼat al-Imām Nāfiʻ faqaṭ li-nāẓimihi al-shaykh al-imām al-ʻallāmah sayyidī Muḥammad ibn Muḥammad al-Sharīshī thumma al-Fāsī al-shahīr bi-al-Kharrāz, raḥimahu Allāh wa-raḍya ʻanhu, āmīn. Wa-yalīhi sharḥ laṭīf lil-shāriḥ al-madhkūr yusammá (Tanbīh al-Khullān ʻalá al-iʻlān bi-takmīl Mawrid al-ẓamʼān) fī rasm al-bāqī min qirāʼāt al-aʼimmah al-sabʻah al-aʻyān li-nāẓimihi al-imām al-fahhāmah al-shaykh sayyidī ʻAbd al-Wāḥid ibn ʻĀshir al-Andalusī, nafaʻanā Allāh bi-hi."
UaCaAUL,b12298645,"40970773","Kitāb al-lughāt fī al-Qurʼān /"
UaCaAUL,b12303136,"50548739","Sharḥ Murshid al-Ḥayrān ilá maʻrifat aḥwāl al-insān fī al-muʻāmalāt al-sharʻīyah ʻalá madhhab al-imām al-aʻẓam Abī Ḥanīfah al-Nuʻmān mulāʼiman li-sāʼir al-aqṭār al-Islāmīyah /"
UaCaAUL,b12303914,"122811833","Hibat al-Din̄ al-Shahrastan̄i ̄: "
UaCaAUL,b12313282,"23512142","Aḥsan mā katabt :"
UaCaAUL,b1231514x,"1057468513","al-Dīmuqrāṭīyah fī al-islām /"
UaCaAUL,b12316763,"264055289","al-Barlamān fī al-mīzān /"
UaCaAUL,b12316830,"1057485974","Ḥuqūq al-shaʻb /"
UaCaAUL,b1231898x,"31054174","Mabādiʼ ʻilm al-siyāsah /"
UaCaAUL,b1232856x,"318938590","Abḥāth wa-maqālāt /"
UaCaAUL,b12330012,"122795849","Thawrat al-adab /"
UaCaAUL,b12335496,"1057472437","al-Awḍāʻ al-barlamānīyah /"
UaCaAUL,b12351593,"122818324","Arbaʻat ʻashar ʻāmān fī al-Barlamān /"
UaCaAUL,b12353413,"864910510","Qalāʼid al-ʻiqyān :"
UaCaAUL,b12365786,"318939331","al-Juzʼ al-awwal[-al-thānī] min kitāb al-Maḥāsin wa-al-masāwī /"
UaCaAUL,b12369962,"34070402","Kitāb faḍl al-ʻaṭāʼ ʻalá al-ʻusr /"
UaCaAUL,b12370162,"23512508","al-Adab fī ẓill Banī Buwayh /"
UaCaAUL,b12371750,"427999475","Wuʻʻāẓ al-salāṭīn :"
UaCaAUL,b12374891,"264649584","Judud wa-qudamāʼ :"
UaCaAUL,b12386637,"31228097","Malāmiḥ wa-ghuḍūn :"
UaCaAUL,b12390744,"21688647","al-Ṭabʻ wa-al-Ṣanʻah fī al-shiʻr /"
UaCaAUL,b12394828,"23499058","Shiʻr al-ḥarb fī adab al-ʻArab fī al-ʻaṣrayn al-Umawī wa-al-ʻAbbāsī ilá ʻahd Sayf al-Dawlah /"
UaCaAUL,b12397295,"31912854","Kitāb maʻānī al-shiʻr /"
UaCaAUL,b12397374,"20111654","al-Muwāzanah bayna al-shuʻarāʼ"
UaCaAUL,b12397428,"318938686","Sharḥ al-Maḍnūn bi-hi ʻalá ghayr ahlih /"
UaCaAUL,b12400178,"23490914","Qānūn dīwān al-rasāʼil /"
UaCaAUL,b1241637x,"1057468431","al-Dīmuqrāṭīyah fī al-takwīn :"
UaCaAUL,b12451861,"85021106","al-Fallāḥūn /"
UaCaAUL,b12455295,"264902494|23503263","Kitāb nihāyat al-rutbah fī ṭalab al-ḥisbah /"
UaCaAUL,b12465392,"60506406","Mukhtārāt al-Manfalūṭī /"
UaCaAUL,b12465409,"318939174","Mukhtārāt al-Manfalūṭī /"
UaCaAUL,b12466281,"48384889","Kitāb Hadīyat al-umam wa-yanbūʻ al-ādāb wa-al-ḥikam /"
UaCaAUL,b12466463,"29927279","Mudhakkirāt fī adabīyāt al-lughah al-ʻArabīyah /"
UaCaAUL,b12474381,"60506417","al-Adab al-Miṣrī al-qadīm, aw, Adab al-farāʻinah /"
UaCaAUL,b12475506,"60498307","al-Ḥurrīyah /"
UaCaAUL,b12476821,"21242210","al-Marʼah fī al-tārīkh wa-al-sharāʼiʻ /"
UaCaAUL,b12479639,"60506425","Dirāsat al-Aghānī /"
UaCaAUL,b12479676,"708707311","Kitāb Nafḥ al-azʹhār fī muntakhabāt al-ashʻār /"
UaCaAUL,b12479688,"60506426","Kitāb Samīr al-jalīs fī maḥāsin al-takhmīs /"
UaCaAUL,b12483163,"17028818","al-Ḥālah al-ijtimāʻīyah fī Miṣr :"
UaCaAUL,b12483667,"11907606","al-Ṭarāʼif al-adabīyah :"
UaCaAUL,b12483680,"27808253","Ādāb al-ʻaṣr fī shuʻarāʼ al-Shām wa-al-ʻIrāq wa-Miṣr :"
UaCaAUL,b12483850,"10949700","Awhām shuʻarāʼ al-ʻArab fī al-maʻānī /"
UaCaAUL,b12485469,"30384697","Kitāb Shuʻarāʼ al-Naṣrānīyah /"
UaCaAUL,b12488331,"16944513","al-Bilād al-ʼArabīyah al-Suʼūdīyah."
UaCaAUL,b12493466,"43406771","Muḥāḍarāt fī iqtiṣādīyāt al-ʻIrāq /"
UaCaAUL,b12493569,"60498322","al-Taṭawwur al-iqtiṣādī fī Miṣr fī al-ʻaṣr al-ḥadīth /"
UaCaAUL,b12495979,"56199405|123339663","al-Ḥukm al-muṭlaq fī al-qarn al-ʻishrīn /"
UaCaAUL,b12496649,"1057470644","al-Dīmūqrāṭīyah :"
UaCaAUL,b12496741,"122789151","Kitāb Tansar :"
UaCaAUL,b12505936,"67309113","Mukhtārāt al-zuhūr :"
UaCaAUL,b12508524,"318939781","Mashākil al-ʻamal wa-al-ʻummāl /"
UaCaAUL,b12513271,"41102492","Ḍaḥāyā Miṣr fī al-Sūdān wa-khafāyā al-siyāsah al-Injilīzīyah /"
UaCaAUL,b12513593,"60498335","al-Ṣināʻah fī Miṣr :"
UaCaAUL,b12514093,"60498336","al-Ḥurrīyah wa al-dawlah /"
UaCaAUL,b12531583,"56800103|15268576","Shiʻr al-Ḥuṭayʼah /"
UaCaAUL,b12539880,"122686449","al-Mūjaz fī ʻilm al-iqtiṣād /"
UaCaAUL,b12548169,"39060300","Mushkilāt al-ʻālam al-ʻArabī /"
UaCaAUL,b1256543x,"318939923","Farāʼid al-laʼālī min rasāʼil al-Ghazzālī :"
UaCaAUL,b12565933,"32693302","Mulūk al-ṭawāʼif wa-naẓarāt fī tārīkh al-Islām /"
UaCaAUL,b12573541,"60498380","al-Majlis al-Dāʼim li-Tanmiyat al-Intāj al-Qawmī."
UaCaAUL,b1257367x,"122955477","ʻUẓamāʼ al-Farāʻinah, aw, Naẓrah fī tārīkh Miṣr al-qadīm /"
UaCaAUL,b12573681,"23490096|122825556","Akhī al-muwāṭin /"
UaCaAUL,b12576529,"20456033","Mashākil Miṣr al-iqtiṣādīyah :"
UaCaAUL,b12577959,"10058520","Miṣr fī ʻaṣr al-Ikhshīdīyīn /"
UaCaAUL,b12588507,"60498395","al-Madhāhib al-siyāsīyah al-muʻāṣirah /"
UaCaAUL,b12595615,"60498410","Taymūrlank /"
UaCaAUL,b12596309,"122641585","Miṣr fī Hayʼat al-Umam al-Muttaḥidah, 1947 :"
UaCaAUL,b12596449,"60498411","al-Muʼtamar al-Āsiyawī al-Afrīqī al-Awwal al-maʻqūd fī Bāndūnj bi-Indūnīsīyā (18-24 Abrīl sanat 1955) /"
UaCaAUL,b12603181,"122795089","Baḥth mīzanīyat al-usrah fī al-rīf bi-Jumhūriyat Miṣr ʻām 1955 /"
UaCaAUL,b12612273,"122955517","Tārīkh Miṣṛ al-ḥadīth /"
UaCaAUL,b12643075,"10207437","Amrīkā taḥta al-maykrūskūb ="
UaCaAUL,b12643087,"60498458","Tārīkh al-barīd fī Miṣr :"
UaCaAUL,b12645308,"122823080","Daʻāʼim al-intāj al-ʻālamī wa-al-tijārah al-dawlīyah /"
UaCaAUL,b12650778,"16151560","al-Maʼāṣir fī bilād al-Rūm wa-al-Islām /"
UaCaAUL,b12652957,"33855002|43222361","al-Marʼah al-Muslimah /"
UaCaAUL,b12656045,"60509348","al-Azamāt wa-al-siyāsāt al-naqdīyah /"
UaCaAUL,b12658972,"30026127","al-Nuqūd /"
UaCaAUL,b12658984,"23501516","al-Nuqūd wa-al-bunūk fī al-bilād al-ʻArabīyah /"
UaCaAUL,b12667511,"29796996","Mūjaz ʻilm al-mālīyah al-ʻāmmah wa-al-tashrīʻ al-mālī al-ʻIrāqī /"
UaCaAUL,b12671071,"123800224|43736092|17738457","Fatāwá al-Subkī /"
UaCaAUL,b12671927,"60498511","al-Sulṭah fī al-mujtamaʻ /"
UaCaAUL,b12676287,"60498535|40776203","al-Madkhal ilá ʻilm al-nafs al-jamāʻī /"
UaCaAUL,b12676457,"60498537","Sirr taṭawwur al-umam /"
UaCaAUL,b12678351,"29051822","Kashf al sitār ʻan sirr al-asrār :"
UaCaAUL,b12680813,"60498553","Uṣūl al-khidmah al-ijtimāʻīyah /"
UaCaAUL,b12685902,"60498561","al-Qawānīn al-ijtimāʻīyah /"
UaCaAUL,b12689257,"123318923","Tārīkh ḥayāt al-maghfūr la-hu ʻAlī Mubārak Bāshā /"
UaCaAUL,b12690454,"318940482","Wizārat al-Shuʼūn al-Ijtimāʻīyah :"
UaCaAUL,b1269292x,"22172142|183907335","al-Qaḍīyah al-Miṣrīyah 1882-1954."
UaCaAUL,b12703771,"968154706","Li-kay lā taḥruthū fī al-baḥr /"
UaCaAUL,b12706917,"60498622","Taqrīr ʻan Intishār al-bighāʼ wa-al-amrāḍ al-tanāsulīyah bi-al-quṭr al-Miṣrī :"
UaCaAUL,b12706954,"60498623","al-Mushkilah al-zawjīyah :"
UaCaAUL,b12712735,"43979998","Malāmiḥ min al-mujtamaʻ al-ʻArabī /"
UaCaAUL,b12714203,"60498644","Rawḍat al-muḥibbīn wa-nuzʹhat al-mushtāqīn /"
UaCaAUL,b12717277,"40728791|5245904","al-Marʼah fī ʻaṣr al-dīmuqrāṭīyah :"
UaCaAUL,b12719006,"60498658|1048973216|1033846399","Qawlī fī al-marʼah wa-muqāranatuhu bi-aqwālin muqallidat al-gharb /"
UaCaAUL,b1272483x,"1033893106|1048981723|40579392|69878966","Rūḥ al-Māsūnīyah wa-āmāl al-insānīyah /"
UaCaAUL,b12730348,"60498685","al-Usus al-nafsīyah lil-takāmul al-ijtimāʻī :"
UaCaAUL,b1273259x,"122817590","Fann khidmat al-Jamāʻah /"
UaCaAUL,b12734305,"123004545","Qānūn al-ḍamān al-ijtimāʻī :"
UaCaAUL,b12739340,"43516746","al-Quṭn al-Miṣrī :"
UaCaAUL,b12750918,"80999733","al-Tazwīr fī al-awrāq /"
UaCaAUL,b12754547,"122726080","Imbrāṭūrīyat al-ʻabīd al-sūfyatīyah /"
UaCaAUL,b12762660,"318940855","Fī aʻqāb al-thawrah al-Miṣrīyah /"
UaCaAUL,b12770917,"318941173","Tarbiyat al-nafs bi-al-nafs /"
UaCaAUL,b1280051x,"60498792","al-Qānūn al-dustūrī /"
