1621570	31924075853014	 	1981	ir 	0  M. ʻA. T. (Taraqqī, Muḥammad ʻAlī)		10 Farhang-i Khayyām, ʻArabī-Fārsī : shāmil-i 45 hazār vāzh-i muṣṭalah-i Fārsī, ʻArabī, Turkī bi-z̤amīnah-ʾi farhang-i lughat-i pazīraftah shuda Urūpāʾī va vazhahʹhā-yi naw-i Farhangistān / taʾlīf, M.ʻA.T. [Muḥammad ʻAlī Taraqqī].	   [Tehran] : Kitābfurūshī-i Khayyām, 1359 [1981]	  |672 p. ;|15 cm.	   Arabic and Persian.	 4 Arabic language dictionaries Persian.	PJ6636.P4 T17 1981	olin,anx				cornell_aco_0005
1930284	31924067532501	juz15 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0105
1930284	31924067532642	juz16 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0106
1930284	31924067532659	juz18 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0107
1930284	31924067532808	juz17 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0108
1930284	31924067532816	juz20 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0109
1930284	31924067532964	juz19 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0110
1931250	31924060247719	juz1 	1935	le 	1  Jabbūr, Jibrāʼīl Sulaymān.		10 ʻUmār ibn Abī Rabīʻah : wa-huwa dirāsah taḥlīlīyah fī thalāthat ajzāʼ tabḥathu fī ʻaṣrihi wa-ḥayātihi wa-shiʻrihi / bi-qalam Jibrāʼīl Sulaymān Jabbūr.	   [S.l. : s.n., 1935]- (Bayrūt : al-Maṭbaʻah al-Kāthūlīkīyah)	  |v. :|facsims., geneal. tables ;|25 cm.	   Added t.p.: ʻUmar ibn Abī Rabīʻah, his age, life and works, by Jibrāʼīl S. Jabbūr.|   Vol. 2 has imprint al-Maṭbaʻah al-Amīrikānīyah.|   Includes bibliographies.|   al-Juzʼ 1: ʻAṣr Ibn Abī Rabīʻah --al-Juzʼ 2: Ḥayāt ibn Abī Rabīʻah.	10 ʻUmar ibn Abī Rabīʻah, 643 or 644-711 or 712	PJ7700.U48 J12	olin				cornell_aco_0111
3529898	31924026869390	 	1954	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		10 Shajaret al bu's / Tāhā Husayn.	   al Qahera : Dar al ma'ref, 1954.	  |188 p. ;|19 cm.			PJ7864.A28 S5	olin				cornell_aco_0143
3529899	31924026869408	 	1949	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		13 al-Waʻd al-ḥaqq / Ṭāhā Ḥusayn.	   Miṣr : Dār al-Maʻārif, [1949]	  |169 p. ;|21 cm.	   A novel.		PJ7864.A28 W2	olin				cornell_aco_0144
3530146	31924026871917	 	1968	iq 	0  Ruʼbah ibn al-ʻAjjāj, -762?		10 Majmūʻ ashʻār al-ʻArab.	   [Baghdad : Maktabat al-Muthanna, 1968?]	  |191, 122, cxii p.|25 cm.	   Vocalized.|   Reprint of the ed. published in Berlin, 1903.|   Original t.p.: Der Dīwān des Reḡezdichters Rūba ben elʻAḡḡāḡ.		PJ7700 .R89 1968	olin				cornell_aco_0145
