1909429	31924074332481	juz3 	1901	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá  Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [S.l. : s.n. ; 1901 or 2] ([Cairo : al-Maṭbaʻah al-Sharafīyah])	  |4 v. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar	Oversize PJ6101.I23 S12 1901a +	olin				cornell_aco_0061
1909429	31924074332499	juz1 	1901	ua 	1  Ṣabbān, Muḥammad ibn ʻAlī, -1791 or 1792.		10 Ḥāshiyat al-ʻallāmah al-Ṣabbān ʻalá sharḥ al-Ushmūnī ʻalá  Alfīyat al-imām Ibn Mālik fī al-naḥw wa-alṣarf. Wa-bihāmishihi Sharḥ al-al-Ushmūnī maʻa baʻḍ taqrīrāt Aḥmad al-Rifāʻī.	   [S.l. : s.n. ; 1901 or 2] ([Cairo : al-Maṭbaʻah al-Sharafīyah])	  |4 v. ;|29 cm.	   Photocopy. [s.l.] : Ridley's Book Bindery, 1992. 29cm.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah| 0 Arabic language Grammar	Oversize PJ6101.I23 S12 1901a +	olin				cornell_aco_0062
1919046	31924074417019	juz 1 	1887	ua 	1  Dasūqī, Muḥammad ibn Aḥmad ibn ʻArafah, -1815.		10 Ḥāshiyat al-ʻallāmah al-muḥaqqiq al-fahhāmah al-shaykh Muhammad ʻArafah al-Dasūqī ʻalá matn Mughnī al-labīb li-al-Imām al-qudwah Ibn Hishām al-Anṣārī ... (wa-bi-hāmishihi Mughnī al-labīb al-madhkūr).	   [Cairo] : al-Maṭbaʻah al-Maymanīyah, 1305 [i.e. 1887 or 8]	  |2 v. ;|28 cm.		10 Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360. Mughnī al-labīb ʻan kutub al-aʻārīb.| 0 Arabic language Grammar.	Oversize PJ6101 .D23 1887a +	olin				cornell_aco_0069
1919046	31924074417027	juz 2 	1887	ua 	1  Dasūqī, Muḥammad ibn Aḥmad ibn ʻArafah, -1815.		10 Ḥāshiyat al-ʻallāmah al-muḥaqqiq al-fahhāmah al-shaykh Muhammad ʻArafah al-Dasūqī ʻalá matn Mughnī al-labīb li-al-Imām al-qudwah Ibn Hishām al-Anṣārī ... (wa-bi-hāmishihi Mughnī al-labīb al-madhkūr).	   [Cairo] : al-Maṭbaʻah al-Maymanīyah, 1305 [i.e. 1887 or 8]	  |2 v. ;|28 cm.		10 Ibn Hishām, ʻAbd Allāh ibn Yūsuf, 1309-1360. Mughnī al-labīb ʻan kutub al-aʻārīb.| 0 Arabic language Grammar.	Oversize PJ6101 .D23 1887a +	olin				cornell_aco_0070
1930284	31924067532212	juz1 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0091
1930284	31924067532220	juz2 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0092
1930284	31924067532238	juz8 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0093
1930284	31924067532287	juz7 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0098
1930284	31924067532295	juz4 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0099
1930284	31924067532394	juz3 	1936	ua 	0  Yāqūt ibn ʻAbd Allāh al-Ḥamawī, 1179?-1229.	10 Irshād al-arīb ilá maʻrifat al-adīb	10 Muʻjam al-udabāʼ / li-Yāqūt ; rājaʻathu Wizārat al-Maʻārif al-ʻUmūmīyah.	   al-Qāhirah : Dār al-Maʼmūn, [1936-1938]	  |20  v. ;|24 cm.	   Title in v. 1, p. 65: Irshād al-arīb ilá maʻrifat al-adīb.|   Edited by Aḥmad Farīd al-Rifāʻī.	 0 Islamic Empire Biography Dictionaries Arabic.| 0 Authors, Arab Islamic Empire Biography Dictionaries Arabic.| 0 Muslim scholars Islamic Empire Biography Dictionaries Arabic.| 0 Philologists Islamic Empire Biography Dictionaries Arabic.	PJ7521 .Y25 1936	olin				cornell_aco_0100
