1910202	31924060327438	 	1945	su 	1  Ibn Qudāmah al-Maqdisī, Muḥammad ibn Aḥmad, 1306-1344.		10 Kitāb al-muḥarrar fī al-ḥadīth fī bayān al-aḥkām al-sharʻīyah / taʾlīf Shams al-Dīn Abī ʻAbd Allāh Muḥammad ibn ʻImād al-Dīn Aḥmad ibn ʻAbd al-Hādī al-Maqdisī al-Ḥanbalī al-shahīr bi-Ibn Qudāmah.	   Makkah : Muḥammad Saʻīd Fidā wa-Shurakāh, [1945?] ; (Miṣr : al-Maṭbaʻah al-Tijārīyah).	  |220 p. ;|25 cm.		 0 Islamic law.| 0 Hadith.| 0 Hanbalites.	BP135.A3 I15	olin,anx				cornell_aco_0475
1910691	31924068105471	juz4 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0460
1910691	31924068105620	juz3 	1927	ua 	1  Muḥammad ʻAbduh, 1849-1905.		10 Tafsīr al-Qurʼān al-ḥakīm : [al-mushtahar bi-ism Tafsīr al-Manār] / Muḥammad ʻAbduh ; taʹlīf Muḥammad Rashīd Riḍā.	   al-Qāhirah : Maṭbaʻat al-Manār, 1324-1346 [i.e. 1906 or 7-1927 or 8]	  |10 v. ;|25 cm.	   Includes indexes.|   Vols. 7-8 have: al-Ṭabʻah 2.	00 Qurʼan Commentaries.	BP130.4 .M939	olin,anx				cornell_aco_0459
1918784	31924068870728	juz3:qism1 	1956	ir 	1  Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?		13 al-Istibṣār fī-mā ikhtalafa min al-akhbār / taʾlīf Abī Jaʻfar Muḥammad ibn al-Ḥasan al-Ṭūsī ; ashrafa ʻalá taḥqīqihi wa-al-taʻlīq ʻalayhi Ḥasan al-Mūsawī al-Kharsān ; ʻuniya bi-nashrihi ʻAlī al-Ākhwandī.	   Najaf : Dār al-Kutub al-Islāmīyah, [1956-1957]	  |3 v. in 4 :|facsims. ;|25 cm.	   Includes bibliographical references.	 0 Hadith (Shiites) Early works to 1800.	BP193.25 .T96 1956	olin,anx				cornell_aco_0458
1918784	31924068870736	juz3:qism2 	1956	ir 	1  Ṭūsī, Muḥammad ibn al-Ḥasan, 995-1067?		13 al-Istibṣār fī-mā ikhtalafa min al-akhbār / taʾlīf Abī Jaʻfar Muḥammad ibn al-Ḥasan al-Ṭūsī ; ashrafa ʻalá taḥqīqihi wa-al-taʻlīq ʻalayhi Ḥasan al-Mūsawī al-Kharsān ; ʻuniya bi-nashrihi ʻAlī al-Ākhwandī.	   Najaf : Dār al-Kutub al-Islāmīyah, [1956-1957]	  |3 v. in 4 :|facsims. ;|25 cm.	   Includes bibliographical references.	 0 Hadith (Shiites) Early works to 1800.	BP193.25 .T96 1956	olin,anx				cornell_aco_0457
1926604	31924060327529	 	1965	iq 	1  Rāwī, Thābit Ismāʻīl.		13 al-ʻIrāq fī al-ʻaṣr al-Umawī : min al-nāḥiyah al-sīyāsīyah wa-al-idārīyah wa-al-ijtimāʻīyah / Thābit Ismāʻīl al-Rāwī.	   Baghdād : Manshūrāt Maktabat al-Nahḍah, [1965]	  |288 p. ;|24 cm.	   Originally presented as the author's thesis (master's)--Jāmiʻat al-Iskandarīyah, 1959.|   Cover title: Iraq in the Umayyad period, political, social and administral [sic] aspects, by Thabit al-Rawi.|   Bibliography: p. 281-285.	 0 Iraq History.	DS76 .R25	olin,anx				cornell_aco_0483
1926610	31924068871411	 	1950	ua 	1  Maudoodi, Syed Abul ʻAla, 1903-1979.		10 Minhāj al-inqilāb al-Islāmī / Abū al-Aʻlá al-Mawdūdī.	   [Cairo : Lajnat al-Shabāb al-Muslim, 195-] ([Cairo] : Maṭbaʻat Dār al-Kitāb al-ʻArabi)	  |86 p. ;|17 cm.	   "Muʻarrab ʻan al-Urdīyah."	 0 Islam and state                                	JC49.M44 M66 1950	olin,anx				cornell_aco_0470
1927971	31924060315789	 	1926	ua 	1  Ṭaraṣūṣī, Ibrāhīm ibn ʻAlī, 1320-approximately 1356.		13 al-Fatāwá al-Ṭarasūsīyah, aw, anfaʻ al-wasāʼil ilá taḥrīr al-masāʼil / li-Najm al-Dīn Ibrāhīm ibn ʻAlī ibn Aḥmad ibnʻAbd al-Wāḥid ibn ʻAbd al-Munʻim ibn ʻAbd al Ṣamad al-Ṭarsūsī ; ṣaḥḥaḥahu wa-rājaʻa nuqūlahu Muṣṭafá Muḥammad Khafājī wa-Maḥmūd Ibrāhīm.	   Miṣr : Maṭbaʻat al-Sharq, 1926.	  |355 p. ;|25 cm.		 0 Fatwas.| 0 Hanafites.	BP148 .T17	olin,anx				cornell_aco_0476
1928254	31924068871528	 	1953	ua 	1  Marzūq, Muḥammad ʻAbd al-ʻAzīz.		10 Bayna al-āthār al-Islāmīyah fī al-ʻālam / bi-qalam Muḥmmad ʻAbd al-ʻAzīz Marzūq.	   [S.l : s.n], 1953 (al-Iskandarīyah : Maṭābiʻ Ramīs)	  |95 p. :|ill. ;|23 cm.	   Includes bibliographical references and index.	 0 Islamic architecture.	NA380 .M37	olin,anx				cornell_aco_0468
1931268	31924068913304	 	1964	iq 	1  Zamlakānī, ʻAbd al-Wāḥid ibn ʻAbd al-Karīm, -1253.		13 al-Tibyān fī ʻilm al-bayān : al-muṭallaʻ ʻalā iʻjāz al-Qurʹān / li-Ibn al-Zamalkānī ; taḥqīq Aḥmad Maṭlūb, Khadījah al-Ḥadīthī.	   Baghdād : Maktabat al-ʻĀnī, 1964.	  |256 p. ;|24 cm.	   Includes bibliographical references and index.	00 Qurʼan Language, style.|00 Qurʼan Commentaries.|00 Qurʼan Evidences, authority, etc.	BP130.73 .Z25	olin,anx				cornell_aco_0478
1933410	31924068907074	 	1950	ua 	1  Ẉāfī, ʻAlī ʻAbd al-Wāḥid.		10 Ibn Khaldūn : munshiʾ ʻilm al-ijtijmāʻ / taʾlīf ʻAlī ʻAbd al-Wāhid Wāfī.	   Fajjālah : Maktabat Nahḍat Miṣr, [195-]	  |150 p. ;|22cm.  	   Includes bibliographical references.	00 Ibn Khaldūn, 1332-1406.| 0 History Philosophy.	D116.7.I3 W123	olin,anx				cornell_aco_0464
1935407	31924068913031	 	1899	le 	1  Afghānī, Muḥammad ʻAbd al-Bāqī, active 19th century.	10 Qawl al-wāthiq fī uṣūl ḥadīth al-Nabī la-ṣādiq	10 Kitāb al-Qawl al-wāthiq fī uṣūl ḥadīth al-Nabī la-ṣādiq / taʼlīf Muḥammad ʻAbd al-Bāqī al-Afghānī.	   [Beirut? : s.n.]; 1317 [i.e. 1899 or 1900]	  |51 p. ;|24 cm.		 0 Hadith.	BP136.7 .A25	olin,anx				cornell_aco_0477
2817054	31924024779534	 	1955	ua 	1  Ibn Juljul, Sulaymān ibn Ḥassān, 944-		10 Ṭabaqāt al-aṭibbāʼ wa-al-ḥukamāʼ / taʼlīf Abī Dāwūd Sulaymān ibn Ḥassān al-Andalusī al-maʻrūf bi-Ibn Juljul ; bi-taḥqīq Fuʼād al-Sayyid.	   al-Qāhirah : Maṭbaʻat al-Maʻhad al-ʻIlmī al-Faransī lil-Āthār al-Sharqīyah, 1955.	  |48, 138, 10 p. ;|25 cm.	   Added t. p.: Les générations des médecins et des sages (Ṭabaqāt al-ʼaṭibbāʼ wal-ḥukamāʼ); écrit composé en 377 H. par Abū Dāwūd Sulaïmān ibn Ḥassān ibn Ǧulǧul Andalusī; éd. critique par Fuʼād Sayyid.|   Bibliographical footnotes.	 0 Medicine, Arab.	R128.3 .I13 1955	olin,anx				cornell_aco_0473
3763233	31924091771570	v.3 	1955	ua 	1  Ḥasan, Ḥasan Ibrāhīm.		10 Tārīkh al-Islām al-siyāsī / taʼlīf Ḥasan Ibrāhīm Ḥasan.	   al-Qāhirah : Maktabah al-Tijāriyah al Kubrá, 1955-	  |v. :|ill., maps ;|27 cm.	   Includes bibliographical references.|1  juzʼ 1. Tarikh al-ʻArab qabla al-Islam. -- juzʻ 2. al-ʻAṣr al- ʻAbbāsī al-awwal, 132-232 H. -- juzʼ 3. al-ʻAṣr al-ʻAbbāsī al-thānī, 232-447 H.	 0 Islamic Empire History.| 0 Islamic civilization.	Oversize DS223 .H34 +	olin,anx				cornell_aco_0463
3763233	31924091771588	v.4 	1955	ua 	1  Ḥasan, Ḥasan Ibrāhīm.		10 Tārīkh al-Islām al-siyāsī / taʼlīf Ḥasan Ibrāhīm Ḥasan.	   al-Qāhirah : Maktabah al-Tijāriyah al Kubrá, 1955-	  |v. :|ill., maps ;|27 cm.	   Includes bibliographical references.|1  juzʼ 1. Tarikh al-ʻArab qabla al-Islam. -- juzʻ 2. al-ʻAṣr al- ʻAbbāsī al-awwal, 132-232 H. -- juzʼ 3. al-ʻAṣr al-ʻAbbāsī al-thānī, 232-447 H.	 0 Islamic Empire History.| 0 Islamic civilization.	Oversize DS223 .H34 +	olin,anx				cornell_aco_0462
4437516	31924092311095	v.1 	1947	le 	1  Zamakhsharī, Maḥmūd ibn ʻUmar, 1075-1144.	10 Kashshāf	13 al-Kashshāf ʻan ḥaqāʼiq ghawāmiḍ al-tanzīl wa-ʻuyūn al-aqāwīl fī wujūh al-taʼwīl / wa-huwa tafsīr al-Qurʼān al-karīm.  Wa-bi-dhaylihi arbaʻat kutub: al-awwal: al-intiṣāf li-Aḥmad ibn al-Munayyir al-Iskandarī, al-thānī: al-Kāfī al-shāfī fī takhrīj aḥādīth al-kashshāf lil-Ḥāfiẓ Ibn Ḥajar al-ʻAsqalānī, al-thālith : ḥāshiyat Muḥammad ʻIlyān al-Marzūqī ʻalá tafsīr al-kashshāf, al-rābiʻ : mashāhid al-inṣāf ʻalá shawāhid al-kashshāf li-Muḥammad ʻIlyān al-Madhkūr.	   Bayrūt : Dār al-Kitāb al-ʻArabī, [1947]	  |4 v. ;|25 cm.	   In Arabic.	00 Qurʼan Criticism, interpretation, etc. Early works to 1800.|00 Qurʼan Hermeneutics Early works to 1800.	BP130.4 .Z23 1947	olin,anx				cornell_aco_0461
