1685221	31924063407823	 	1952	le 	1  Ḥusaynī, Isḥāq Mūsá.		13 al-Ikhwān al-Muslimūn : kubrá al-ḥarakāt al-Islāmīyah al-ḥadīthah / taʾlīf Isḥāq Mūsá al-Ḥusaynī.	   Bayrūt : Dār Bayrūt, 1952.	  |217 p. ;|21 cm.	   "Murājiʻ wa-shurūḥ" p. 185-210.|   Includes bibliographical references.	20 Jamʻīyat al-Ikhwān al-Muslimīn (Egypt)| 0 Islam and politics Egypt 20th century.| 0 Egypt Politics and government 20th century.	DT107.82 .H96	olin,anx				cornell_aco_0512
1685233	31924074300603	 	1952	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 ʻUrābī : al-zaʻīm al-thāʼir / taʼlīf ʻAbd al-Raḥmānal-Rāfiʻī.	   [Cairo] : Dār al-Hilāl, 1952.	  |223 p. :|port. ;|17 cm.	   Photocopy. Ithaca, N.Y. : Cornell University Library, 1993. 18 cm.	10 ʻUrābī, Aḥmad, 1840 or 1841-1911.	DT107.4 .R13 1952a	olin,anx				cornell_aco_0508
1686266	31924063407815	 	1950	ua 	1  Khallāf, ʻAbd al-Munʻim Muḥammad.		13 al-ʻaql al-muʾmin, aw, al-Dīn min ṭarīq al-fikr/ ʻAbd al-Munʻim Muḥammad Khallāf.	   [Cairo] : Dār al-Kitāb al-ʻArabī, [1951]	  |141 p. ;|22 cm.		 0 Islam Apologetic works.| 0 Islam and philosophy.	BP170 .K455	olin,anx				cornell_aco_0496
1686473	31924063269199	 	1950	ku 	1  Ghazālī, Muḥammad, 1917-		10 Kifāḥ dīn / Muḥammad al-Ghazālī.	   [Cairo : s.n, 195-] ([Cairo] : Maṭābiʻ al-Kitāb al-ʻArabī)	  |285 p. ;|24 cm.	   Includes bibliographical references.	 0 Islam 20th Century.| 0 Islam Relations Christianity.| 0 Christianity and other religions Islam.	BP163 .G39 1950	olin,anx				cornell_aco_0502
1743368	31924051577405	 	1953	le 	1  Sulaymān, Kāmil.		13 al-Ḥasan ibn ʻAlī : [dirāsah wa-taḥlīl] / taʼlīf Kāmil Sulaymān.	   Bayrūt : Manshūrāt Dār al-Fikr, 1953.	  |223 p. ;|23 cm.	   Includes bibliographical references (p. 219-223).	00 Ḥassan ibn ʻAlī, -approximately 669.	BP80.H29 S49	olin,anx				cornell_aco_0504
1743690	31924051579138	 	1954	ua 	1  Maqār, Tawfīq.		13 al-ʻAdālah al-ijtimāʻīyah wa-ḥuqūq al-fard / ishtaraka fī iʻdād hādhā al-kitāb Tawfīq Maqār, Muḥammad ʻAbd al-Qādir Ḥāfiẓ.	   [al-Qāhirah] : Dār al-Maʻārif, [1954?]	  |159 :|ill. ;|19 cm.  		 0 Social justice.	HM216 .M291	olin,anx				cornell_aco_0507
1880697	31924068906787	 	1981	ir 	1  Ibn al-Muṭahhar al-Ḥillī, ḥasan ibn Yūsuf , 1250-1325.		10 Rijāl al-ʻallāmah al-Ḥillī / taʾlīf al-Ḥasan bin Yūsuf bin ʻAlī bin Muṭahhar al-Ḥillī.	   Qum : Manshūrāt al-Riḍā , 1402 [i.e. 1981 or 2]	  |296 p. ;|24 cm.	   "Muṣaḥḥaḥah ʻalá nuskhat Muḥammad Ṣādiq Baḥr al-ʻUlūm."|   Reprint. Originally published: Najaf : al-Maṭbaʻah al-Ḥaydarīyah, 1961.|   Includes bibliographical references.	 0 Hadīth  Dictionaries Arabic Early works to 1800.| 0 Arabic language Dictionaries.	BP135.2 .I138	olin,anx				cornell_aco_0505
1911759	31924060247446	 	1960	iq 	1  Āl Kāshif al-Ghiṭāʾ, Muḥammad al-Ḥusayn, 1877-1954.		13 al-Arḍ wa-al-turbah al-Ḥusaynīyah / taʾlīf Muḥammad al-Ḥusayn Āl Kāshif al-Ghiṭāʾ.	   [S.l. : s.n.], 1960] (al-Najaf : al-Maṭbaʻah al-Ḥaydarīyah)	  |70 p. ;|22 cm.		 0 Mausoleums Iraq.| 0 Shiites Mausoleums.	BP192.7.I7 A31	olin,anx				cornell_aco_0498
1926606	31924068871957	 	1954	ua 	1  Bannā, Ḥasan, 1906-1949.		10 Daʻwatunā fī ṭawr jadīd / li-Ḥasan al-Bannā.	   al-Qāhirah : Dār al-Kitāb al-ʻArabī, [1954]	  |32 ;|17 cm.		 0 Religious life Islam.| 0 Islam and politics.| 0 Islam 20th century.	BP188 .B21	olin,anx				cornell_aco_0500
1930299	31924060302399	 	1946	mr 	1  Ṭawd, ʻAbd al-Salām Aḥmad.		10 Banū ʻAbbād bi-Ishbīlīyah / bi-qalam ʻAbd al-Salām Aḥmad al-Ṭawd.	   Tiṭwān : Maʻhad Mawlāy al-Ḥasan, 1946 [i.e. 1949]	  |300 p. ;|22 cm.	   Bibliography: p. 281-[289]|   "Hādhā al-baḥth nāla iʻjāb al-lajnah allatī allafahā al-Majlis al-Aʻlá lil-Azhar ... wa-baʻda al-munāqashah qarrarat al-Lajnah manḥī shahādat al-ʻĀlamīyah min darajat Ustādh"	 0 Abbadides.| 0 Seville (Spain: Province) History.	DP302.S59 T23	olin,anx				cornell_aco_0485
1931246	31924067181853	 	1904	ua 	1  Daljī, Aḥmad ibn ʻAlī, 1368?-1434 or 1435.		13 al-Falākah wa-al-maflūkūn / taʼlīf Aḥmad ibn ʻAlī al-Daljī.	   [Cairo] : Maṭbaʻat al-Shaʻb, 1322 [i. e. 1904 or 1905]	  |145 p. ;|24 cm.		 0 Poverty Religious aspects Islam.| 0 Soul (Islam)	BP190.5.P6 D14	olin,anx				cornell_aco_0501
1932518	31924074282124	 	1878	tu 	0  Muḥammad Ṣiddīq Ḥasan, Nawab of Bhopal, 1832-1890.		10 Luqṭat al-ʻajlān mimmā tamassu ilá maʾrifatihi ḥājat al-insān. wa-fī ʾakhirihā Khabiʾat al-akwān fī iftirāq al-umam ʻalʾa al-madhāhib wa-al-adyān. taʾlīf Muḥammad Ṣiddīq Ḥasan Khān.	   [Āsitānah], Maṭbaʻat al-Jawāʾib, 1296 [1878 or 1879]	  |4, 318, 8 p.|25 cm.	   Photocopy. [Ithaca, N.Y.] : Ridley's Book Bindery, 1992. 24 cm.	 0 Handbooks, vade-mecums, etc.	AG190.A7 M95 1878a	olin,anx				cornell_aco_0510
2853443	31924073202313	 	1965	ir 	0  Masʻūdī, -956?	10 Ithbāt al-waṣīyah li-ʻAlī ibn Abī Ṭālib. Arabic	10 Tarjamh-ʼi Kitāb ithbāt al-waṣīyah li-ʻAlī ibn Abī Ṭālib / muʼallif ʻAlī Masʻūdī ; mutarjim Muḥammad Javād Najafī.	   Tihrān : Kitābfurūshi-i Islāmīyah-i, 1343 [1965 or 1966]	  |514 p. ;|23 cm.		00 ʻAlī ibn Abī Ṭālib, Caliph, approximately 600-661.	BP193.1.A3 M42 1924	olin,anx				cornell_aco_0499
3763940	31924028637274	 	1957	ae 	0  Idrīsī, approximately 1100-1166.	10 Nuzhat al-mushtāq fī ikhtirāq al-āfāq. Selections	10 Waṣf Ifrīqiyā al-Shamālīyah wa-al-Ṣaḥrāwīyah : maʼkhūdh min Kitāb Nuzhat al-mushtāq fī ikhtirāq al-āfāq / taʼlīf al-Sharīf al-Idrīsī (naḥwa 548 H = 1154 M) ; qad iʻtaná bi-taṣḥīḥihi wa-nashrihi Hinrī Bīrīs.	   al-Jazāʼir : La Maison des livres, 1957.	  |142, v p. ;|25 cm.	   Title on added t.p.: Description de l'Afrique septentrionale et saharienne.|   "Texte arabe extrait du 'Kitâb Nuzhat al-Muchtâq fî Ikhtirâq al-Afâq' d'après l'édition de Leyde [1866], par R. Dozy et J. de Goeje"--Added t.p.|   Includes indexes.	 0 Africa, North Description and travel.| 0 Sahara Description and travel.	DT163 .I21	olin,anx				cornell_aco_0491
3771718	31924028717654	 	1937	ua 	1  Sakhāwī, ʻAlī ibn Muḥammad, 1163?-1245.		10 Tuḥfat al-aḥbāb wa-bughyat al-ṭullāb fī al-khiṭaṭ wa-al-mazārāt, wa-al-tarājim wa-al-biqāʻ al-mubārakāt / lil-ʻAllāmah Abī al-Ḥasan Nūr al-Dīn ʻAlī ibn Aḥmad ibn ʻUmar ibn Khalaf ibn Maḥmūd al-Sakhāwī al-Ḥanafī ; qāma bi-taṣḥīḥihi wa-murājaʻatihi wa-al-taʻlīq ʻalayhi Maḥmūd Rabīʻ, wa-Ḥasan Qāsim.	   al-Qāhirah : al-ʻUlūm wa-al-Ādāb, 1937.	  |407 p. ;|24 cm.		 0 Muslim saints Tombs.	DT96 .S15	olin,anx				cornell_aco_0490
3780471	31924028780298	 	1954	iq 	1  Lestrange, Guy 1854-1933.		10 Buldān al-khilāfah al-sharqīyah : yatanāwal ṣifat al-ʻIrāq wa-al-Jazīrah wa-Īrān wa-aqālīm Āsyah al-Wuṣṭá mundhu al-Fatḥ al-Islāmī ḥattá ayyām Taymūr / naqalahu ilá al-ʻArabīyah wa-aḍāfa ilayhi taʻlīqāt buldānīyah wa-tārīkhīyah wa-atharīyah wa-waḍaʻa fahārisahu Bashīr Fransīs wa-Karkīs ʻAwwād.	   Baghdād : Maṭbaʻat al-Rābiṭah, 1954.	  |14, 590 p. :|illus.	   At head of title : Maṭbūʻāt al-Jamʻ al-ʻIlmī al-ʻIrāqī	 0 Islamic Empire History.	DS44.9 .L64 1954	olin,anx				cornell_aco_0492
4432944	31924029188831	 	1933	ua 	1  Ibn Ḥajar al-ʻAsqalānī, Aḥmad ibn ʻAlī, 1372-1449.		10 Bulūgh al-marām min adillat al-aḥkām, taʾlīf al-Ḥāfiẓ ibn Ḥajar al-ʻAsqalānī. ʻAná bi-taṣḥīḥihi wa-al-taʻlīq ʻalayhi Muḥammad Ḥāmid al-Fiqī.	   Miṣr : al-Maktabah al-Tijārīyah al-Kubrá, [1933]	  |12, 314 p.|24 cm.		 0 Hadith.	BP135 .I12 1933	olin,anx				cornell_aco_0493
4460900	31924029261034	 	1932	ua 	1  Sbath, Paul.		13 Al-Machra' par le P. Paul Sbath.	   [Cairo : Cairo Printing Press, 1932]	  |[210] p.|24 cm.	   T.p. and Text in Arabic.	 0 Christianity Essence, genius, nature.| 0 Christianity and other religions Mohammedanism.	BR121 .S27	olin,anx				cornell_aco_0494
