29702	31924000075923	 	1960	iq 	1  Allūs, Bashīr.		10 Birds of Iraq.	   Baghdad, Ar-Rabitta Press, 1960-62.	  |3 v. in 1.|illus., col. plates.|24 cm.	   Cover title.|   Introductory matter in English; text in Arabic; names of birds in English, Latin and Arabic.	 0 Birds Iraq.| 7 Birds fast (OCoLC)fst00832970| 7 Iraq fast (OCoLC)fst01205757	QL691.I7 A44	mann,anx				cornell_aco_0419
114009	31924000358261	 	1952	le 	1  Malouf, Timothy Philip.		10 Fruiting trees. I. Apples.	   Beirut, 1952.	  |xiii, 333 p.|illus. (pt. col.)|24 cm.	   At head of title: Lebanese Republic. Ministry of Agriculture.|   Title and text in Arabic; translated title used.	 0 Fruit-culture Lebanon.| 0 Apples Lebanon.	SB357 .M26	mann,anx				cornell_aco_0417
1009968	31924050636186	 	1981	ir 	1  Imām al-Ḥaramayn al-Juwaynī, ʻAbd al-Malik ibn ʼAbd Allāh, 1028-1085.		13 al-Shāmil fī uṣūl al-dīn / li-Imām al-Ḥaramayn Abī al-Maʼālī al-Juwaynī ; ḥaqqahu wa qaddama ʼalayh R.M. Frāng.	   Tihrān : Muʼassasah-ʼi Muṭālaʼāt-i Islāmī, 1981.	  |[8], 46 (pages numbered in words), 111, 7 p. ;|25 cm.	   Title on added t.p.: al-Kitâb aš-Šâmil fî'usûl ad-dîn.|   "Exposition (taḥrīr) of al-Baqillani's Commentary (sharḥ) on the Kitāb al-Lumaʼ of al-Ashʼarī"--P. 2 of preface.|   Text based on Teheran University Central Library manuscript no. 350.|   Text in Arabic, with introductory material in English and Persian.|   Includes index.	 0 Islam Doctrines Early works to 1800.|10 Bāqillanī, Muḥammad ibn al-Ṭayyib, -1013. Sharḥ      ʼalā Kitāb al-Lumaʼ.|10 Ashʼarī, Abū al-Ḥasan ʼAlī ibn Ismāʼīl, 873?-935? Kitāb al-Lumaʼ.	BP166 .I33 1981	olin,anx				cornell_aco_0531
1015395	31924077149809	 	1937	ua 	1  Ḥiṣnī, Taqī al-Dīn Abū Bakr ibn Muḥammad, 1351 or 1352-1426.	10 Kifāyat al-akhyār	10 Kifāyat al-akhyār fī ḥall Ghāyat al-ikhtiṣār / taʼlīf Taqī al-Dīn Abī Bakr ibn Muḥammad al-Ḥusaynī al-Ḥiṣnī al-Dimashqī al-Shāfiʻī.	   Miṣr, [Cairo] : Maṭbaʻat Muṣtạtafá al-Bābī al-Ḥalabī wa-awlāduh, 1937.	  |2 v. in l ;|28 cm.	   "Tamtāz bi-ḍabṭ (matn Ghāyat al-ikhtiṣār lil-Aṣfahānī) wa-al-āyāt al-qurʼānīyah al-karīmah wa-al-aḥādt̄h al-sharīfah al-wāridah bi-al-Sharḥ."	10 Abū Shujāʻ al-Iṣfahānī, Aḥmad ibn al-Ḥusayn, approximately 1042- Ghāyat al-ikhtiṣār.| 0 Islamic law Early works to 1800.| 0 Shafiites Early works to 1800.	+ BP153.A27 H67 1937	olin,anx				cornell_aco_0525
1106471	31924011659384	 	1952	ua 	1  Ṣafwat, M. M. (Muḥammad Muṣṭafā).		10 England and the Suez Canal 1854-1951 / M.M. Safwat.	   Alexandria [Egypt] : Ramses Press, 1952.	  |4, 211 p. ;|20 cm.	   At head of title: Royal Society of Historical Researches.|   Cover title.|   Title in Arabic on added t.p.: Injiltirā wa-Qanāt al-Suwaya, 1854-1951.|   Text in Arabic.|   Bibliography: p. 208-211.	 0 Suez Canal (Egypt)	HE543 .S12	olin,anx				cornell_aco_0495
1189331	31924011953951	 	1928	ua 	1  Thābit ibn Kurrah, al Harrānī, 836-901.		14 The book of Al dakhîra, ed. by Dr. G. Sobhy ...	   Cairo, Government Press, 1928.	  |xv, 43, 186 p.|ill.|27 cm.	   Arabic text with introduction and glossary in English.|   From Ms. entitled "Al dakhira fy Ilm' el Tibb," dated in the Higra year 607-1210 A. D. which belongs to the Patriarchal Library and has never been published in Arabic or in translation before.	 0 Medicine, Arab.	+ R143 .T35	olin,anx				cornell_aco_0526
1649265	31924080444767	 	1951	ua 	1  Ibn Taymīyah, Aḥmad ibn ʻAbd al-Ḥalīm, 1263-1328.		13 al-Siyāsah al-sharʻiyah fī iṣlāḥ al-rāʻī wa-al-raʻīyah / li-Taqī al-Dīn ibn Taymīyah ; rājaʻahu wa-ḥaqqaqahu ʻAlī Sāmī al-Nashshār, Aḥmad Zakī ʻAṭīyah.	   [Cairo] : Dār al-Kitāb al-ʻArabī bi-Miṣr, 1951.	  |11, 180 p. ;|20 cm.	   Includes bibliographical references.	 0 Public law (Islamic law)	KBL .I396 1961	law				cornell_aco_0388
1649311	31924059065205	 	1966	iq 	1  Tikrītī, Salīm Ṭāhā.		13 al-Ṣirāʻ ʻalá al-Khalīj al-ʻArabī.	   Baghdād : Wizārat al-Thaqāfah wa-al-Irshād, 1966.	  |146 p. ;|21 cm.	   Bibliography: p. 144-146.	 0 Persian Gulf States History.	DS326 .T56	olin,anx				cornell_aco_0511
1649369	31924059065379	 	1950	ua 	1  Taymūr, Aḥmad, 1871-1930.		13 al-Rutab wa-al-alqāb al-Miṣrīyah.	   [Cairo] : Dār al-Kitāb al-ʻArabī, 1950.	  |98 p. :|ports.|20 cm.	   Includes bibliographical references.	 0 Titles of honor and nobility Egypt.	GR872 .T24	olin,anx				cornell_aco_0466
1651147	31924060171687	juz2 	1959	iq 	1  Qāsim, Abd al-Karīm, 1914-1963.	10 Speeches. Selections	10 Mabādiʾ thawrat 14 Tammūz fī khuṭab ʻAbd al-Karīm Qāsim.	   [Baghdād? : s.n.], 1959- (Baghdād : Maṭbaʻat al-Ḥukūmah)	  |v. :|ill. ;|24 cm.	   Cover title.|0  [Juzʾ 1] Kānūn al-Thānī-Ḥazirān, 1959 -- al-Juzʾ 2. Tammūz-Kānūn al-Awwal, 1959 -- [Juzʾ 3.] 1960.	10 Iraq Politics and government.	DS79.65 .Q11	olin,anx				cornell_aco_0447
1651166	31924059458848	 	1968	iq 	1  Hooke, S. H. (Samuel Henry), 1874-1968.		13 al-Asāṭīr fī Bilād Mā Bayna al-Nahrayn / taʾlīf Ṣamuwīl Hinrī Hūk ; tarjamat Yūsuf Dāwud ʻAbd al-Qādir.	   Baghdād : al-Muʾassasah al-ʻĀmmah lil-Ṣiḥāfah wa-al-Ṭibāʻah, 1968.	  |78 p., [5] leaves of plates :|ill. ;|24 cm.	   Includes bibliographical references and indexes.|   "Hadhā al-kutayyib yuʾallif al-faṣl al-awwal min kitāb 'Asāṭīr al-Sharq al-Awsaṭ.'"	 0 Mythology, Assyro-Babylonian.| 0 Mythology, Semitic.| 0 Mythology, Egyptian.	BL1620 .H78 1968	olin,anx				cornell_aco_0520
