3748740	31924082467196	v.2 	1954	ae 	1  Ibn al-Faraḍī, ʻAbd Allāh ibn Muḥammad, 962-1013.		12 A history of the learned men of al-Andalus and of those who transmitted their learning, by 'Abdallhah B. Mohammad b. Yusuf al-Azdi, known as Ibn al-Faradi. Edited by as-Sayyid 'Izzat al-'Attar al-Husaini.	   Le Caire, Bureau d'Edition de la culture islamique, 1954.	  |2 v.|25 cm.	   Cover title.|   Text in Arabic.		DP103.7 .I13	olin				cornell_aco_0662
3753606	31924028553406	 	1970	iq 	1  Salīm, Shākir Muṣţafā.		13 al-Chibāyish, dirāsah anthrūpūlījīyah li-qariyah fī ahwār al-ʻIrāq. Taʾlīf Shākir Muṣṭafá Salīm.	   Baghdād, Maṭbaʻat al-ʻĀnī, 1970.	  |14, 480 p.|illus., geneal. table|24 cm.	   Cover title: ech-Chibayish, and anthropological study of a marsh village in Iraq, by Shakir M. Salim.|   Originally presented as the author's thesis, London, 1955.|   Bibliography: p. 476-480.	 0 Kabāʾish (Iraq)| 0 Marshes Iraq.| 0 Euphrates River Valley Social life and customs.| 7 Manners and customs fast (OCoLC)fst01007815| 7 Marshes fast (OCoLC)fst01010775| 7 Iraq fast (OCoLC)fst01205757| 7 Middle East Euphrates River Valley fast (OCoLC)fst01274204	DS70.7 .S16 1970	olin				cornell_aco_0642
3754164	31924028559072	 	1969	iq 	1  Khālidi, Fāḍil.		13 al-Ḥayāt al-siyāsīyah wa-nuẓum al-ḥukm fī al-ʻIrāq, khilāla al-qarn al-khāmis al-Hijrī [taʼlīf] Fāḍil al-Khālidī.	   Baghdād, Dār al-Adīb, 1969.	  |14, 351 p.|24 cm.	   Includes bibliographical references (p. 297-[316]).|   Cover title: Political life and governmental organizations in Irak during the fifth century of al-Hijree, by Fadil al-Khalidy.|   Risālat al-Mājistīr -- Jāmiʻat al-Qāhirah.	 0 Iraq Politics and government.| 7 Political science fast (OCoLC)fst01069781| 7 Iraq fast (OCoLC)fst01205757	DS76.4 .K45	olin				cornell_aco_0643
3754802	31924028565657	 	1966	iq 	1  al-Janābī, Kāẓīm.		10 Masjid al-Kūfah : takhṭīṭuh wa-ʻumrānahu khāṣṣah fī al-ʻaṣr al-ʻAbbāsī / Kāẓim al-Janābī.	   Baghdad : Dār al-Jumhūrīyah, 1966.	  |95 p. :|ill., plans. ;|21 cm.	   Cover title: Kufa Mosque, by Kadhim al-Janabi.|   Bibliography: p. 89-90.	 0 Mosques Iraq Kūfah.| 7 Mosques fast (OCoLC)fst01026761| 7 Iraq Kūfah fast (OCoLC)fst01239339	DS79.9.K6 J33	olin				cornell_aco_0644
3763148	31924028629230	 	1963	iq 	1  Qazwīnī, Muḥammad Mahdī ibn Ḥasan, 1807 or 1808-1882 or 1883.		10 Ansāb al-qabāʼil al-ʻIrāqīyah wa-ghayrihā, li-Mahdī al-Qazwīnī al-Ḥusaynī. Ḥaqqaqahu wa-ṣaḥḥaḥahu wa-ʻallaqa ʻalayhi wa-qaddamah lahu ʻAbd al-Mawlá al-Ṭurayḥī.	   al-Najaf, al-Maṭbaʻah al-Ḥaydarīyah, 1963	  |151 p.|22 cm.		 0 Bedouins.| 7 Bedouins fast (OCoLC)fst00829496	DS219.B4 Q14 1963	olin				cornell_aco_0656
3763482	31924028632648	 	1968	iq 	1  Ibn al-Zayyāt, Muḥammad ibn Muḥammad, active 14th century-15th century.		13 al-Kawākib al-sayyārah fī tartīb al-ziyārah, taʼlīf Shams al-Dīn Abū ʻAbd Allāh Muḥammad ibn Nāṣir al-Dīn al-Anṣārī al-maʻrūf bi-Ibn al-Zayyāt.	   Baghdād, Maktabat al-Muthanná [1968?]	  |3, 410 p.|25 cm.	   In Arabic.|   Cover title: al-Kawakib-us-sayyarah fi tartib-iz-ziyarah, by Ibn-uz-Zayyat Shams-ud-Din Abu Abdil-lah Mohammad b. Nasir id-Din il-Ansari.|   Reprint of the ed. published in Cairo, 1907.	 0 Cairo (Egypt) Biography.| 0 Cemeteries Cairo (Egypt).| 7 Cemeteries fast (OCoLC)fst00850521| 7 Egypt Cairo fast (OCoLC)fst01205204| 7 Biography fast (OCoLC)fst01423686	DT142.A2 I13 1968	olin				cornell_aco_0652
3771823	31924028718736	v.2 	1955	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 Tārīkh al-ḥarakah al-qawmīyah wa-taṭawwur niẓām al-ḥukm fī Miṣr / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah al-ʻArabīyah, 1955-	  |v. :|ill., maps ;|24 cm.	   Vol. 2 : 3rd ed.|   Includes bibliographical references.|1  al-juzʻ 1. Yataḍammanu ẓuhūr al-ḥarakah al-qawmīyah fī tārīkh Miṣr al-hadīth wa-bayān al-dawr al-awwal min adwārihā fī ʻahd al-ḥamlah al-Faransīyah wa-tārīkh Miṣr fī hādhā al-ʻahd -- al-juzʾ 2. Min iʻādat al-dīwān fī ʻahd Nābulyūn ilá intihāʾ al-ḥamlah al-Faransīyah wa min jalāʾ al-Faransīyīn ilá irtiqāʾ Muḥammad ʻAlī arīkat Miṣr bi-irādat al-shaʻb.	 0 Egypt History 19th century.| 0 Nationalism Egypt.| 7 1800 - 1899 fast| 7 Nationalism fast (OCoLC)fst01033832| 7 Egypt fast (OCoLC)fst01208755	DT100 .R13	olin				cornell_aco_0645
3772885	31924028729915	v.1-2 	1955	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 Thawrat sanat 1919 : tārīkh Miṣr al-qawmī min sanat 1914 ila sanat 1921  /  ʻAbd al-Raḥmān al-Rāfiʻī.	   Miṣr : Maktabat al-Nahḍah al-Miṣrīyah, 1955.	  |2 v. in 1 ;|24cm.	   Romanized record.|   Includes bibliographical references and index.	 0 Egypt History Insurrection, 1919.|27 Insurrection (Egypt : 1919) fast (OCoLC)fst01353309| 7 1919 fast| 7 Egypt fast (OCoLC)fst01208755| 7 History fast (OCoLC)fst01411628	DT107.8 .R13 1955	olin				cornell_aco_0648
3774594	31924028747966	v.2 	1907	ua 			00 Livre des Perles enforues et du mystère précieux au sujet des indications des cachettes, des trouvailles et des trésors, publié et traduit par Ahmed bey Kamal, ...	   Le Caire, Imprimerie de l'Institut français d'Archéologie orientale, 1907.	  |2 v.|29 x 23 cm.	   Avec texte arabe.		Oversize DT61 .D96 1907 +	olin				cornell_aco_0658
3780426	31924028780132	v.1 	1947	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 ʻAṣr Ismāʻīl / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah, 1947.	  |2 v. :|ill., maps (some fold.), ports. ;|25 cm.		 0 Egypt History Ismail, 1863-1879.| 7 1863 - 1879 fast| 7 Egypt fast (OCoLC)fst01208755	DT106 .R13 1947	olin				cornell_aco_0646
3780426	31924028780140	v.2 	1947	ua 	1  Rāfiʻī, ʻAbd al-Raḥmān.		10 ʻAṣr Ismāʻīl / bi-qalam ʻAbd al-Raḥmān al-Rāfiʻī.	   al-Qāhirah : Maktabat al-Nahḍah, 1947.	  |2 v. :|ill., maps (some fold.), ports. ;|25 cm.		 0 Egypt History Ismail, 1863-1879.| 7 1863 - 1879 fast| 7 Egypt fast (OCoLC)fst01208755	DT106 .R13 1947	olin				cornell_aco_0647
