003/Inst,001/BSN,OCLC number(s),245a/Title
NNU,000366126,"60498255","al-Qānūn dīwān al-rasāʼil :"
NNU,000371179,"21633722","al-Ḥālah al-ijtimāʻīyah fī al-ʻIrāq fī al-qarnayn al-thālith wa-al-rābiʻ baʻd al-hijrah,"
NNU,000371996,"474969298","Ḥawrān al-dāmiyah :"
NNU,000372058,"892575014","al-Jaysh al-Miṣrī fī al-Ḥarb al-Rūsīyah al-maʻrūf bi-Ḥarb al-Qirim 1853-1855 /"
NNU,000519484,"234891285|34014374|889712764","Takhrīj al-furūʻ ʻalā al-uṣūl /"
NNU,000753273,"58773671","al-Iktirāth fī ḥuqūq al-ināth /"
NNU,001043989,"318942252","al-Ḥaḍārah al-Islāmīyah fī al-qarn al-rābiʻ al-Hijrī /"
NNU,001150112,"50904850","Nihāyat al-Arab fī funūn al-adāb /"
NNU,001272312,"11101697","Miṣr wa-al-Shām bayna dawlatayn :"
NNU,001272349,"476384218","Fī sabīl Lubnān /"
NNU,001340370,"862564050","Umm al-Qūrá :"
NNU,001344001,"13887196","Kitāb ighāthat al-ummah bi-kashf al-ghummah /"
NNU,001344010,"29797501","Naḥl ʻibar al-naḥl /"
NNU,001352877,"43237470","Dāwūd Bashā wa-nihāyat al-Mamālīk fī al-ʻIrāq /"
NNU,001567444,"8006162","Aḥsan al-wadīʻah fī tarājim mashāhīr mujtahidī al-Shīʻah :"
NNU,001576886,"36644152|7632940","Aʻlām al-ʻArab fī al-ʻUlūm wa- al-funūn,"
NNU,001585926,"476920139","Kitāb lubb al-lubāb fī taḥrīr al-ansāb /"
NNU,001676392,"476961528","al-Luʼluʼ al-murattab fī akhbār al-Barāmikah wa-Āl al-Muhallab /"
NNU,001676394,"80964016","Kitāb al-Sunnah /"
NNU,001676520,"476962362","Kitāb al-Sāq ʻalá al-sāq fī-mā huwa al-Fāriyāq :"
NNU,001676543,"29350472","Rasāʼil fī ḥaḍārat al-buʼs /"
NNU,001676544,"32214965","Nidāʼ lil-ʻamal /"
NNU,001677418,"10396166","ʻAqd al-bayʻ fī al-fiqh al-Jaʻfarī /"
NNU,001677678,"23700095","Ḥaqāʼiq al-fiqh fī sharḥ Sharāʼiʻ al-Islām /"
NNU,001677684,"476969034","Mirʼāt al-Ḥaramayn,"
NNU,001677689,"37978744|219614730","Jawāmiʻ al-Maws̄il fī mukhtalaf al-ʻuṣūr /"
NNU,001677982,"18330673","Muntaqilat al-Ṭālibīyah /"
NNU,001677985,"14039220","al-Maṭālib al-muhimmah fī tārīkh al-Nabī wa-Zahrāʼ wa-al-aʼimmah majālis murtabah."
NNU,001678001,"23615436","Ikhtiyār maʻrifat al-rijāl, al-maʻrūf bi-Rijāl al-Kashshī /"
NNU,001678003,"18082340","ʻAqāʼid al-imāmīyah /"
NNU,001678011,"23505297","Tārīkh al-ʻAlawīyīn /"
NNU,001678294,"60498950|13208113","Aḥwāl naṣārá Baghdād fĭ àhd al-khilāfah al-Àbbāsĭyah /"
NNU,001678359,"17504241|123270471","al-Ṣābiʼah al-Mandāʼīyūn,"
NNU,001678401,"23506049","al-Dirham al-Islāmī /"
NNU,001682296,"454212121","Ẓulumāt wa-ashiʻʻah :"
NNU,001682321,"875075092","Khamsūn wa-miʼat ṣaḥābī mukhtalaq /"
NNU,001684153,"13698211","Amālī al-Shaykh al-Ṭūsī /"
NNU,001684486,"33860899","Jahm ibn Ṣafwān wa-makānatuhu fi al-fikr al-Islāmī /"
NNU,001689310,"55535748","Kitāb Fuṣūl al-badāʼiʻ fī uṣūl al-sharāīʻ /"
NNU,001717177,"28879441","Muntakhabāt Ismāʻīlīyah :"
NNU,001797256,"20265061|54871286","Ṣaḥīfah al-Sajjādīyah :"
NNU,001821166,"15270174","Minhāj al-barāʻah fī sharḥ Nahj al-balāghah /"
NNU,001886433,"19992297","Sharḥ Uṣūl al-Kāfī /"
NNU,001888346,"16068438|27983325|21043770","Fiqh al-Imām Jaʻfar al-Ṣādiq /"
NNU,001907318,"22317655","al-Muʻjam al-mufahras li-alfāẓ al-Uṣūl min al-Kāfī /"
NNU,001912858,"17723549","Risālah Ismāʻīlīyah wāḥidah :"
NNU,001913010,"79490984","Kitāb al-Mawāʻiẓ al-ʻadadīyah :"
NNU,001914155,"477044921","Firaq al-Shīʻah /"
NNU,001916409,"23699220","al-Muʻjam al-mawḍūʻī li-Nahj al-balāghah /"
NNU,001917995,"24827214|30478430","Sharḥ Nahj al-balāghah :"
NNU,001927592,"477085882","Ḥaqq al-yaqīn fī maʻrifat uṣūl al-dīn /"
NNU,001929781,"22726170","Rasāʼil al-Muḥaqqiq al-Karakī /"
NNU,001947293,"26839250","Fihrist Āl Bābūyah wa-ʻUlamāʼ al-Baḥrayn /"
NNU,002009355,"25767434|21261530","Tatmīm Amal al-āmil /"
NNU,002046786,"181808406","Faḍl ziyārat al-Ḥusayn /"
NNU,002046799,"477172384","Takmilat Amal al-ʻāmil /"
NNU,002046814,"23255616","al-Durr al-manthūr min al-maʼthūr wa-ghayr al-maʼthūr /"
NNU,002046838,"14084948|13158553","al-Tanqīḥ al-rāʼiʻ li-Mukhtaṣar al-Sharāʼiʻ /"
NNU,002052252,"15034851","Aqrab al-mawārid fī fuṣuḥ al-ʻArabīyah wa-al-shawārid /"
NNU,002073406,"244044515","Sabāʼik al-dhahab fī bayān ḥaqīqat al-madhhab :"
NNU,002082366,"122327880","al-Kitāb al-Muqaddas, al-ʻAhd al-jadīd."
NNU,002177811,"122773569","al-Kitāb al-muqaddas, al-ʻAhd al-jadīd li-rabbinā Yasūʻ al-Masīḥ."
NNU,002186288,"862570036","Nubdhah tārīkhīyah fīmā jará li-ṭāʼifat al-Rūm al-Kāthūlīk mundhu sanat 1837 fa-mā baʻdahā /"
NNU,002259925,"248788014","Kitāb al-maqālāt wa-al-firaq /"
NNU,002747070,"37957139|123131852","al-Balad al-amīn /"
NNU,002777341,"80415292","Wādī al-Naṭrūn:"
NNU,002792194,"892575704","Sharḥ kitāb al-taʻarruf li-madhhab al-taṣawwuf /"
NNU,002801401,"478129458","al-Ghārāt /"
NNU,002811991,"417026592","Uṣūl-i Kāfī /"
NNU,002813524,"220906108|15092820","al-Uṣūl min al-Kāfī /"
NNU,002849193,"13394770","al-Akhlāq ʻinda al-Imām al-Ṣādiq /"
NNU,002849244,"875010909|65849380","Kitāb riyāḍ al-nufūs :"
NNU,002932678,"20656971","Fihrist asmāʼ ʻulamāʼ al-Shīʻah wa-muṣannifīhim /"
NNU,002952603,"22068473","Maʼsāt Filasṭīn wa-atharuhā fī al-shiʻr al-muʻāṣir /"
NNU,002954922,"23520256","Kitāb tārīkh Dawlat al-Saljūq / al-Iṣfahānī."
NNU,002957517,"82638882","Miṣbāḥ al-ẓulmah li-īḍāḥ al-khidmah /"
NNU,002957519,"79326847","Kitāb al-iqtidāʼ bi-al-Masīḥ /"
NNU,002960685,"79199290","Tārīkh Jāmiʻ al-Imām al-Aʻẓam wa-masājid al-aʼẓamīyah /"
NNU,002974396,"58666510","al-Madkhal ilá tārīkh al-ḥaḍārah /"
NNU,003054675,"31269309","Falsafat Ibn Khaldūn al-ijtimāʻīyah :"
