003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12441727,"784319846","Taqārīr jalsāt al-Majlis al-Kabīr lil-Iyālah al-Tūnisīyah wa-lajnat al-taḥkīm."
LeBAU,b12441909,"784319864","al-Muʻāhadāt al-dawlīyah al-Sūrīyah al-thunāʼīyah, min ʻām 1923 li-ʻām 1955 /"
LeBAU,b12442355,"784319911","Muʻāhadat taslīm al-mujrimīn bayna al-ʻIrāq wa-Turkīyah :"
LeBAU,b12442379,"784319913","al-Ṣaḥīfah al-sawdāʼ fī tafnīd al-muʻāhadah al-ʻIrāqīyah - al-Barīṭānīyah li-sanat 1930 /"
LeBAU,b1244246x,"784319922","Muḥāḍarat maʻālī al-Ustādh Makram ʻUbayd Bāshā fī al-Jāmiʻah al-Miṣrīyah :"
LeBAU,b12442495,"784319925","al-Murshid fī taqdīr al-arbāḥ al-tijārīyah wa-al-ṣināʻīyah /"
LeBAU,b12442525,"784319930","al-Ḍarībah ʻalá al-arbāḥ al-tijārīyah wa-al-ṣināʻīyah wa-taṭbīqātuhā al-ʻamalīyah /"
LeBAU,b12442707,"784319948","Ḍarībat al-dakhl fī al-tashrīʻ al-Miṣrī /"
LeBAU,b12442847,"784319963","Niẓām al-jamārik wa-al-lāʼiḥah al-tanfīdhīyah :"
LeBAU,b12443141,"784320007","Bayna al-baqāʼ wa-al-fanāʼ /"
LeBAU,b12443190,"784320016","Marsūm ishtirāʻī ʻadad 130/L bi-tanẓīm rasm al-ṭawābiʻ."
LeBAU,b1244327x,"784320048","Niẓām tawḥīd al-ṭawābiʻ /"
LeBAU,b12443566,"784320147","Majmūʻat al-qarārāt al-tamyīzīyah li-maḥkamaty al-tamyīz al-Lubnānīyah wa-al-Sūrīyah min sanat 1919 ilá sanat 1929 /"
LeBAU,b12443578,"784320149","al-Mustaṣfá min ʻilm al-uṣūl /"
LeBAU,b1244358x,"784320154","Miftāḥ al-muqarrarāt al-tamyīzīyah al-ḥuqūqīyah :"
LeBAU,b12443669,"784320167","Majmūʻah taḥtawī ʻalá al-qawānīn al-ātīyah :"
LeBAU,b12443852,"784320677","Kitāb Irshād al-ʻIbād ilá al-ghazw wa-al-jihād /"
LeBAU,b12443967,"784320696","Sharḥ Qānūn al-Milkīyah al-ʻAqārīyah :"
LeBAU,b12444030,"784320705","al-Shuyūʻīyah fī al-Islām /"
LeBAU,b12444078,"784320709","Qānūn al-Mūjibāt wa-al-ʻUqūd /"
LeBAU,b12444406,"784320864","Mas’alat al-masā’il fī Lubnān :"
LeBAU,b12444443,"784320896","al-Ishtirākīyah fī al-Islām /"
LeBAU,b12445095,"784321005","al-Maʻbūd alladhī hawá :"
LeBAU,b12445228,"784321018","al-Ḥuqūq al-jazāʼīyah al-ʻāmmah :"
LeBAU,b1244568x,"784321113","al-Durūs al-faraḍīyah /"
LeBAU,b12446245,"784321270","Qānūn al-jazāʼ al-Hamāyūnī /"
LeBAU,b12446336,"784321281","Mūjaz fī al-ḥuqūq al-dawlīyah al-khāṣṣah /"
LeBAU,b12447201,"784321460","al-Jamʻīyāt al-taʻāwunīyah wa-niẓāmuhā fī Miṣr /"
LeBAU,b12447298,"784321505","Kitāb Marjaʻ al-ṭullāb :"
LeBAU,b12448990,"784322304","Fī al-qaḍāʼ al-idārī /"
LeBAU,b12449064,"784322318","al-Qaḍāʼ al-idārī /"
LeBAU,b12450042,"784322519","al-Tashrīʻ al-jumrukī /"
LeBAU,b12450108,"784322532","Sharḥ al-qānūn al-idārī :"
LeBAU,b12451319,"784323189","al-Ḥuqūq al-idārīyah :"
LeBAU,b12451320,"784323190","al-Ḥuqūq al-idārīyah al-Sūrīyah wa-al-muqāranah /"
LeBAU,b12451447,"784323202","al-Imtiyāzāt al-ajnabīyah /"
LeBAU,b12451794,"253900582","al-Ittifāq al-khāṣṣ bi-ilghāʼ al-imtiyāzāt fī Miṣr :"
LeBAU,b1245199x,"784323264","al-Murāfaʻāt fī ashhar al-qaḍāyā /"
LeBAU,b12453511,"784323540","Sharḥ al-Majallah /"
LeBAU,b12453584,"784324028","Sharḥ al-Majallah /"
LeBAU,b12453602,"784324035","Sharḥ Majallat al-Aḥkām al-ʻAdlīyah /"
LeBAU,b12455295,"784324280","al-Qānūn al-madanī al-Turkī :"
LeBAU,b12455398,"784324291","Sharḥ al-Majallah /"
LeBAU,b12455453,"784324299","Majmūʻat al-qawānīn al-khāṣṣah :"
LeBAU,b12455465,"784324300","al-Qaḍāʼ al-ʻashāʼirī :"
LeBAU,b12455866,"784324355","Thawāb al-aʻmāl wa ;"
LeBAU,b12457243,"784325476","Taʻlīq ʻalá Mudhakkirah fī mustaqbal al-tarbiyah wa-al-taʻlīm fī al-ʻIrāq /"
LeBAU,b12457358,"784325487","Muḥāḍarāt ulqiyat fī al-qānūn al-madanī al-Lubnānī :"
LeBAU,b12457413,"784325494","Majmūʻat al-nuṣūṣ al-qānūnīyah al-khāṣṣah bi-al-tashrīʻ al-ʻaqārī wa-bi-niẓām al-milkīyah al-ʻaqārīyah fī Suriyā wa-Lubnān /"
LeBAU,b12457462,"784325500","Qānūn intikhāb al-nuwwāb."
LeBAU,b12457474,"784325502","Qānūn daʻāwá al-ʻashāʼir al-madanīyah - al-jazāʼīyah."
LeBAU,b12457504,"784325505","Qānūn uṣūl al-muḥākamāt al-ḥuqūqīyah wa-taʻdilātuh wa-dhuyūluh bi-ṣūrah muwaḥḥadah /"
LeBAU,b12457516,"784325506","Qawānīn al-khidmah wa-al-malāk wa-al-taqāʻud /"
LeBAU,b1245753x,"784325508","Majmūʻat al-qawānīn wa-al-anẓimah al-mutaʻalliqah bi-umūr al-baladīyāt /"
LeBAU,b12457553,"784325511","Qānūn taʻdīl niẓām daʻāwī al-ʻashāʼir al-madanīyah wa-al-jazāʼīyah li-sanat 1924."
LeBAU,b12457589,"784325514","Muḥāḍarāt fī al-qānūn al-madanī al-ʻIrāqī :"
LeBAU,b12457735,"784325529","Qānūn uṣūl al-muḥākamāt al-madanīyah al-Lubnānī, maʻa taʻdīlātih li-ghāyat 8 Ḥazīrān sanat 1945."
LeBAU,b12457747,"784325530","Qānūn qayd wathāʼiq al-aḥwāl al-shakhsīyah :"
LeBAU,b12458910,"784325655","Sharḥ aḥkām al-arāḍī al-amīrīyah wa-niẓām al-milkīyah al-ʻaqārīyah wa-al-ḥuqūq al-ʻaynīyah ghayr al-manqūlah, al-ṣādir bi-al-qarār 3339 /"
LeBAU,b12459045,"42552109","al-Qānūn al-madanī :"
LeBAU,b12459070,"784325672","Qānūn al-aḥwāl al-shakhṣīyah al-ṣādir bi-al-marsūm al-tashrīʻī raqm 59 tārīkh 17/9/1953."
LeBAU,b12459136,"784325679","Majmūʻat qarārāt al-Mufawwaḍīn al-Sāmīn li-Sūriyā wa-Lubnān al-Kabīr mundhu al-iḥtilāl al-Ifransī ḥattá al-yawm /"
LeBAU,b12459161,"784325682","Majmūʻat muqarrarāt Ḥukūmat Sūriyā :"
LeBAU,b12459185,"784325684","Majmūʻat al-qawānīn wa-al-qarārāt al-idārīyah lil-dawlah al-Sūrīyah /"
LeBAU,b12459227,"784325689","Majmūʻat al-qawānīn wa-al-anẓimah, min sanat 1918-1931 /"
LeBAU,b12459252,"784325692","al-Shufʻah /"
LeBAU,b12459367,"784325706","Muḥāḍarāt fī al-qānūn al-madanī al-Sūrī /"
LeBAU,b12460667,"784325851","Qānūn al-waqf al-dharrī wa-maṣādiruh al-sharʻīyah fī Lubnān /"
LeBAU,b12460904,"784325875","Majmūʻat al-qawānīn al-Tūnisīyah :"
LeBAU,b12461015,"784325886","Marjaʻ al-qaḍāʼ fī tashrīʻāt al-aḥwāl al-shakhṣīyah lil-ajānib /"
LeBAU,b12461052,"784325903","al-Taqnīn al-madanī al-Miṣrī :"
LeBAU,b12461180,"784326931","Qānūn al-muwaẓẓafīn al-asāsī raqm 135, tārīkh 10 Kānūn al-Thānī 1945 :"
LeBAU,b12461209,"784326935","Qānūn al-muwaẓẓafīn al-asāsī raqm 135, tārīkh 10 Kānūn al-Thānī 1945 bi-ḥasab al-taʻdīlāt al-ṭāriʼah ʻalayh ḥattá 20 Tishrīn al-Awwal 1955 :"
