003/Inst,001/BSN,OCLC number(s),245a/Title
NIC,4739271,"8350439","Tārīkh Miṣr al-iqtiṣādī fī al-qarn al-tāsiʻ ʻashar,"
NIC,4741199,"23499334","Aʻmāl Muʾtamar al-Iqtiṣādīyīn al-ʻArab al-Thānī, Baghdād 8-13 Adhār /Māris 1969."
NIC,4755497,"64033802","al-Fatwah ʻind al-ʻArab aw aḥādīth al-furūsīyah wa-al-mathal al-ʻulyā."
NIC,4899028,"10409760","al-Mukhtaṣar al-nāfiʻ fī fiqh al-Imāmīyah,"
NIC,4905803,"23482038","al-Khidmah al-madanīyah fī al-duwal al-ʻArabīyah /"
NIC,4905821,"10938765","Sharāʾiʻ al-Islām fī masāʾil al-ḥalāl wa-al-ḥarām"
NIC,5108767,"7809829","al-Tarikah wa-mā yataʻallaqu bi-hā min al-huqūq"
NIC,5122370,"21540347","al-Mīzān al-kubrá,"
NIC,5867969,"17298980","Taḥrīr al-wasīlah /"
NIC,6365261,"185042725","ʻAbqarīyat ʻUmar /"
NIC,6392327,"276982079","Kitāb mashhad al-ʻiyān bi-ḥawādith Sūriyā wa-Lubnān /"
NIC,6751573,"435979748","Min Tārīkh al-Ḥurūb al-Muqaddasah Fī al-Mashriq al-Madʻūwah Ḥarb al-Ṣalīb /"
NIC,7165079,"643629946","Kitāb al-Mushtarik waḍʻan wa-al-muftariq ṣuqʻan /"
NIC,7288627,"740283334","Manāqib Baghdād /"
