003/Inst,001/BSN,OCLC number(s),245a/Title
UaCaAUL,b12757561,"43979943","ʻAlá ṭarīq al-Hind."
UaCaAUL,b14431476,"192063019","tārīkh al-kanīsah al-qibtị̄yah :"
UaCaAUL,b13703201,"68491433","Ghābir al-Andalus wa-ḥāḍiruhā /"
UaCaAUL,b13262567,"60510407","Asbāb al-inqilāb al-ʻUthmānī wa-Turkiyā al-fatāh :"
UaCaAUL,b13035332,"60509956","al-Lamaḥāt :"
UaCaAUL,b12287131,"45911724","Kitab̄ al-Nafhạh al-ʻaliȳah fi ̄awrad̄ al-Shad̄hiliȳah / "
UaCaAUL,b12815366,"318940543","al-Fakhrī fī al-ādāb al-sulṭānīyah wa-al-duwal al-Islāmīyah /"
UaCaAUL,b13717200,"1004709364","al-Ḥawādith al-jāmiʻah wa-al-tajārub al-nāfiʻah fī al-māʼah al-sābiʻah /"
UaCaAUL,b1300959x,"36484783","al-Nahj al-qawīm fī tārīkh shuʻūb al-Sharq al-qadīm :"
UaCaAUL,b12742557,"122955510","al-Masʼalah al-Miṣrīyah wa-al-wafd /"
UaCaAUL,b13761183,"122686488","Mushkilāt falsafīyah /"
UaCaAUL,b13148710,"318941820","Hitlar fī al-Mīzān /"
UaCaAUL,b13146804,"122748216","Tārīkh Ūrubbā fī al-ʻaṣr al-ḥadīth (1789-1950) /"
UaCaAUL,b13203927,"123004641","Nahr al-Rayn fī al-tārīkh wa-al-siyāsah /"
UaCaAUL,b12964591,"318941371","Kitāb al-ẓurf wa-al-ẓurafāʼ /"
UaCaAUL,b13171604,"23510263|29921255","Asbāb al-nuzūl /"
UaCaAUL,b13157978,"122839284","al-Raqṣ ʻalá al-bārūd /"
UaCaAUL,b12696766,"23506477|43232920","al-Dawlah al-ʻArabīyah al-Muttaḥidah :"
UaCaAUL,b12746708,"318941152","ʻAbbās al-thānī /"
UaCaAUL,b13144509,"23605608","Mayādīn ʻilm al-nafs :"
UaCaAUL,b12949887,"60498919","Jughrāfīyat al-quṭr al-Jazāʼirī lil-nāshiʼah al-Islamīyah /"
UaCaAUL,b12762477,"1007653163","al-Baʻth /"
UaCaAUL,b12280173,"40957649|39941016","Fī ẓilāl al-Qurʼān /"
UaCaAUL,b13177382,"42940162","Riḥlat al-Ṣaḥāfī al-ʻajūz ṣayf sanat 1935 :"
UaCaAUL,b12123249,"122795743","al-Islām (wa-al-radd ʻalá muntaqidīh) :"
UaCaAUL,b13009576,"60499004|122686527|318942094","al-ʻĀlam al-ʻArabī /"
UaCaAUL,b13219959,"318941563","Mā hunālika /"
UaCaAUL,b12589603,"708707361","al-Akhbār al-ṭuwāl /"
UaCaAUL,b13075810,"57510177","Kitāb kashf al-maktūm fī taʼrīkh ākhirī salāṭīn al-Rūm /"
UaCaAUL,b12701610,"36932985","Ṣafaḥāt maṭwīyah min tārīkh al-ḥarakah al-istiqlālīyah fī Miṣr :"
UaCaAUL,b12997614,"39004471","Ḥayy ibn Yaqẓān li-Ibn Sīnā, wa-Ibn Ṭufayl, wa-al-Suhrawardī  /"
UaCaAUL,b12585312,"122747670","Mawāqif ḥāsimah fī tārīkh al-Islām /"
UaCaAUL,b12812663,"37924471","Majmūʻat maqālāt Fikrī Abāẓah al-muḥāmī :"
UaCaAUL,b13203952,"23488417","al-Imbarāṭūrīyah al-Bīzanṭīyah wa-al-dawlah al-Islāmīyah ="
UaCaAUL,b12950725,"48667789","al-Kutlah al-Islāmīyah bayna al-kutlatayn al-dīmuqrātīyah al-gharbīyah wa-al-shuyūʻīyah al-sharqīyah /"
UaCaAUL,b13764019,"37214505","Kitāb al-Iʻlām bi-aʻlām bayt Allāh al-ḥarām tārīkh Makkah al-musharrafah /"
UaCaAUL,b13276384,"60650002","al-Qurʼān al-karīm :"
UaCaAUL,b12739327,"23492498","Saʻd Zaghlūl min aqḍiyatih /"
UaCaAUL,b13154746,"122726396","Bayna Ḥarbayn :"
UaCaAUL,b1201347x,"233138406","Tārīkh al-duwal wa-al-imārāt al-Kurdīyah fī al-ʻahd al-Islāmī :"
UaCaAUL,b12643671,"318940700","Faḍāʼil al-Shām wa-Dimashq /"
UaCaAUL,b12968146,"43518023|60498940","Dirāsāt fī al-Sūdān wa-iqtiṣādiyāt al-Sharq al-Awsaṭ /"
UaCaAUL,b13204920,"318941547","Tārīkh al-Rūmānīyīn min bināʼ Rūmīyah ilá talāshī al-ḥukūmah al-jumhūrīyah /"
UaCaAUL,b13355235,"56839786|79071290","Zuʻamāʼ al-Islām :"
UaCaAUL,b12728329,"122748296","Muqaddimah li-dirāsat al-tārīkh al-Islāmī :"
UaCaAUL,b12688691,"318940479","Injiltirā fī Miṣr /"
UaCaAUL,b12693340,"33922644","Dhikrá al-Afghānī fī al-ʻIrāq /"
UaCaAUL,b13702579,"68491424","Kitāb Asmāʼ jibāl Tihāmah wa-sukkānihā wa-mā fīhā min al-qurá wa-mā yanbutu ʻalayā min al-ashjār wa-mā fīhā min al-miyāh /"
UaCaAUL,b12733970,"11076395","Aʻmālī baʻda mudhakkirātī /"
UaCaAUL,b13062177,"43530407","Rawābiṭ al-fikr wa-al-rūḥ bayna al-ʻArab wa-al-Farinjah /"
UaCaAUL,b13158065,"977305445|761710103","Tārīkh al-Nūr al-sāfir ʻan akhbār al-qarn al-ʻāshir /"
UaCaAUL,b1303828x,"17609071","Rāʼid al-fikr al-Miṣrī :"
UaCaAUL,b13177485,"60510080","Riḥlāt al-Ṣayf fī Ūrūbbā /"
UaCaAUL,b13726122,"122750979","Maṣāriʻ al-aʻyān :"
UaCaAUL,b11908555,"16317053","Saʻd Zaghlūl :"
UaCaAUL,b23174250,"122726211","Rasāʼil Miṣrī li-siyāsī Inklīzī kabīr fī sanat 1905 :"
UaCaAUL,b11978740,"234698211","Tajdīd al-tafkīr al-dīnī fī al-Islām /"
UaCaAUL,b13748683,"9024432","Inṣāf ʻUthmān /"
UaCaAUL,b12670212,"44853876","Kitāb al-ghayth al-musjam fī sharḥ Lāmiyat al-ʻajam /"
UaCaAUL,b13213192,"122899563","al-Risālah al-thāniyah li-Abī Dulaf Misʻar al-Muhalhil al-Khazrajī ="
UaCaAUL,b12751509,"318940844","al-Riḥlah al-sulṭānīyah wa-tārīkh al-salṭanah al-Miṣrīyah qadīman wa-ḥadīthan /"
UaCaAUL,b13211225,"122899401","Rūsiyā /"
UaCaAUL,b12232890,"23500426","Kitāb al-risālah al-Ḥamīdīyah fī ḥaqīqat al-diyānah al-Islāmīyah wa-ḥaqīqat al-sharīʻah al-muḥammadīyah /"
UaCaAUL,b13725877,"23520346","al-Barāmikah fī ẓilāl al-khulafāʼ /"
UaCaAUL,b13189165,"122797068","Masāʼil al-Sharq, al-Islām wa-Āsiyā amāma al-maṭāmiʻ al-Ūrubbīyah :"
UaCaAUL,b12693339,"44093086","Miṣr fī thulthay qarn bayna al-māḍī wa-al-ḥāḍir /"
UaCaAUL,b13742541,"318946031","Riḍā Shāh Bahlawī :"
UaCaAUL,b12296405,"29977228","Muʻjam gharīb al-Qurʼān :"
UaCaAUL,b13693864,"23055358","al-Waḥy al-Muḥammadī :"
UaCaAUL,b12325740,"11795623","Qawāʻid ʻaqāʼid Āl Muḥammad :"
UaCaAUL,b1299876x,"43212517|23519120","ʻAbqarīyat al-Masīḥ /"
UaCaAUL,b1303392x,"60499050","Tārīkh Abī Shākir Buṭrus ibn Abī al-Karam ibn al-Muḥadhdhab al-maʻrūf bi-Ibn al-Rāhib /"
UaCaAUL,b13764007,"23488445","Ibn al-ʻAmīd /"
UaCaAUL,b1317616x,"122826220","Mushāhadāt sāʼiḥ fī duwal al-shamāl /"
UaCaAUL,b13696154,"40957771|39941136","al-Budūr al-zāhirah fī al-qirāʼāt al-ʻashar al-mutawātirah :"
UaCaAUL,b13202546,"28874591","Kitāb al-tasʹhīl li-ʻulūm al-tanzīl /"
UaCaAUL,b11914014,"318936717","Tārīkh al-masʼalah al-Miṣrīyah, 1875-1910 ="
UaCaAUL,b12542805,"9749956","ʻUnwān al-dirāyah fī-man ʻurifa min al-ʻulamāʼ fī al-miʼah al-sābiʻah bi-Bijāyah /"
UaCaAUL,b12970426,"60498945","al-Sharq al-Awsaṭ fī muʼallafāt al-Amrīkīyīn /"
UaCaAUL,b12741796,"17044163","al-Thawrah al-ʻUrābīyah :"
UaCaAUL,b12891642,"1004769957","Mukhtaṣar tārīkh al-Baṣrah /"
UaCaAUL,b13720107,"19116974","Kitāb al-ḥayāh fī lubnān :"
UaCaAUL,b13178957,"14085144|9641004","Maʻa Ibn Khaldūn /"
UaCaAUL,b12970396,"60498944","Jawlah fī rubūʻ al-Sharq al-Adná bayna Miṣr wa-Afghānistān :"
UaCaAUL,b13725968,"70070337","Kitab̄ khulas̄ạt al-kalam̄ fi ̄taʼrik̄h al-Jah̄iliȳah wa-al-Islam̄ / "
UaCaAUL,b11587854,"43232914","Qaḍīyat Filasṭīn /"
UaCaAUL,b13745712,"840765204","Filasṭīn wa-jārātuhā :"
UaCaAUL,b13177412,"122748230","Yawm fī Ūrūbbā /"
UaCaAUL,b14383172,"63062968","Kitāb al-Adhkār al-muntakhab min kalām Sayyid al-Abrār /"
UaCaAUL,b13704758,"68491444","Mudun al-ʻIrāq al-qadīmah ="
UaCaAUL,b13767598,"318947191","Kitāb tajārub al-umam /"
UaCaAUL,b12482444,"30477536","Niḍāl al-Akrād /"
UaCaAUL,b13183291,"18099974","Nashʼat al-tadwīn al-tārīkhī ʻinda al-ʻArab /"
UaCaAUL,b12274367,"17693296","Qānūn al-niẓām al-asāsī li-Hayʼat al-Ikhwān al-Muslimīn al-ʻĀmmah :"
UaCaAUL,b13201499,"54614361","al-Mushkilah al-Almānīyah :"
UaCaAUL,b13194197,"122899292","al-Ḥarb bayna Birīṭānyā al-ʻUẓmá wa-Turkiyā, aw, al-Kitāb al-abyaḍ al-inklīzī :"
UaCaAUL,b13731208,"20785979","al-Badw wa-al-ʻashāʼir fī al-bilād al-ʻArabīyah :"
UaCaAUL,b13142197,"33438283","Kitāb al-Tārīkh al-qadīm /"
UaCaAUL,b12712838,"60498638","al-Atrāk wa-al-ʻUthmānīyūn wa-ḥaḍaratuhum /"
UaCaAUL,b12699378,"37439054|863386462","Bayna al-kutub wal-al-nās /"
UaCaAUL,b13768153,"30707121","Sindibād ʻaṣrī :"
UaCaAUL,b13204087,"122899332","Rabbu al-ḥarb ,aw, Nāpulyūn al-awwal /"
UaCaAUL,b13202200,"67308002","ʻArsh wa-qalb /"
UaCaAUL,b11399569,"975263215","Sirr taqaddum al-Inkilīz al-Saksūnīyīn /"
UaCaAUL,b13725634,"318946018","al-Fihrist :"
UaCaAUL,b13010517,"37439411","Yasʼalūnaka /"
UaCaAUL,b13047462,"123312007|43979986","al-Siyāsah wa-al-istrātījīyah fī al-Sharq al-Awsaṭ /"
UaCaAUL,b14423959,"43528143","al-ʻIlm wa-mustaqbal al-insān /"
UaCaAUL,b12739030,"54825765","al-Iḥtilāl al-Injilīzī li-Miṣr wa-mawqif al-duwal al-kubrá izāʼuh /"
UaCaAUL,b13205055,"912694954","Taʼwīl mushkil al-Qurʼān /"
UaCaAUL,b13201487,"122899312","Nābulyūn ʻalā́ firāsh al-mawt /"
UaCaAUL,b13154783,"122823423","Min Miyūnikh ilá wārsū, aw, al-Siyāsah al-ʻālamīyah fī ʻām :"
UaCaAUL,b13178969,"219657843","Ibn Khaldūn :"
UaCaAUL,b13717170,"122995986|23511308","Mu'arrikh al-ʻIrāq Ibn al-Fūṭī :"
UaCaAUL,b13189992,"122823484","al-Linbī Fī Miṣr /"
UaCaAUL,b11562614,"759490535","Kitāb al-Luʼluʼ al-naḍīd fī tārīkh Dayr Mār Bihnām al-shahīd :"
UaCaAUL,b13231455,"68177495|23517920","Nuzʹhat al-anām fī maḥāsin al-Shām /"
UaCaAUL,b13222442,"60510170","Ṣafwat al-ʻirfān fī tafsīr al-Qurʼān /"
UaCaAUL,b13244164,"318941581","al-Ḥirāb fī ṣadr al-Bahāʼ wa-al-Bāb :"
UaCaAUL,b13210269,"22322805","Sitālīn /"
UaCaAUL,b13191937,"23484048","Sayyidāt al-balāṭ al-ʻAbbāsī /"
UaCaAUL,b14013186,"15605082","al-Taṣawwuf wa-Farīd al-Dīn al-ʻAṭṭār /"
UaCaAUL,b12764590,"10500590","Dhikrayāt Saʻd, ʻAbd al-ʻAzīz, Māhir wa-rifāquh fī thawrat sanat 1919, taṣarrufāt ḥukūmīyah /"
UaCaAUL,b13731014,"23519747","Madanīyat al-ʻArab fī al-Jāhilīyah wa-al-Islām :"
UaCaAUL,b13185743,"23490966","al-Ḥūr wa-al-nūr /"
UaCaAUL,b12656288,"1004624865","Ārāʼ wa-aḥādīth fī al-qawmīyah al-ʻArabīyah /"
UaCaAUL,b13194409,"122899294","al-Natāʼij al-siyāsīyah lil-ḥarb al-ʻuẓmá /"
UaCaAUL,b12689312,"122899231","Tārīkh Miṣr al-siyāsī fī al-azminah al-ḥadīthah /"
UaCaAUL,b13156093,"23522682","al-Hujūm ʻala Ūrūbbā /"
UaCaAUL,b19160525,"769350106","Kitāb al-tārīkh al-qadīm :"
UaCaAUL,b13180599,"33924381","Nawādir al-ḥarb al-ʻuẓmá :"
UaCaAUL,b14011724,"23496878","al-ʻUqūd al-durrīyah :"
UaCaAUL,b14394650,"973871694","Ḥāshiyat al-ʻālim al-ʻallāmah Shaykh al-Islām al-Shaykh Ibrāhīm al-Bījūrī al-musammāh bi-Taḥqīq al-maqām ʻalá Kifāyat al-ʻawāmm fī ʻilm al-kalām li-shaykhihi al-Shaykh Muḥammad al-Faḍalī taghamdahumā Allāh bi-raḥmatihi wa-askanahumā fasīḥ jannatihi āmīn."
UaCaAUL,b14493615,"40874247","al-Iʻlām wa-al-ihtimām bi-jamʻ Fatāwá Shaykh al-Islām Abī Yahỵá Zakarīyā ibn Muhạmmad al-Ansạr̄ī /"
UaCaAUL,b12905008,"44657089","al-Āthār al-bāqiyah ʻan al-qurūn al-khālīyah /"
UaCaAUL,b12006841,"22757530","Nūr al-Dīn wa-al-Ṣalībīyūn :"
UaCaAUL,b12325594,"187315683","al-Washīʻah fī naqd ʻaqāʼid al-Shīʻah."
UaCaAUL,b13358091,"18100759","Kitāb Baghdad /"
UaCaAUL,b13225467,"60510201","Ghūṭat Dimashq /"
UaCaAUL,b13221607,"13202214","Mudhakkirāt Midḥat Bāshā /"
UaCaAUL,b12256390,"318938859","Qawāʻid al-taḥdīth min funūn muṣṭalaḥ al-Ḥadīth /"
UaCaAUL,b13214482,"26867803","al-Dawlah al-Amawīyah fī Qurṭubah /"
UaCaAUL,b12705986,"318940774","Naḥwa ʻurūbah jadīdah /"
UaCaAUL,b1319401x,"122899290","al-masʼalah al-Sharqīyah /"
UaCaAUL,b13745384,"994641414","Aqsām ḍāʼiʻah min kitāb Tuḥfat al-umarāʼ fī tārīkh al-wuzarāʼ /"
UaCaAUL,b12692864,"318940766","Masʼūlīyat al-ḥukūmah al-Miṣrīyah bi-iʻtibārihā ṣāḥibat al-wilāyah al-ʻāmmah /"
UaCaAUL,b11909778,"22320769|318937203","Muḥammad ʻAlī al-Kabīr /"
UaCaAUL,b13194495,"32109767|23513105","Tārīkh Bābil wa-Āshūr /"
