003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12314468,"784184676","al-Ṭurfah al-naqīyah min tārīkh al-kanīsah al-Masīhīyah /"
LeBAU,b12314523,"784184779","al-‘Ilm wa-al-‘umrān."
LeBAU,b12314535,"784184784","al-Ḥayāh al-jadīdah /"
LeBAU,b12314687,"784185378","Majmū‘ah min kull jins wa-naw‘ :"
LeBAU,b12314754,"784185398","al-Rasāʼil wa-al-maqāmāt :"
LeBAU,b1231478x,"784185407","Min waḥy al-fiṭrah /"
LeBAU,b12314985,"784185522","al-Ijtihād fī sabīl al-ittiḥād :"
LeBAU,b12315023,"784185568","Tārīkh Dayr al-Qiddīs Jāwirjiyūs al-Muzayriʻah /"
LeBAU,b12315060,"784185587","Ḥaqīqat tārīkh Dayr Mār Jirjis al-Ḥumayrā’ /"
LeBAU,b12315096,"784185604","Muhāḍarah tārīkhīyah fī al-dīn wa-al-‘ilm wa-al-adab /"
LeBAU,b12315114,"784185610","al-Diyārāt al-naṣrānīyah fī al-Islām /"
LeBAU,b1231514x,"784185631","Ma‘rad al-afkār, aw, ṣadá riwāyat al-Yahūdī al-tā’ih :"
LeBAU,b12315187,"784185744","Dīwān al-taḥqīq wa-al-muḥākamāt al-kubrá /"
LeBAU,b12315308,"784186325","Khiṭāb ḥaḍrat ṣāḥib al-Fakhāmah al-Shaykh Bishārah Khalīl al-Khūrī raʼīs al-Jumhūrīyah al-Lubnānīyah fī ḥaflat al-Istiqbāl al-Rasmī li-mandūbī al-Mu’tamar al-‘Ām al-Thālith li-Munaẓẓamat al-Ūmam al-Muttaḥidah lil-Tarbiyah wa-al-ʻIlm wa-al-Thaqāfah, Bayrūt fī 17 Tishrīn al-Thānī 1948."
LeBAU,b12315357,"784186343","Dustūr munaẓẓamat al-Ūmam al-Muttaḥidah lil-Tarbiyah wa-al-‘Ilm wa-al-Thaqāfah (Ūnīskū)."
LeBAU,b12315370,"784186391","al-Ūniskū :"
LeBAU,b1231545x,"784186450","al-Taqrīr al-rābi‘ :"
LeBAU,b12315564,"784186502","Muḥāḍarāt al-Majmaʻ al-ʻIlmī al-ʻArabī."
LeBAU,b12315680,"784186540","Falsafat al-wujūd /"
LeBAU,b12315710,"784186549","Maʻānī al-falsafah /"
LeBAU,b12315771,"784186586","Ḥayāt al-Ḥaqāʼiq /"
LeBAU,b12315801,"784186596","Asālīb al-tafkīr /"
LeBAU,b12315850,"784186634","Dalīl du‘āt al-Ittiḥād :"
LeBAU,b12315862,"784186638","Jabr al-qīmah :"
LeBAU,b12315874,"784186646","Sārtir wa al-falsafah /"
LeBAU,b12316088,"784186804","al-Taqrīr al-‘āmm lil-sanawāt 1946-1949 :"
LeBAU,b12316167,"784186848","Iradat al-Iʻtiqād /"
LeBAU,b12316209,"784186871","Muḥāḍarāt fī al-falsafah /"
LeBAU,b12316222,"784186876","Mashākil al-falsafah /"
LeBAU,b12316234,"784186883","Ḥadīth al-ʻashīyah /"
LeBAU,b1231643x,"784187037","al-Majālī al-tārīkhīyah fī tarjamat al-rābibah al-shahīrah Hindīyah, aw, ṣafḥah min tārīkh al-ṭāʼifah al-Mārūnīyah wa-‘alāqatuhā bi-al-kursī al-rasūlī al-muqaddas fī al-qarn al-thāmin ‘ashar /"
LeBAU,b12316465,"784187079","al-Madhāhib al-falsafīyah al-ʼuẓmá fi al-ʼuṣūr al-ḥadīthah /"
LeBAU,b12320365,"784194368","Makhāwif al-aṭfāl /"
LeBAU,b12321199,"784195088","al-‘Aqā’id /"
LeBAU,b12322076,"784196891","al-Insānīyah wa-al-tamaddun /"
LeBAU,b12322143,"784197033","al-Durūs al-ḥikamīyah lil-nāshiʼah al-Islāmīyah /"
LeBAU,b12322209,"784197130","Durūs al-Falsafah :"
LeBAU,b12322246,"784197178","al-Ḥayāt al-ʻaqlīyah, aw, durūs fī ʻilm al-nafs /"
LeBAU,b12322295,"784197787","Dirāsāt fī ʻilm al-nafs al-adabī /"
LeBAU,b12322349,"784197864","‘Ilm al-nafs al-taṭbīqī /"
LeBAU,b12322416,"784197981","Asāṭīr al-umam /"
LeBAU,b12322489,"784198041","Min al-ḥakīm al-qadīm ilā al-mawātin al-ḥadīth :"
LeBAU,b12322623,"784198189","Kayfa yaʼmalu al-ʻaql /"
LeBAU,b12322684,"784198742","al-Mantiq al-ḥadīth wa-manāhij al-baḥth /"
LeBAU,b12322696,"784198752","ʻIẓat al-nāshiʼīn :"
LeBAU,b12322799,"784198900","al-Inshāʼ al-falsafī :"
LeBAU,b12322829,"784198987","‘Ilm al-nafs /"
LeBAU,b12322842,"784199002","Shakhṣīyatuka fī Yadika /"
LeBAU,b12322945,"784199195","al-Akhlāq bi-lā ilzām wa-lā jazāʼ /"
LeBAU,b12322994,"784199231","al-Maysir wa-al-azlām :"
LeBAU,b12323007,"784199235","al-Tasāmuḥ fī al-islām /"
LeBAU,b12323019,"784199242","‘Ilm al-nafs wa-al-akhlāq :"
LeBAU,b12323056,"784199273","Hādhā madhhabī /"
LeBAU,b12323081,"784199286","Jāmi‘ al-akhbār."
LeBAU,b12323135,"784199303","Kitāb al-aṣnām /"
LeBAU,b12323226,"784199324","ʻUshshāq al-sharq wa-al-gharb :"
LeBAU,b1232324x,"784199328","al-Ḥayāt wa-al-ḥubb /"
LeBAU,b12323287,"784199337","al-Akhlāq ʻinda nābighat al-ʻaṣr /"
LeBAU,b12323366,"784199350","al-Ḥubb al-ʻUdhrī :"
LeBAU,b12323433,"784199360","al-Ḥubb al-ʻUdhrī /"
LeBAU,b12323445,"784199361","al-Shihāb al-thāqib fī dhamm al-khalīl wa-al-ṣāḥib /"
LeBAU,b12323457,"784199362","al-Riyāḍ al-Khazʻalīyah fī al-siyāsah al-insānīyah, aw afḍal khaṭṭat qalam fī al-akhlāq wa-al-ḥikam /"
LeBAU,b12323536,"784199381","al-Akhlāq wa-ʻilm al-ʻādāt al-akhlaqīyah /"
LeBAU,b12323615,"784199397","al-Akhlāq wa-al-wājibāt /"
LeBAU,b12323627,"784199402","Kitāb al-Ashribah /"
LeBAU,b12323639,"784199403","Fann al-ḥayāh /"
LeBAU,b12323706,"784199441","al-Taqrīr al-sanawī."
LeBAU,b12323718,"784199444","Naẓrah ijmālīyah fī tārīkh al-daʻwah al-Islāmīyah fī al-Hind wa al-Bākistān /"
LeBAU,b12323743,"784199465","Adab al-dunyā wa-al-dīn /"
LeBAU,b12323767,"784199473","al-Akhlāq al-Masīḥīyah /"
LeBAU,b12323846,"784199506","Kitāb al-Rifq bi-al-ḥayawān /"
LeBAU,b1232386x,"784199518","Nawāt al-waḥdah al-dīniyah fī al-ʻālam :"
LeBAU,b12324036,"784199572","Qiṣṣat al-Falsafah al-Yūnānīyah /"
LeBAU,b12324048,"784199574","al-Akhlāq ʻinda al-Ghazzālī /"
LeBAU,b12324097,"784199584","Falsafat al-akhlāq fī al-Islām wa-ṣilātuhā bi-al-falsafah al-Ighrīqīyah :"
