b12469622,aub_aco004305
b12469464,aub_aco004310
b12486863,aub_aco004423
b12509498,aub_aco004495
b12571441,aub_aco004694
b1245266x,aub_aco004117:'v.1'
b12576189,aub_aco004710
b25561819,aub_aco004119:'v.2'
b13191056,aub_aco004677
b12558345,aub_aco004476
b12469543,aub_aco004312
b12560388,aub_aco004679
b12533853,aub_aco004578
b12450194,aub_aco004062
b12467340,aub_aco004251
b12958098,aub_aco004737
b12483564,aub_aco004362
b12562178,aub_aco004631
b12457218,aub_aco004177
b1248281x,aub_aco004334:'v.1'|aub_aco004335:'v.2'|aub_aco004336:'v.3'|aub_aco004337:'v.4'|aub_aco004338:'v.5'|aub_aco004339:'v.6'|aub_aco004340:'v.7'|aub_aco004341:'v.8'|aub_aco004342:'v.9'|aub_aco004343:'v.10'|aub_aco004344:'v.11'|aub_aco004345:'v.12'|aub_aco004346:'v.13'|aub_aco004347:'v.14'|aub_aco004348:'v.15'
b12649466,aub_aco004573:'v.1'|aub_aco004574:'v.2'
b12448382,aub_aco004083
b12468836,aub_aco004267
b12534304,aub_aco004581
b12458016,aub_aco004143
b12513258,aub_aco004482:'v.2'|aub_aco004483:'v.3'
b12460412,aub_aco004171
b12520020,aub_aco004497
b12579567,aub_aco004682
b12467364,aub_aco004252:'v.1-2'
b12500859,aub_aco004446
b13649668,aub_aco004672
b12571611,aub_aco004700
b12551144,aub_aco004726
b12448461,aub_aco004039
b12559921,aub_aco004623:'v.1-3'
b12455568,aub_aco004110
b12459343,aub_aco004167
b12467285,aub_aco004248
b12474393,aub_aco004296
b12534705,aub_aco004658
b12461337,aub_aco004005
b12511274,aub_aco004469
b12516491,aub_aco004615
b12465641,aub_aco004238
b12468812,aub_aco004281
b12471148,aub_aco004289
b12571477,aub_aco004697
b12463395,aub_aco004030
b12452191,aub_aco004112
b12516892,aub_aco004499
b12554212,aub_aco004650
b12509590,aub_aco004490
b12597338,aub_aco004628:'v.1'|aub_aco004629:'v.2'
b12482547,aub_aco004353|aub_aco004358
b12456743,aub_aco004035
