003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12523082,"784380762","Sayf al-Dawlah :"
LeBAU,b12779246,"784511202","al-Khālidūn al-‘Arab /"
LeBAU,b1276730x,"784508226","Tārīkh al-Imām al-Shāfi‘ī :"
LeBAU,b12489360,"784349556","Rijāl al-ʻilm wa muktashafātuhum /"
LeBAU,b12768170,"784508903","al-Bustān :"
LeBAU,b12374593,"784287933","ʻIlm al-nafs al-ijtimāʻī :"
LeBAU,b12790163,"784514655","Maʼsāt handasīyah, aw, al-nahr al-majhūl /"
LeBAU,b12762301,"784506049","Qānūn inḍibāṭ muwaẓẓafī al-dawlah raqam 41 li-sanat 1929."
LeBAU,b12486711,"784344899","Qāmūs al-nabātāt /"
LeBAU,b12616175,"784429340","al-Irtisāmāt al-luṭāf fī khāṭir al-ḥajj ilá aqdas maṭāf :"
LeBAU,b1238057x,"784291350","Radd ‘alá radd al-Saqīfah /"
LeBAU,b12578836,"784414758","‘Alá al-ṭarīq :"
LeBAU,b12516259,"784370199","Mukhtārāt min al-naqd al-adabī al-mu‘āṣir /"
LeBAU,b1256512x,"784408090","Yawmīyāt nā’ib fī al-aryāf /"
LeBAU,b12724476,"784482804","Faransā wa-Sūriyā."
LeBAU,b12935372,"784528839","al-Naqd al-adabī :"
LeBAU,b12641005,"784442069","Maṣra‘ al-summunah /"
LeBAU,b12524268,"784381461","Wāzin al-arwāḥ /"
LeBAU,b12523173,"784380857","Faqīr amāma al-qaḍā’ /"
LeBAU,b12764103,"784507021","Nidā’ al-majādhīf :"
LeBAU,b1277148x,"784509905","Tārīkh Sūrīyah wa-Lubnān al-muṣawwar /"
LeBAU,b12781794,"784511952","Hādhā Kitāb Tanqīḥ al-maqāl fī aḥwāl al-rijāl /"
LeBAU,b12646799,"122955590","al-Injilīz fī bilādihim /"
LeBAU,b12761205,"784505789","Nukhbat al-qawānīn wa-al-anẓimah wa-al-bayānāt wa-al-iʻlānāt al-mukhtaṣṣah bi-al-amwāl ghayr al-manqūlah wa al-ṣādirah mundhu 1914 ilá ghāyat 1932."
LeBAU,b12760225,"784505563","Mushkilat tanmīyat al-iqtiṣād al-qawmī /"
LeBAU,b12597144,"784423260","Kitāb Majma‘ al-Baḥrayn /"
LeBAU,b12764875,"784507217","Lubnān :"
LeBAU,b12536945,"784393346","Diwān al-shahīd ʻUmar Ḥamad :"
LeBAU,b12355689,"784242794","Tamhīd li-tārīkh al-falsafah al-Islāmīyah /"
LeBAU,b12760250,"784505567","Taqārīr ‘an a‘māl al-Amānah al-‘Āmmah bayna dawrāt ijtimā‘ al-Majlis min al-dawrah al-ūlá ilá al-dawrah al-‘āshirah ;"
LeBAU,b12942881,"784528974","al-Jadāwil al-riyādīyah dhāt arba‘at al-arqām al-‘ishrīyah /"
LeBAU,b12495852,"784358336","Makhārij al-ḥurūf, yā, Asbāb-i ḥudū̲s al-ḥurūf /"
LeBAU,b12786317,"784513369","Tarīkh zirā‘at al-quṭn fī Miṣr wa-aham aṣnāfihi /"
LeBAU,b12632454,"784434898","‘Umar ibn Abī Rabī‘ah :"
LeBAU,b1276291x,"784506263","Taqrīr ‘an ḥālat wa-a‘māl Maṣlaḥat al-Rayy al-Miṣrīyah :"
LeBAU,b12364782,"784268619","Hāshim al-Mirqāl /"
LeBAU,b12523252,"784380897","Madrasat al-zawjāt ;"
LeBAU,b12633410,"784435576","al-ʻAlā‎qā‎t al-ijtimā‎ʻīyah fī al-Sharq al-ʻArabī /"
LeBAU,b12762957,"784506272","Taqrīr ‘an a‘māl Mudīrīyat al-Rayy al-‘Āmmah khilāla fatrat al-sanawāt al-thalāth min 1/4/1946 ilá 31/3/1949 /"
LeBAU,b12578599,"784413772","al-Jabābirah /"
LeBAU,b12654462,"784450885","Ḥayāt arba‘ min shahīrāt al-nisā’ /"
LeBAU,b12630895,"784434673","Riḥlah ilá bilād al-majd al-mafqūd /"
LeBAU,b13484989,"784554883","Kitāb Rujūʻ al-shaykh ilá ṣibāh fī al-quwwah ʻalā al-bāh /"
LeBAU,b12730191,"784488849","al-Qawmīyah al-ʻArabīyah :"
LeBAU,b14027938,"784572747","al-Ta‘līm fī Miṣr fī sanatay 1914 wa 1915 :"
LeBAU,b12621432,"784430531","Nihāyat al-arab fī funūn al-adab /"
LeBAU,b12499316,"784360883","al-Fann al-ighrīqī wa āthāruhu al-mashhūrah fī al-Sharq :"
LeBAU,b12497794,"784360541","Falsafat al-fann fī al-taṣwīr al-Īṭālī fī ‘ahd al-nahḍah /"
LeBAU,b12376887,"784289300","Min hunā na‘lam /"
LeBAU,b12763007,"784506281","Taqrīr Lajnat Mashrūʻāt al-Nīl, 1920 ;"
LeBAU,b12764085,"784507015","Sharḥ Dīwān Kuthayyir ibn ‘Abd al-Raḥman al-Khuzā‘ī :"
LeBAU,b12509280,"784365504","Tārīkh al-naqd al-adabī ‘inda al-‘Arab :"
LeBAU,b12762428,"784506079","Ittifāqīyah tata‘allaqu bi-tanẓīm al-milāḥah al-jawwīyah :"
LeBAU,b12771491,"784509906","al-Ghurar al-tārīkhīyah fī al-usrah al-Yāzījīyah :"
LeBAU,b12781101,"784511881","Mu‘jam al-aṭibbā’ :"
LeBAU,b12382401,"784292148","aʻAṣr al-Ma’mūn /"
LeBAU,b12499328,"784360884","Ma‘raḍ al-fann al-Fārisī /"
LeBAU,b12503848,"784363531","Murshid al-naḥḥāl /"
LeBAU,b12699846,"784468112","Min al-zawiyah al-ʻArabiyah /"
LeBAU,b12494057,"784355600","Tārīkh al-ṭibb fī al-ʻIrāq maʻa nushū’ wa-taqaddum al-Kullīyah al-Ṭibbīyah al-Malakīyah al-ʻIrāqīyah /"
LeBAU,b12605463,"784426766","Kalimāt wa-ishārāt /"
LeBAU,b12777778,"784511042","Fī al-adab al-Andalusī /"
LeBAU,b12783638,"784512137","Mu‘jam al-‘Irāq :"
LeBAU,b12651370,"784450027","Rijālāt al-Ḥijāz /"
LeBAU,b12556336,"784405570","Umarā’ al-shi‘r al-‘Arabī fī al-‘Aṣr al-‘Abbāsī :"
LeBAU,b12760274,"784505572","Ittifāq maʻqūd fi 24 Ādhār li-taʻdīl al-muqāwālah al-maʻqūdah fi 14 Ādhār 1925 maʻa al-ḥukūmah al-ʻIrāqīyah /"
LeBAU,b12428565,"784311253","al-Niẓām al-iqtiṣādī fī Filasṭīn /"
LeBAU,b12522867,"784380148","Amīrah Bābilīyah ladá al-Durūz /"
LeBAU,b12516405,"784370336","al-Shiʻr al-mu‘āṣir ‘alá ḍaw’ al-naqd al-ḥadīth /"
LeBAU,b12672439,"31692607","Abū Dharr al-Ghifārī :"
LeBAU,b12695531,"784466198","Kalimah fī Ibn Khaldūn wa-muqaddimatihi /"
LeBAU,b1249771x,"784360505","al-Fann wa al-tarbiyah al-ijtimā‘iyah /"
LeBAU,b12374829,"784287974","ʻIlm al-nafs al-ijtimāʻī /"
LeBAU,b12767402,"784508248","al-Usar al-‘Arabīyah al-mushtahirah bi-al-ṭibb al-‘Arabī wa-ashhar al-makhṭūṭāt al-ṭibbīyah al-‘Arabīyah /"
LeBAU,b12770917,"784509846","Kitāb Nahr al-dhahab fī tārīkh Ḥalab /"
LeBAU,b12516090,"784370130","Manhaj al-baḥth fī al-adab wa-al-lughah /"
LeBAU,b12771508,"784509907","Ḥadīth tārīkhī ‘an al-Kūrah wa-Bishmizzīn :"
LeBAU,b12768972,"784509084","Siyāsah lā wijdān :"
LeBAU,b12482638,"784339724","Taqrīr khāṣṣ bi-ṭarīqat taʼlīf al-muʻjam al-tārīkhī al-kabīr lil-lughah al-ʻArabīyah /"
LeBAU,b13246835,"784543949","Mukāfaḥat al-ummīyah :"
LeBAU,b12542647,"784398052","al-Urjūzah al-ʻaṣrīyah /"
LeBAU,b1276713x,"784508192","al-Ḥasan al-Baṣrī :"
LeBAU,b1276615x,"784507978","Kitāb al-burhān fī tafsīr al-Qur’ān /"
LeBAU,b12487533,"784346130","Asālīb tadrīs al-lughah a-ʻArabīyah fī al-ṣufūf al-ibtidāʼīyah /"
LeBAU,b1276694x,"784508156","Lubnān al-jamīl :"
LeBAU,b1277263x,"784510014","Mukhtaṣar Tārīkh Jabal Lubnān /"
LeBAU,b12356050,"81618776","Talkhīṣ kitāb al-nafs /"
LeBAU,b17926944,"936117382","Wādī al-Furāt."
LeBAU,b12767724,"784508318","Naṣṣ mashrūʻ al-muʻāhadah alladhī qaddamahu al-wafd al-Miṣrī ilá Lajnat al-Lūrd Milnir :"
LeBAU,b12768844,"54305792","Ma‘rakat al-ḥurrīyah fī sharq al-Urdun wa-aqwāl rijāl al-siyāsah fī Sūriyā al-Kubrá /"
LeBAU,b12778370,"784511105","al-Ḥasharāt al-ḍārrah fī Miṣr /"
LeBAU,b12767025,"784508170","Muhimmah fī qārrah :"
LeBAU,b13078082,"784534675","TAHAFOT AL-TAHAFOT /"
LeBAU,b1237698x,"784289316","al-Taqrīr al-sanawī li-Dāʼirat al-Shuʼūn al-Ijtimāʻīyah /"
LeBAU,b12763378,"784506369","Qalʻat Samʻān :"
LeBAU,b12381032,"784291908","al-Khulafāʼ al-rāshidūn /"
LeBAU,b12771387,"784509895","Kharīdat al-Qaṣr wa-jarīdat al-ʻAṣr :"
LeBAU,b12760675,"784505665","al-Dustūr :"
LeBAU,b12760146,"784505545","Qānūn al-minhāj al-ʻāmm li-mashārīʻ majlis al-Iʻmār wa-wizārat al-Iʻmār :"
LeBAU,b12765843,"784507909","Sūriyā wa-Lubnān wa-Filasṭīn fī al-qarn al-thāmin ʻashar kamā waṣafahā aḥad al-mashāhīr al-gharbīyīn /"
LeBAU,b12759521,"784504939","Taqrīrān ʻan al-ḥālah al-iqtiṣādīyah al-ḥāḍirah wa al-siyāsīyah al-iqtiṣādīyah ;"
LeBAU,b12553062,"784403864","Dīwān ʻAbd al-Raḥmān Shukrī."
LeBAU,b12689749,"784463485","baḥth ʻan al-istishrāq ladá jamīʻ al-umam mundhu fajrihi min alf ʻām ilá al-yawm"
LeBAU,b12498300,"784360731","Dalīl Matḥaf al-fann al-Islāmī :"
LeBAU,b12688447,"784463345","al-Shiʻr wa-al-shuʻarāʼ /"
LeBAU,b14186986,"784577282","al-Burhān min Kitāb al-shifāʼ /"
LeBAU,b12696778,"784467130","al-Maḥfūẓāt al-Malakīyah al-Miṣrīyah :"
LeBAU,b12770991,"25521339","Ḥurūb al-muqaddimīn, 1075-1450 :"
LeBAU,b12681088,"784459606","Shūbān :"
LeBAU,b12578563,"784413768","Amīn al-Rīḥānī :"
LeBAU,b12509103,"784365455","al-Naqd al-adabī wa-atharuhu fī al-shi‘r al-‘Abbāsī /"
LeBAU,b12374647,"784287940","al-Da‘āwah wa-al-nashr, aw, al-brūbaghandā /"
LeBAU,b12382139,"784292098","al-Kalimāt :"
LeBAU,b1263735x,"784438014","Mufaṣṣal jughrāfīyat al-‘Irāq :"
LeBAU,b12311947,"784182258","‘Abqarīyat al-Masīḥ /"
LeBAU,b12673948,"784456816","al-‘Arab wa-al-ḥaḍārah al-ḥadīthah /"
LeBAU,b12790175,"784514656","Rayy Sāmarrāʼ fī ʻahd al-Khilāfah al-ʻAbbāsīyah :"
LeBAU,b1263993x,"784440387","al-Dalīl al-ʻArabī lil-tijārah wa-al-ṣinā‘ah wa-al-mihan wa-al-ḥiraf wa-al-hātif wa-al-maṣāliḥ al-‘āmmah fī Sūrīyah wa-Lubnān 1945 /"
LeBAU,b12478854,"784338582","Ḥurūf al-hijāʼ al-ʻArabīyah :"
LeBAU,b12357479,"784248088","Risālah aḍḥawīyah fī amr al-miʻād /"
LeBAU,b1276887x,"784509063","al-Malik ‘Abd Allāh wa-aṭmā‘uhu ghayr al-mashrūʻah fī Sūriyā wa-Filastīn /"
LeBAU,b12695610,"784466241","Ḥayāt Ibn Khaldūn wa-muthul min falsafatihi al-ijtimāʻīyah /"
LeBAU,b12759533,"784504942","Taqrīr al-Sir Aliksandir Jībb wa-shurakāh ʻan al-taṭawwur al-iqtiṣādī fī Lubnān /"
LeBAU,b12695658,"784466266","Ibn al-Khaṭīb min khilāl kutubihi /"
LeBAU,b12494355,"784356112","Risālat al-ṭibb al-‘Arabī wa-ta’thīruhu fī madanīyat Ūrubbā /"
LeBAU,b12357947,"784249559","Kitāb ʻUyūn al-ḥikmah /"
LeBAU,b12773050,"784510062","Lūrans wa-al-ʻArab :"
LeBAU,b12539739,"784395726","Dīwān ibn al-Sā‘ātī /"
LeBAU,b12674059,"784456833","Tārīkh al-shuʻūb al-Islāmīyah /"
LeBAU,b1250905x,"784365449","al-Naqd al-jamālī wa-atharuhu fī al-naqd al-‘Arabī /"
LeBAU,b12535916,"784392041","Dīwān al-Kāẓimī :"
LeBAU,b12363017,"784262492","Ibn Sīnā :"
LeBAU,b12442392,"784319915","Maqāyīs al-kafā’ah lil-istiqlāl /"
LeBAU,b12488951,"784348319","Iṣlāḥ al-Manṭiq /"
LeBAU,b1250385x,"784363533","Naḥl al-ʻasal wa-al-niḥālah /"
LeBAU,b12589652,"784419367","Nūr al-afhām :"
LeBAU,b12695695,"784466281","Ibn al-‘Amīd /"
LeBAU,b12543597,"784399061","Ṣarkhah fī wādin /"
LeBAU,b12768881,"784509065","Tārīkh wilāyat Sulaymān Bāshā al-ʻĀdil :"
LeBAU,b12758541,"784504684","al-Taʻrīfah al-kumrukīyah /"
LeBAU,b12524153,"784381373","Ḥabīs buḥayrat quds /"
LeBAU,b12760614,"784505653","Muʻāhadat istirdād al-Mujrimīn bayna al-ʻIrāq wa Barīṭāniyā al-ʻUẓmá :"
LeBAU,b12600106,"784424530","Taṭawwur al-asālīb al-nathrīyah fī al-adab al-‘Arabī :"
LeBAU,b12768923,"784509074","Mashrūʻ Sūriyā al-Kubrā :"
LeBAU,b1283774x,"784521079","‘Āmān fī al-Furāt al-awsaṭ /"
LeBAU,b12761187,"784505785","Majmū‘at al-bayānāt wa al-iʻlānāt wa-ghayrahā :"
LeBAU,b12668278,"784455008","al-Kawakib al-sāʼirah bi-aʻyān al-miʼah al-ʻāshirah /"
LeBAU,b12550371,"784402787","al-Aghwār /"
LeBAU,b12727222,"784486540","Hādhā al-ʻālam al-ʻArabī :"
LeBAU,b12503526,"784363464","Zirā‘at al-ashjār al-muthmirah wa-al-khuḍar fī al-bilād al-‘Arabīyah,"
LeBAU,b1248880x,"784348215","Naẓarāt fī al-lughah wa-al-adab /"
LeBAU,b12771600,"784509917","Lubnān al-ṭāʼifī /"
LeBAU,b12407847,"784301978","Taqrīr ʻan al-azmah al-iqtiṣādīyah wa-al-Ijtimāʻīyah /"
LeBAU,b12773219,"784510079","al-‘Irāq al-ḥadīth :"
LeBAU,b12837763,"784521094","Qabla wa-ba‘da /"
LeBAU,b12489098,"784348777","al-Masāʼil wa-al-ajwibah fī al-ḥadīth wa-al-lughah /"
LeBAU,b12787711,"784513509","al-Ghidhạʼ al-kāmil /"
