003/Inst,001/BSN,OCLC number(s),245a/Title
NNC,1519668,"78260656","Amāma al-dhikrá al-miʾawīyah al-sābiʻah li-wafāt Ibn al-Baytār /"
NNC,1519738,"77667375","Ismāʻ al-musāʻid wa-iqmāʻ al-muʻānid bi-targhīb al-shāriʻ fī qirāʾat al-Qurʾān jamāʻah fī al-masājid /"
NNC,1542770,"43507629","Risālah fī sharḥ mā ashkala min muṣādarāt kitāb Uqlīdis ..."
NNC,2018930,"17818318","Adab al-maqālah al-Ṣuḥufīyah fī Miṣr,"
NNC,2416237,"26842756","Aswāq al-ʻArab fī al-Jāhilīyah wa-al-Islām /"
NNC,2481551,"37877559","Muʻḍilāt al-madanīyah al-ḥadīthah, wa-maqālāt ukhrá /"
NNC,2532882,"10016153","Fī ṣaḥrāʾ Lībiyā"
NNC,2537770,"30818140","al-Jumānah al-ʻUthmānīyah /"
NNC,2537969,"33923459","al-Manāqib al-Ibrāhīmīyah wa-al-maʾāthir al-Khidīwīyah /"
NNC,2542376,"32117741","al-ʻUrwah al-wuthqá :"
NNC,2601755,"44658999","Muʻjam al-muʾallifīn;"
NNC,2640557,"499867465|499071428","al-Taḥlīl al-iqtiṣādī li-ʻamalīyāt al-intāj al-zirāʻī."
NNC,2664317,"13884074","al-Makhārij fī al-ḥiyal /"
NNC,2677013,"45060707","al-Qabāʾ il al-ruḥḥal fī al-ʻIrāq, wasiyāsat tawtinihim wa-ahamm mashrūʻ ātihī al-qāʾimah wa-at muqtaraḥah [taʾ līf]"
NNC,2678593,"45064487","Aḩlāf am ashrāk ... ?!"
NNC,2682170,"45067980","[Taqārīr] Muʾtamar al-Idārah al-ʻĀmmah al-ʻArabī, 1954, bi-riʻāyat Dāʾirat al-Idārah al-ʻĀmmah fī al-Jāmiʻah al-Amīrikīyah fī Bayrūt."
NNC,2723942,"40245184","al-Shakhsīyah /"
NNC,2752575,"7805572","al-Durr al-muntakhab fī tārīkh mamlakat Ḥalab /"
NNC,2869912,"10271876","al-Rūm fī siyāsatihim wa-ḥaḍāratihim wa-dīnihim wa-thaqāfatihim wa-ṣilātihim bi-al-ʻArab,"
NNC,2957878,"36146321","Kitāb al-Iqtiṣād fī al-iʻtiqād /"
NNC,2959328,"11337112","Kitāb Fatḥ al-Malik al-ʻAllām fī bashā'ir dīn al-Islām /"
NNC,2959577,"45903907","Kitāb al-Natījah al-ʻaṣrīyah min al-muṭāraḥāt al-Qurʾānīyah  /"
NNC,2965254,"45954463","Ṣaḥīḥ sunan al-Muṣṭafā /"
NNC,2980510,"46307347","Majālī al-ghurar li-kuttāb al-qarn al-tāsiʻ-ʻashar,"
NNC,2980624,"23510135","Dīwān al-maʻānī /"
NNC,2980684,"34070402","Kitāb faḍl al-ʻaṭāʾ ʻalá al-ʻusr /"
NNC,2980708,"22350459","ʻUqalāʾ al-majānīn,"
NNC,2980714,"505666458","al-Ṣāḥib ibn ʻAbbād /"
NNC,2981163,"19116462","al-Dīwān,"
NNC,2981674,"46313392","Sharh Dīwān Abī al-hārith al-shahīr bi Imriʾ i'l-Qays ibn Hujr al-Kindī /"
NNC,2983908,"33994334","al-Juzʾ al-awwal [wa-al-thānī] min Kitāb al-ʻumdah fī ṣināʻat al-shiʻr wa-naqdih /"
NNC,2983996,"46322347","Kitāb Fiqh al-lughah wa-sirr al-ʻArabīyah /"
NNC,2984648,"46323018","Dīwān sulṭān al-ʻāshiqīn al-ʻārif billāh sharaf al-dīn Sayyidī ʻUmar ibn al-Fāriḍ."
NNC,3057630,"40176156","Tārīkh al-Isrāʾīlīyīn /"
NNC,3058821,"29926441","Kitāb tarjamat al-Julistān al-Fārisī al-ʻibārah, al-mushīr ilá maḥāsin al-ādāb bi-al-ṭiff ishārah /"
NNC,3062113,"7621935","al-Imām Muṣṭafā sādiq al-Rafiʻī"
NNC,3063302,"22730500","Ḥāshiyat al-ʻallāmah al-Bannānī ʻalá sharḥ al-Jalāl al-Muḥallī ʻalá Jamʻ al-Jawāmiʻ lil-Imām Ibn al-Subkī, taghammada Allāh al-jamīʻ bi-raḥmatihi wa-askanahum fasīḥ jannatih :"
NNC,3063342,"5796601","al-Malāmatīyah wa-al-ṣūfīyah wa-ahl al-futūwah /"
NNC,3063518,"47759983","Qādat al-fikr."
NNC,3063843,"25306661","Safarnāmah /"
NNC,3067328,"47791684","al-Sābiʾah qadīman wahadīthan,"
NNC,3068037,"27748581","Muḥammad ʻAbduh /"
NNC,3068232,"45595364","Alf laylah wa-laylah."
NNC,3068258,"47806608","al-Safar ilā al-muʾtamar."
NNC,3068395,"16943627","Min ḥadīth al-shiʻr wa-al-nathr /"
