b19168585,aub_aco001419
b12459148,aub_aco001506
b12838445,aub_aco001548
b12503952,aub_aco001594
b12775642,aub_aco001581
b12836503,aub_aco001568
b1248426x,aub_aco001579
b12516399,aub_aco001643
b12505687,aub_aco001599:'v.1'|aub_aco001600:'v.2'
b13364066,aub_aco001604
b12764838,aub_aco001617
b12495967,aub_aco001586
b12777365,aub_aco001437:'v.1-2'
b12355641,aub_aco001469
b12775733,aub_aco001582
b12784680,aub_aco001483
b17611994,aub_aco001626
b12388737,aub_aco001493
b1245221x,aub_aco001504
b1248457x,aub_aco001522:'v.1'|aub_aco001523:'v.2'|aub_aco001524:'v.3'|aub_aco001525:'v.4'|aub_aco001526:'v.5'
b12520317,aub_aco001629
b12510658,aub_aco001624
b12445629,aub_aco001456
b17623662,aub_aco001724
b12541631,aub_aco001658:'v.1'|aub_aco001659:'v.2'
b13627375,aub_aco001446
b1278462x,aub_aco001480
b12723290,aub_aco001719
b12730762,aub_aco001713
b17611258,aub_aco001489:'v.1'
b12360533,aub_aco001731
b17916616,aub_aco001727:'v.1'|aub_aco001728:'v.2'
b1248376x,aub_aco001578
b12366420,aub_aco001439
b17623285,aub_aco001418
b12832480,aub_aco001503
b19208200,aub_aco001529:'v.3'
b1277814x,aub_aco001559
b12571830,aub_aco001561|aub_aco001562|aub_aco001563|aub_aco001564|aub_aco001565
b17515750,aub_aco001434
b12479925,aub_aco001519
b17609756,aub_aco001636:'v.1'|aub_aco001637:'v.2'|aub_aco001638:'v.3'|aub_aco001639:'v.4'
b12496522,aub_aco001589
b12472463,aub_aco001514
b12439381,aub_aco001447
b12485299,aub_aco001531
b12761850,aub_aco001625
b12484830,aub_aco001527:'v.1'
b13284241,aub_aco001550
b12724385,aub_aco001720
b12700873,aub_aco001665
b13000688,aub_aco001607
b12591002,aub_aco001651
b12761679,aub_aco001541
b12527592,aub_aco001640
b12774765,aub_aco001546
b12702286,aub_aco001687
b1270121x,aub_aco001679:'v.1'|aub_aco001680:'v.1'|aub_aco001681:'v.3'|aub_aco001682:'v.4'|aub_aco001683:'v.4'|aub_aco001684:'v.4'
b12488811,aub_aco001536
b12761904,aub_aco001628
b14381783,aub_aco001627:'v.1'
b12439976,aub_aco001450
b17623704,aub_aco001417
b1289963x,aub_aco001641
b12784771,aub_aco001485
b12774637,aub_aco001556:'v.4'|aub_aco001557:'v.5'
b12760365,aub_aco001413
b19208212,aub_aco001528:'v.2'
b12771259,aub_aco001475
b12832066,aub_aco001478
b12730804,aub_aco001714:'v.1'|aub_aco001715:'v.2'
b12899653,aub_aco001642
b12728020,aub_aco001709
b12771247,aub_aco001474
