b12932000,aub_aco002047
b12357911,aub_aco002016
b12763275,aub_aco001793
b12553062,aub_aco001959:'v.1'
b17622979,aub_aco001810
b12503411,aub_aco001850
b12497484,aub_aco002051
b1276288x,aub_aco002065
b12759521,aub_aco001743
b12727222,aub_aco001912
b12783390,aub_aco001988
b1277263x,aub_aco001929
b12682317,aub_aco001865
b12494422,aub_aco002050
b12578393,aub_aco001798
b12578599,aub_aco001813
b12760110,aub_aco001757
b12771016,aub_aco001902
b12674850,aub_aco001863
b1283080x,aub_aco001916
b14186998,aub_aco002049
b1248880x,aub_aco002037
b12696778,aub_aco001896:'v.1'|aub_aco001897:'v.2'|aub_aco001898:'v.3'|aub_aco001899:'v.4'
b12498257,aub_aco002082
b12516466,aub_aco002075
b12779246,aub_aco001834
b12772720,aub_aco001907
b12697345,aub_aco001919:'v.1'|aub_aco001920:'v.2'|aub_aco001921:'v.3'
b12758541,aub_aco001750|aub_aco001751
b12630408,aub_aco001821
b20609188,aub_aco001900
b12577248,aub_aco001816
b12714331,aub_aco001940
b1276887x,aub_aco001901
b12935372,aub_aco002081
b12621432,aub_aco001962:'v.3'|aub_aco001963:'v.4'|aub_aco001964:'v.5'|aub_aco001965:'v.6'|aub_aco001966:'v.7'|aub_aco001967:'v.8'|aub_aco001968:'v.9'|aub_aco001969:'v.10'|aub_aco001970:'v.12'|aub_aco001971:'v.13'|aub_aco001972:'v.14'|aub_aco001973:'v.15'|aub_aco001974:'v.16'|aub_aco001975:'v.17'|aub_aco001976:'v.18'
b12376887,aub_aco002027
b12484477,aub_aco002030
b12435946,aub_aco001946
b12484428,aub_aco002029
b12632454,aub_aco002056:'v.1'|aub_aco002057:'v.2'
b12777778,aub_aco001987
b12761205,aub_aco001773
b12569434,aub_aco002102
b12758577,aub_aco001774
b12374647,aub_aco002023
b12758140,aub_aco001754
b1276730x,aub_aco001843
b12684065,aub_aco002068
b12605463,aub_aco001819
b12637695,aub_aco001828
b17588807,aub_aco001943
b12605906,aub_aco002100
b12866374,aub_aco002101
b12771600,aub_aco001917
b1276615x,aub_aco001739:'v.1'|aub_aco001742:'v.4'
b12651230,aub_aco001836
b12767724,aub_aco001985
b12616175,aub_aco001824
b2061102x,aub_aco001908
b12374829,aub_aco002025
b19229422,aub_aco001980
b12498300,aub_aco002083
b12695610,aub_aco002103
b12771491,aub_aco001876:'v.1'|aub_aco001877:'v.2'
b1793316x,aub_aco001992
b12503526,aub_aco001851
b12768170,aub_aco002108:'v.1'|aub_aco002109:'v.2'
b12767025,aub_aco001833
b1238057x,aub_aco002014
b12672439,aub_aco001838
b1283774x,aub_aco001883
b12374593,aub_aco002022
b1276713x,aub_aco001839
b12758437,aub_aco001746
b12771387,aub_aco001873:'v.1'|aub_aco001874:'v.2'
b12760274,aub_aco001762
b12771508,aub_aco001913
b12428565,aub_aco001945
b12523367,aub_aco002008
b12762301,aub_aco001775
b12763093,aub_aco002114
b12778370,aub_aco002113:'v.1'
b12768844,aub_aco001893
