003/Inst,001/BSN,OCLC number(s),245a/Title
NjP,1001208,"33196376|176207226","al-Anwār al-ʻAlawīyah wa-al-asrār al-murtaḍawīyah fī aḥwāl Amīr al-Muʼminīn wa-faḍāʼilihi wa-manāqibihi wa-ghazawātih /"
NjP,1110451,"176506422|36264830","Muḥāḍarāt fī bayān al-akhṭāʼ al-ʻilmīyah al-tārīkhīyah allatī ishtamala ʻalayhā kitāb Fī al-shiʻr al-Jāhilī /"
NjP,1274927,"28060704|177279611","Muhyī al-Dīn ibn ʻArabī /"
NjP,127787,"23500661|18223997|175515705","al-Jiyād al-nāshiṭah :"
NjP,129077,"31823677|175526422","al-Maqāmāt al-ithnatā ʻashrata /"
NjP,1290861,"176992707|29888831","Dīwān Surāqah al-Bāriqī /"
NjP,1297605,"40916030","al-Raghīf :"
NjP,1297716,"177017907|42873779","Dīwān."
NjP,1380587,"44102414","Rasāʾil al-Ṣāḥib ibn ʻAbbād /"
NjP,1391239,"23507745","Manhaj Abī al-Faraj al-Iṣfahānī fī Kitāb al-aghānī fī dirāsat al-naṣṣ wa-al-sīrah /"
NjP,1410828,"13884137|176692478","Dīwān"
NjP,1441851,"176778241|42899093","ʻAbd Allāh Fikrī;"
NjP,1467657,"176841640|42968640","al-Ḥarakah al-ʻummālīyah wa-niẓām al-niqābāt fī'l-Sūdān."
NjP,1473171,"17744470|176847881","Thaqāfat al-nāqid al-adabī."
NjP,1473332,"176848077|23506016","Mudhakkirāt al-Bārūdī,"
NjP,1481801,"176972187|23488873","al-Jā̇ḥiẓ fī al-Baṣrah wa-Baghdād wa-Sāmirāʼ /"
NjP,1494357,"30941047|177022479","Sharḥ Dīwān Kaʻb ibn Zuhayr /"
NjP,1529129,"42873444|177135003","Adab al-nudamāʼ wa-laṭāʼif al-ẓurafāʼ ..."
NjP,1529660,"23492590|177136588","al-Ṣafwah /"
NjP,1530473,"177138748|18113154","Ibrāhīm al-Māzinī."
NjP,1550891,"31602661|177197074","Dīwān Majnūn Laylā /"
NjP,1553548,"22840069|177204145","al-Taṭfīl"
NjP,1560519,"177222993|17746776","Akhbār al-ẓurāf wa-al-mutamājinīn,"
NjP,1568687,"177245676|18969194","al-Muqābasāt /"
NjP,1578066,"177268857|23512059","al-ʻArab # wa-al-Atrāk"
NjP,1604013,"177355377|40974659|8961380","Shiʻr al-Mukhaḍramīn wa-athar al-Islām fīh"
NjP,1607106,"15270164|177363832","Dīwān Diʻbil ibn ʻAlī al-Khuzāʻī /"
NjP,1607513,"177365525|15218555","Dīwān Abī al-Aswad al-Duʼalī."
NjP,1645766,"177605077|38125116","al-Maḥāsin wa-al-aḍdād /"
NjP,1652249,"419328425|177643113|13079258","al-Furūsīyah fī al-shiʻr al-Jāhilī"
NjP,1655482,"3313874|177663222","Abū Ḥayyān at-Tawḥīdī,"
NjP,1665726,"21582958|177734623","Ibn Wakīʻ al-Tinnīsī,"
NjP,1667638,"177747292|42854002","Dīwān al-imam ʻAlī ibn Abī Ṭālib."
NjP,1674523,"42873774|177797904","Dīwān Abī al-Maḥāsin al-Karbalāʼī."
NjP,1680610,"42811964|45303976|177858457","al-Muṭrib min ashʻār ahl al-Maghrib ..."
NjP,1685334,"43206313|177902048","al-Abrāj ..."
NjP,1685335,"177902058|43206314","Aghārīd min al-ḥubb ... wa-ilá al-ḥubb."
NjP,1691357,"10643173|177949485","al-Jāḥiẓ wa-al-ḥāḍirah al-ʻAbbāsīyah"
NjP,1724350,"33922432|885055532|44815710","Kitāb al-Maḥāsin wa-al-aḍdād /"
NjP,1733733,"4271452","Jibrān Khalīl Jibrān"
NjP,1737716,"225990928|20043607","Dīwān al-ḥamāsāh."
NjP,1753758,"885055985|23978504","Fī al-adāb al-ʻAbbāsī /"
NjP,1753760,"885056137|40974868","al-Buḥturī fī Sāmarrāʼ ḥattá nihāyat ʻaṣr al-Mutawakkil /"
NjP,1755395,"23503222","al-Yad wa-al-arḍ wa-al-māʻ /"
