b1237233x,aub_aco002391:'v.1-2'|aub_aco002392:'v.3-4'|aub_aco002393:'v.5-6'|aub_aco002394:'v.7-8'|aub_aco002395:'v.9-10'|aub_aco002396:'v.11-12'|aub_aco002397:'v.13-14'|aub_aco002398:'v.15-16'|aub_aco002399:'v.17-18'|aub_aco002400:'v.19-20'|aub_aco002401:'v.21-22'|aub_aco002402:'v.23-24'|aub_aco002403:'v.25'
b12578769,aub_aco002767
b12424158,aub_aco002659
b1253917x,aub_aco002908
b12497940,aub_aco002790
b12933508,aub_aco002848
b12386236,aub_aco002531
b12484623,aub_aco002728
b12415923,aub_aco002618
b12537342,aub_aco003484
b12423816,aub_aco002701:'v.1'
b21088925,aub_aco002774
b12384847,aub_aco002528
b12385645,aub_aco002535
b12508184,aub_aco003055
b12570837,aub_aco003065
b12399462,aub_aco002973
b12400944,aub_aco002600
b12485585,aub_aco002730
b12372286,aub_aco002380
b12398913,aub_aco002678:'v.1'|aub_aco002679:'v.2'
b12525777,aub_aco002836
b12401493,aub_aco002604
b12409911,aub_aco002610
b1240469x,aub_aco002643
b12409029,aub_aco002607
b12522041,aub_aco002808
b12639424,aub_aco003062
b12371907,aub_aco002385
b12436975,aub_aco003413
b12396345,aub_aco003017
b12382693,aub_aco002517
b21091626,aub_aco002762:'v.3'|aub_aco002763:'v.4'
b12425254,aub_aco002708
b1238706x,aub_aco002536
b12578502,aub_aco002775
b1238138x,aub_aco002506
b12380349,aub_aco002544
b12395468,aub_aco002628
b1244697x,aub_aco003500
b12522260,aub_aco002810
b1242383x,aub_aco002702:'v.1-2'|aub_aco002703:'v.3-4'
b12414499,aub_aco002690
b1265100x,aub_aco002841:'v.1'|aub_aco002842:'v.2'
b12425928,aub_aco003403
b13176584,aub_aco002849
b12380192,aub_aco002500
b12502832,aub_aco003050
b12371890,aub_aco002374
b12539302,aub_aco003482
b12627021,aub_aco003067:'v.1'
b12571635,aub_aco003503
b12387526,aub_aco002539
b1240116x,aub_aco002603
b12363881,aub_aco002860
b21084373,aub_aco002670:'v.4'
b12382784,aub_aco002550
b12371920,aub_aco002384
b12352603,aub_aco002857
b12527531,aub_aco002883
b1252797x,aub_aco002838
b12379293,aub_aco002437
b12525017,aub_aco002830
b12381688,aub_aco002512
b12775678,aub_aco002845:'v.1'
b12396242,aub_aco003020:'v.1'|aub_aco003021:'v.2'|aub_aco003022:'v.3'|aub_aco003023:'v.4'|aub_aco003024:'v.5'|aub_aco003025:'v.6'|aub_aco003026:'v.7'|aub_aco003027:'v.9'|aub_aco003028:'v.10'|aub_aco003029:'v.11'
b12552793,aub_aco003074:'v.1'|aub_aco003076:'v.2'
b12409984,aub_aco002612
b12755801,aub_aco002924:'v.1-2'
b12372912,aub_aco002449
b1252234x,aub_aco002813
b12539314,aub_aco003483
b12567838,aub_aco003460
b12403957,aub_aco002639
b12537664,aub_aco003481
b12529631,aub_aco002896
b22048091,aub_aco002972:'v.2'
b12929463,aub_aco002933
b12383661,aub_aco002519
b12522831,aub_aco002815
b12387496,aub_aco002540
b12391876,aub_aco002625
b21056493,aub_aco002489
b12428656,aub_aco003487
b12376218,aub_aco002469
b12391815,aub_aco002624:'v.1'
b12589676,aub_aco003466
b12523264,aub_aco002819
b12524827,aub_aco002829
b12376498,aub_aco002488
b1239774x,aub_aco002675
b12377168,aub_aco002471
b12564941,aub_aco003454
b21084622,aub_aco002672:'v.6'|aub_aco002673:'v.6'
b12632569,aub_aco003446
b12519443,aub_aco002868
b12522703,aub_aco002666
b12371737,aub_aco002496
b1253352x,aub_aco002902
b12522211,aub_aco002809
b12377843,aub_aco002482
b12400518,aub_aco002595
b1252881x,aub_aco002894
b17617339,aub_aco002942
b12527701,aub_aco002884:'v.1'
b12373722,aub_aco002453:'v.1'|aub_aco002454:'v.2'
b12411607,aub_aco002617
b12535072,aub_aco002904
b12379566,aub_aco002439
b13158600,aub_aco003476
b12534912,aub_aco003440
b12578526,aub_aco002776
b1238236x,aub_aco002527
b12502868,aub_aco003051
b12421170,aub_aco002696
b12377466,aub_aco002491
b12401067,aub_aco002631
b12418754,aub_aco002780
b1242433x,aub_aco002707
b12489591,aub_aco002787
b12371713,aub_aco002382
b1772238x,aub_aco002943
b12395808,aub_aco003015
b12417415,aub_aco002692
b12411590,aub_aco002616
b12567486,aub_aco003084
b12429806,aub_aco002716
b12601639,aub_aco002976
b12758358,aub_aco003001:'v.1'|aub_aco003002:'v.2'|aub_aco003003:'v.3'|aub_aco003004:'v.4'|aub_aco003005:'v.5'|aub_aco003006:'v.6'
b12372171,aub_aco002390
b12373096,aub_aco002450
b12572287,aub_aco003041
b12419473,aub_aco003402:'v.1-2'
b12441259,aub_aco003511
b17609392,aub_aco002987
b12380672,aub_aco002504
b12399619,aub_aco002680
b12529242,aub_aco002895
b12484015,aub_aco002784
b12485743,aub_aco002733:'v.1'
b12377478,aub_aco002417:'v.1-2'|aub_aco002418:'v.3-4'
b12396060,aub_aco003019
b12527762,aub_aco002891:'v.1'|aub_aco002892:'v.2'
b1253707x,aub_aco003425
b1240178x,aub_aco002633
b12603727,aub_aco003472
b17553994,aub_aco003477
b1238009x,aub_aco002499
b1253884x,aub_aco002907:'v.1'
b12380726,aub_aco002515
b12382097,aub_aco002526
b12661983,aub_aco002843
b12570874,aub_aco003068
b12401146,aub_aco002602
b12577443,aub_aco002739
b12578551,aub_aco002764
b12379104,aub_aco002993
b12398780,aub_aco002677
b12536088,aub_aco002906
b12541904,aub_aco003416
b12391104,aub_aco002581
b12400117,aub_aco003038
b1241153x,aub_aco002615
b12372377,aub_aco002405
b12393368,aub_aco002989:'v.1'|aub_aco002990:'v.2'|aub_aco002991:'v.3'|aub_aco002992:'v.4'
b12674990,aub_aco002955
b12378756,aub_aco002461
b12380556,aub_aco002545
b12577455,aub_aco002740
b12578058,aub_aco002753
b12570904,aub_aco003060
b12377235,aub_aco002476
b12479330,aub_aco002721:'v.1-2'
b1275609x,aub_aco002925
b12436823,aub_aco003519
b12360545,aub_aco002858:'v.1'|aub_aco002859:'v.2'
b12381639,aub_aco002510
b12396084,aub_aco003037
b12519133,aub_aco002866
b1239905x,aub_aco003010
b12414402,aub_aco002689
b1241878x,aub_aco002781
b12416472,aub_aco002623
b12524414,aub_aco002823
b12525376,aub_aco002832
b12826388,aub_aco002978:'v.1'
b12387654,aub_aco002557
b12521899,aub_aco002802
b12478775,aub_aco002783
b12578605,aub_aco002765
b12388221,aub_aco002560
b1283239x,aub_aco002980
b12736077,aub_aco003520
b1263136x,aub_aco002916:'v.1'
b12776750,aub_aco002772
b12384896,aub_aco002529
b12397313,aub_aco002592
b12524244,aub_aco002820
b12372560,aub_aco002455
b12396230,aub_aco002588
b12523604,aub_aco002875
b12442616,aub_aco003415
b12399206,aub_aco002971:'v.1'
b1252315x,aub_aco002817
b12381421,aub_aco002505
b12524281,aub_aco002821
b12373308,aub_aco002451
b12379402,aub_aco002493:'v.1'
b12435193,aub_aco003409
b12539533,aub_aco003427
b12417580,aub_aco002779
b1240908x,aub_aco002608
b12434899,aub_aco003406
b12392571,aub_aco002959
b12412867,aub_aco002685
b12409315,aub_aco002609
b12866313,aub_aco002553
b18271856,aub_aco003040
b12390902,aub_aco002580
b12394555,aub_aco002969
b12404615,aub_aco002642
b13157449,aub_aco002983
b12479391,aub_aco003501:'v.1'|aub_aco003502:'v.2-3'
b12715104,aub_aco002665
b12521942,aub_aco002804
b12522181,aub_aco002873
b12590526,aub_aco003469
b12568624,aub_aco003464
b12436847,aub_aco003505
b12427597,aub_aco002662
b12605384,aub_aco003063
b12395924,aub_aco003036
b12757068,aub_aco002928
b12725420,aub_aco003504:'v.1'
b12523197,aub_aco002818
b12577947,aub_aco002748:'v.1'|aub_aco002749:'v.3'|aub_aco002750:'v.4'
b12408827,aub_aco002606
b12504269,aub_aco003052
b12388816,aub_aco002565:'v.1'|aub_aco002566:'v.2'|aub_aco002567:'v.3'|aub_aco002568:'v.4'|aub_aco002569:'v.5'|aub_aco002570:'v.6'|aub_aco002571:'v.7'|aub_aco002572:'v.8'|aub_aco002573:'v.9'|aub_aco002574:'v.10'
b12406971,aub_aco002654:'v.1'
b12382103,aub_aco002525
b12414566,aub_aco002691
b12939006,aub_aco002935:'v.1-2'|aub_aco002936:'v.3-5'
b12375676,aub_aco002487
b12408682,aub_aco002605
b12429521,aub_aco002713
b12371804,aub_aco002383:'v.1-2'
b12402965,aub_aco002637
b1242402x,aub_aco002705:'v.1'|aub_aco002706:'v.2'
b12489530,aub_aco002786
b12395651,aub_aco002970
b12527737,aub_aco002885:'v.1'|aub_aco002886:'v.2'|aub_aco002887:'v.3'|aub_aco002888:'v.4'|aub_aco002889:'v.5'
b12401912,aub_aco002635
b21084580,aub_aco002671:'v.5'
b12524529,aub_aco002825
b12422769,aub_aco002698
b12577807,aub_aco002743
b1257840x,aub_aco002757:'v.1'|aub_aco002758:'v.2'|aub_aco002759:'v.3'
b12396163,aub_aco002586
b12373588,aub_aco002452
b22061411,aub_aco003077:'v.3'
b12397635,aub_aco002593
b12540043,aub_aco003441
b12568454,aub_aco003462
b12379013,aub_aco002466
b12421340,aub_aco002697
b12577728,aub_aco002742
b12568120,aub_aco003461
b12380234,aub_aco002555
b1237281x,aub_aco002377:'v.1-3'
b12537512,aub_aco003479:'v.1'
b1262701x,aub_aco003079
b12542131,aub_aco003485
b12380647,aub_aco002503
b12399486,aub_aco002974
b13610570,aub_aco002939
b12385499,aub_aco002552
b17588716,aub_aco002948:'v.1'
b12442628,aub_aco003516
b12530098,aub_aco002897
b12577406,aub_aco002736
b12525625,aub_aco002833:'v.1-2'
b13018942,aub_aco002937
b13943157,aub_aco003418
b12573711,aub_aco002913
b1267767x,aub_aco003087
b12604689,aub_aco003438
b13190283,aub_aco003417
b12405760,aub_aco002649
b13191779,aub_aco002850:'v.1-2'
b12485755,aub_aco002734
b12372523,aub_aco002406
b12567991,aub_aco003449
b12379578,aub_aco002497
b12400798,aub_aco002599
b12552975,aub_aco003069
b12412697,aub_aco002683
b12608725,aub_aco002372
b12731055,aub_aco003510
b12420967,aub_aco002695
b12445137,aub_aco003513
b12578174,aub_aco002755
b12660401,aub_aco002977
b12524694,aub_aco002826
b12427585,aub_aco002661:'v.1'
b12522806,aub_aco002853
b12399966,aub_aco002681
b12483503,aub_aco002724
b12604434,aub_aco003437:'v.1-3'
b12606169,aub_aco003451
b12376450,aub_aco002490
b12407744,aub_aco002657
b12508123,aub_aco003054
b12605682,aub_aco002915
b12438418,aub_aco003414
b12379190,aub_aco002456:'v.1'|aub_aco002457:'v.2'|aub_aco002458:'v.3'|aub_aco002459:'v.4'|aub_aco002460:'v.5'
b12419746,aub_aco003043
b12401043,aub_aco002601
b12403635,aub_aco002638
b12521218,aub_aco002795
b12428814,aub_aco003488:'v.1-2'|aub_aco003489:'v.3'|aub_aco003490:'v.4'|aub_aco003491:'v.5'|aub_aco003492:'v.6'|aub_aco003493:'v.7'|aub_aco003494:'v.8'|aub_aco003495:'v.9'|aub_aco003496:'v.10'|aub_aco003497:'v.11'
b12653494,aub_aco002954:'v.1'
b12391475,aub_aco002584
b17608156,aub_aco002941
b12541898,aub_aco003431
b12379244,aub_aco002436
b12372092,aub_aco002376
b1256493x,aub_aco003453
b12603983,aub_aco003473
b12364137,aub_aco002861
b12381378,aub_aco002995
b12381445,aub_aco002507:'v.1'|aub_aco002508:'v.2'|aub_aco002509:'v.3'
b12397167,aub_aco002585
b12652180,aub_aco002917:'v.1-2'|aub_aco002918:'v.3'|aub_aco002919:'v.4'|aub_aco002920:'v.5-6'|aub_aco002921:'v.7'|aub_aco002922:'v.8'|aub_aco002923:'v.9-10'
b12846879,aub_aco002846
b12382371,aub_aco002547
b12404913,aub_aco002645
b12521243,aub_aco002796
b12376644,aub_aco002477
b12539971,aub_aco003480
b12372870,aub_aco002441
b12375482,aub_aco002485
b12392376,aub_aco002957
b12417488,aub_aco002694:'v.1-2'
b12418389,aub_aco002854
b12502030,aub_aco003049
b12777419,aub_aco002931
b12541813,aub_aco003447
b12376462,aub_aco002473
b12862708,aub_aco002847
