b12845097,auc_aco000063
b14007058,auc_aco000077
b13023160,auc_aco000008
b12940069,auc_aco000028
b13145083,auc_aco000032
b12966447,auc_aco000027
b12955905,auc_aco000023
b11984223,auc_aco000073
b12829122,auc_aco000033
b13028820,auc_aco000002
b12968602,auc_aco000094
b1400172x,auc_aco000021
b11968503,auc_aco000048:'2 v. in 1'
b13994578,auc_aco000011
b12905689,auc_aco000040
b14000064,auc_aco000066
b13082371,auc_aco000009
b12745972,auc_aco000059
b1400009x,auc_aco000018
b12957033,auc_aco000075
b13204919,auc_aco000001
b23721431,auc_aco000092
b13081378,auc_aco000010
b12940124,auc_aco000045:'v.2'
b12940744,auc_aco000088
b12972770,auc_aco000026
b11491917,auc_aco000012
b12122233,auc_aco000069
b13913967,auc_aco000007
b12968882,auc_aco000093
b13043274,auc_aco000005
b12590873,auc_aco000003:'2 v. in 1'
b13145204,auc_aco000062
b13011558,auc_aco000034:'v.1'|auc_aco000035:'v.2'
b13901229,auc_aco000070
b13159197,auc_aco000096:'v.1'|auc_aco000099:'v.2'
b14525872,auc_aco000051
b22348244,auc_aco000061
b14000088,auc_aco000013
b11760096,auc_aco000014
b1173730x,auc_aco000046
b12103329,auc_aco000050
b12860876,auc_aco000065
b13990743,auc_aco000004
b1294483x,auc_aco000095
b12967142,auc_aco000042
b12218571,auc_aco000043
b12901374,auc_aco000031
b13142434,auc_aco000068
b13048740,auc_aco000097
b12847938,auc_aco000022
b13013142,auc_aco000039
b12139300,auc_aco000049
b13913645,auc_aco000006
b12947489,auc_aco000024
b18402057,auc_aco000055
b13631809,auc_aco000074
b13181920,auc_aco000089
b12961486,auc_aco000041
b12947453,auc_aco000081
b12897565,auc_aco000098
b1314201x,auc_aco000044
b13019533,auc_aco000047:'2 v. in 1'
b11923210,auc_aco000016
b19078122,auc_aco000030
b13141600,auc_aco000071
b14408296,auc_aco000029
b13189943,auc_aco000052
b12131301,auc_aco000054
b13038552,auc_aco000090
b13194410,auc_aco000091
b12496662,auc_aco000053
b13142677,auc_aco000072
b12906293,auc_aco000019:'v.1'|auc_aco000020:'v.2'
b1245672x,auc_aco000025
b14525756,auc_aco000058
b12975424,auc_aco000056
b1286335x,auc_aco000015
