1682175	31924067519227	 	1879	le 	1  Ibn al-Fāriḍ, ʻUmar ibn ʻAlī, 1181 or 1182-1235.	10 Dīwān al-Imām al-ʻārif bi-Allāh al-Shaykh Ḥafṣ Sharafal-Dīn ʻUmar ibn al-Fāriḍ. 1879	10 Kitāb Dīwān al-Imām al-ʻārif bi-Allāh al-Shaykh Ḥafṣ Sharaf al-Dīn ʻUmar ibn al-Fāriḍ qaddasa Allāh sirrahu / ʻUmar ibn ʻAlī Ibn al-Fāriḍ ; ḍabaṭahu wa-nāẓara ṭabʻahu al-muʻallim Faransīs Shamʻūn.	   Bayrūt : al-Maṭbaʻah al-adabīyah, 1879.			PJ7755.I12 A6 1879	olin,anx				cornell_aco_0025
1685211	31924063149797	v.2 	1951	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		10 Ḥadīth al-arbaʻāʾ / Ṭāhā Ḥusayn.	   [Cairo] : Dār al-Maʻārif, [1951]-	   Essays published in the newspapers "al-Jihād" and "al-Siyāsah."		PJ7515 .T12 1951	olin,anx				cornell_aco_0028
1685211	31924063407807	v.1 	1951	ua 	1  Ḥusayn, Ṭāhā, 1889-1973.		10 Ḥadīth al-arbaʻāʾ / Ṭāhā Ḥusayn.	   [Cairo] : Dār al-Maʻārif, [1951]-	   Essays published in the newspapers "al-Jihād" and "al-Siyāsah."		PJ7515 .T12 1951	olin,anx				cornell_aco_0029
1685213	31924063320505	 	1938	ua 	1  Ḥakīm, Tawfīq.		10 Yawmīyāt nāʾib fī al-aryāf / Tawfīq al-Ḥakīm.	   al-Qāhirah : Maktabat al-Ādāb bi-al-jamāmīz, [1938]	   Includes bibliographical references.	 0 Egypt Social conditions Fiction.| 0 Egypt Rural conditions Fiction.	PJ7828.K49 Y3 1938	olin,anx				cornell_aco_0030
1685878	31924063269181	 	1951	ua 	1  Taymūr, Maḥmūd, 1894-1973.		10 Shifāʾ al-rūḥ / bi-qalam Maḥmūd Taymūr.	   [Cairo : s.n.], 1951 (al-Qāhirah : Maṭbaʻat al-Kātib al-ʻArabī)			PJ7864.A98 S55	olin,anx				cornell_aco_0031
1685921	31924063268746	 	1955	ua 	1  Taymūr, Maḥmūd, 1894-1973.		10 Thāʾirūn / Maḥmūd Taymūr.	   al-Qāhirah : Dār al-Hilāl, 1955.			PJ7864.A98 T24	olin,anx				cornell_aco_0032
1685929	31924063407831	 	1951	ua 	1  Ḥamīdah, ʻAbd al-Razzāq.		13 al-Adab al-ʻArabī fī Miṣr min al-fatḥ al-Islāmī ilá al-Fāṭimīyīn / taʾlīf ʻAbd al-Razzāq Ḥamīdah.	   [Cairo] : Maktabat al-Anjlū al-Miṣrīyah, [1951]	   Includes bibliographical references.	 0 Arabic literature Egypt History and criticism.| 0 Arabic literature History and criticism.	PJ8206 .H21	olin,anx				cornell_aco_0035
1686257	31924063269215	 	1950	ua 	1  Jindī, ʻAlī.		13 Alḥān al-aṣīl / naẓm ʻAlī al-Jindī.	   al-Qāhirah : Dār al-Fikr al-ʻArabī, [1950]			PJ7840.I29 A17	olin,anx				cornell_aco_0036
1742291	31924063150092	 	1942	ua 	1  Jawālīqī, Mawhūb ibn Aḥmad, 1073 or 1074-1144.		13 al-Muʻarrab min al-kalām al-aʻjamī ʻalá ḥurūf al-muʻjam / li-Abī Manṣūr al-Jawālīqī, Mawhūb ibn Aḥmad ibn Muḥammad ibn al-Khaḍir ; bi-taḥqīq wa-sharḥ Abī al-Ashbāl Aḥmad Muḥammad Shākir.	   al-Qāhirah : Dār al-Kutub al-Miṣrīyah, 1361 [1942]	   Includes bibliographical references and indexes.	 0 Arabic language Foreign words and phrases Early works to 1800.	+ PJ6670 .J41 1942	olin,anx				cornell_aco_0038
1743390	31924051577603	 	1949	ua 	1  Nāṣif, ʻAlī al-Najdī.		10 Ibn Qays al-Ruqayyāt : shāʻir al-sīyāsah wa-al-ghazal / taʼlīf ʻAlī al-Najdī Nāṣif.	   al-Qāhirah : Lajnat al-bayān al-ʻarabī, 1949.	   Includes bibliographical references.	10 Ibn Qays al-Ruqayyāt, ʻUbayd Allāh, active 657-704 Criticism and interpretation.	PJ7700.I2 Z54	olin,anx				cornell_aco_0039
1881615	31924075986210	 	1983	ir 	0  Ibn al-Nāẓim.		10 Sharḥ Alfīyat Ibn Mālik / li-Ibn al-Nāẓim ; wa-qad ṣār al-iʻtināʼ bi-taṣḥīḥi wa-naqḥihi ... Muḥammad ibn Salīm al-Labābīdī.	   Ṭihrān, Irān : Intishārāt Nāṣir Khusraw, 1362 [1983 or 1984]	   In Arabic; romanized record.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allāh, -1274. Alfīyah.	PJ6101.I23 I11 1983z	olin,anx				cornell_aco_0055
1909451	31924068244064	 	1880	ua 	1  Makkūdī, ʻAbd al-Raḥmān ibn ʻAlī, -1405?		10 Sharḥ al-ʻallāmah al-naḥawī al-muqrī al-lughawī Abī Zayd ʻAbd al-Raḥmān ibn ʻAlī ibn Ṣāliḥ al-Makkūdī ʻalá Alfīyat ibn Mālik fī al-naḥw nafaʻa Allāh taʻālá bihimā ; wa bi-hāmishihi Ḥāshiyat al-Mallawī...	   [Egypt : s.n., 188-?]	   Spine title: Sharḥ al-Makkūdī ʻalá Alfīyat Ibn Mālik.	10 Ibn Mālik, Muḥammad ibn ʻAbd Allah, -1274. Alfīyah| 0 Arabic language Grammar Early works to 1800.	+ PJ6101.I23 A3 1880	olin,anx				cornell_aco_0063
1909832	31924060173592	 	1926	ua 	1  Bakrī, Abū ʻUbayd ʻAbd Allāh ibn ʻAbd al-ʻAzīz, 1040-1094.		10 Kitāb al-tanbīh ʻalá awhām Abī ʻAlī fi-Amālīh : wa-yalīh, Fahāris biʾasmāʾ al-aʻlām wa-al-qabāʾil wa-al-amākin wa-qawāfī al-abyāt wa-ghayri dhālik / taʾlīf Abī ʻUbayd Allāh ibn ʻAbd al-ʻAzīz al-Bakrī.	   [Cairo : s.n. ; 1926] (al-Qāhirah : Maṭbaʻat Dār al-Kutub al-Miṣrīyah)	   Includes indexes.	 0 Arabic philology Dictionaries.	+ PJ6031 .B61 1926	olin,anx				cornell_aco_0065
1919053	31924068105505	 	1893	sy 	1  Safarjalānī, Muḥammad Amīn ibn Muḥammad.	10 Quṭūf al-dānīyah	10 Kitāb al-quṭūf al-dānīyah fī al-ʻulūm al-thamāniyah / li Muḥammad Amīn al-Safarjalānī.	   [Damascus?] : Maṭbaʻat Wilāyat Syrīyah : Niẓārat al-Maʻārif alʻUmūmīyah, 1311 [i.e. 1893 or 4]		 0 Arabic language Grammar.	PJ6106 .S119	olin,anx				cornell_aco_0071
1920797	31924059931190	juz1-3 	1939	ua 	1  Abū Ḥayyān al-Tawḥīdī, ʻAlī ibn Muḥammad, active 10th century.	10 Imtāʻ wa-al-muʼānasah	10 Kitāb al-Imtāʻ wa-al-muʼānasah : wa-huwa majmūʻ musāmarāt fī funūn shattá ḥāḍara bihā al-wazīr Abā ʻAbd Allāh al-ʻĀriḍ fī sabʻ wa-thalāthīn laylah / taʼlīf Abū Ḥayyān al-Tawḥīdī ; ṣaḥḥaḥahu wa-ḍabaṭahu wa-sharaḥa gharībah Aḥmad Amīn wa-Aḥmad al-Zayn.	   al-Qāhirah : Lajnat al-Taʼlīf wa-al-Tarjamah wa-al-Nashr, 1939-			PJ7750.A17 I34	olin,anx				cornell_aco_0073
