1789534	31924059367874	juz1 	1980	ir 	1  Ḥāʾirī, Muḥammad Riḍā.		13 al-Ḥayāh : mawsūʻah Islāmīyah ʻilmīyah mawḍūʻīyah tukhaṭṭiṭu manāhij al-ḥayāh al-ḥurrah al-ṣāʻidah lil-fard wa-al-mujtamaʻ wa-tadʻū ilá daʻm niẓām insānī ṣāliḥ fī jamīʻ āfāq al-arḍ / waḍʻ wa-tadwīn Muḥammad Riḍā al-Ḥakīmī, Muḥammad al-Ḥakīmī, ʻAlī al-Ḥakīmī.	   Tihrān : Dāʾirat al-Ṭibāʻah wa-al-Nashr, 1401- [1980 or 1981]-	  |v. <1   > ;|25 cm.	   Title on added t.p. : al-Ḥayāt = Life.|   Reprint. Previously published: Ṭihrān : Maktab Nashr al-Thaqāfah al-Islām-īyah, 1400, 1979 or 1980.|   Includes bibliographical references.	00 Shīʻah.| 0 Religious life Shīʻah.| 0 Shīʻah Doctrines.	BP193.5 .H15	olin				cornell_aco_0314
1789534	31924059367882	juz3 	1980	ir 	1  Ḥāʾirī, Muḥammad Riḍā.		13 al-Ḥayāh : mawsūʻah Islāmīyah ʻilmīyah mawḍūʻīyah tukhaṭṭiṭu manāhij al-ḥayāh al-ḥurrah al-ṣāʻidah lil-fard wa-al-mujtamaʻ wa-tadʻū ilá daʻm niẓām insānī ṣāliḥ fī jamīʻ āfāq al-arḍ / waḍʻ wa-tadwīn Muḥammad Riḍā al-Ḥakīmī, Muḥammad al-Ḥakīmī, ʻAlī al-Ḥakīmī.	   Tihrān : Dāʾirat al-Ṭibāʻah wa-al-Nashr, 1401- [1980 or 1981]-	  |v. <1   > ;|25 cm.	   Title on added t.p. : al-Ḥayāt = Life.|   Reprint. Previously published: Ṭihrān : Maktab Nashr al-Thaqāfah al-Islām-īyah, 1400, 1979 or 1980.|   Includes bibliographical references.	00 Shīʻah.| 0 Religious life Shīʻah.| 0 Shīʻah Doctrines.	BP193.5 .H15	olin				cornell_aco_0316
1789534	31924059367890	juz2 	1980	ir 	1  Ḥāʾirī, Muḥammad Riḍā.		13 al-Ḥayāh : mawsūʻah Islāmīyah ʻilmīyah mawḍūʻīyah tukhaṭṭiṭu manāhij al-ḥayāh al-ḥurrah al-ṣāʻidah lil-fard wa-al-mujtamaʻ wa-tadʻū ilá daʻm niẓām insānī ṣāliḥ fī jamīʻ āfāq al-arḍ / waḍʻ wa-tadwīn Muḥammad Riḍā al-Ḥakīmī, Muḥammad al-Ḥakīmī, ʻAlī al-Ḥakīmī.	   Tihrān : Dāʾirat al-Ṭibāʻah wa-al-Nashr, 1401- [1980 or 1981]-	  |v. <1   > ;|25 cm.	   Title on added t.p. : al-Ḥayāt = Life.|   Reprint. Previously published: Ṭihrān : Maktab Nashr al-Thaqāfah al-Islām-īyah, 1400, 1979 or 1980.|   Includes bibliographical references.	00 Shīʻah.| 0 Religious life Shīʻah.| 0 Shīʻah Doctrines.	BP193.5 .H15	olin				cornell_aco_0315
1789534	31924059367908	juz4 	1980	ir 	1  Ḥāʾirī, Muḥammad Riḍā.		13 al-Ḥayāh : mawsūʻah Islāmīyah ʻilmīyah mawḍūʻīyah tukhaṭṭiṭu manāhij al-ḥayāh al-ḥurrah al-ṣāʻidah lil-fard wa-al-mujtamaʻ wa-tadʻū ilá daʻm niẓām insānī ṣāliḥ fī jamīʻ āfāq al-arḍ / waḍʻ wa-tadwīn Muḥammad Riḍā al-Ḥakīmī, Muḥammad al-Ḥakīmī, ʻAlī al-Ḥakīmī.	   Tihrān : Dāʾirat al-Ṭibāʻah wa-al-Nashr, 1401- [1980 or 1981]-	  |v. <1   > ;|25 cm.	   Title on added t.p. : al-Ḥayāt = Life.|   Reprint. Previously published: Ṭihrān : Maktab Nashr al-Thaqāfah al-Islām-īyah, 1400, 1979 or 1980.|   Includes bibliographical references.	00 Shīʻah.| 0 Religious life Shīʻah.| 0 Shīʻah Doctrines.	BP193.5 .H15	olin				cornell_aco_0317
1789534	31924059367916	juz5 	1980	ir 	1  Ḥāʾirī, Muḥammad Riḍā.		13 al-Ḥayāh : mawsūʻah Islāmīyah ʻilmīyah mawḍūʻīyah tukhaṭṭiṭu manāhij al-ḥayāh al-ḥurrah al-ṣāʻidah lil-fard wa-al-mujtamaʻ wa-tadʻū ilá daʻm niẓām insānī ṣāliḥ fī jamīʻ āfāq al-arḍ / waḍʻ wa-tadwīn Muḥammad Riḍā al-Ḥakīmī, Muḥammad al-Ḥakīmī, ʻAlī al-Ḥakīmī.	   Tihrān : Dāʾirat al-Ṭibāʻah wa-al-Nashr, 1401- [1980 or 1981]-	  |v. <1   > ;|25 cm.	   Title on added t.p. : al-Ḥayāt = Life.|   Reprint. Previously published: Ṭihrān : Maktab Nashr al-Thaqāfah al-Islām-īyah, 1400, 1979 or 1980.|   Includes bibliographical references.	00 Shīʻah.| 0 Religious life Shīʻah.| 0 Shīʻah Doctrines.	BP193.5 .H15	olin				cornell_aco_0318
1801260	31924059116370	juz11 	1900	ua 	1  Shaʻrāwī, Muḥammad Mutawallī.		10 Muʻjizat al-Qurʼān / Muḥammad Mutawallī al-Shaʻrāwī.	   al-Qāhirah : Akhbār al-Yawm, <1980-[1987]   >	  |v. <4, 7-9   > :|ill ;|21 cm.		00 Qurʼan Appreciation.	BP130.7 .S529	olin				cornell_aco_0256
1801260	31924059116529	juz9 	1900	ua 	1  Shaʻrāwī, Muḥammad Mutawallī.		10 Muʻjizat al-Qurʼān / Muḥammad Mutawallī al-Shaʻrāwī.	   al-Qāhirah : Akhbār al-Yawm, <1980-[1987]   >	  |v. <4, 7-9   > :|ill ;|21 cm.		00 Qurʼan Appreciation.	BP130.7 .S529	olin				cornell_aco_0254
1801260	31924059116537	juz7 	1900	ua 	1  Shaʻrāwī, Muḥammad Mutawallī.		10 Muʻjizat al-Qurʼān / Muḥammad Mutawallī al-Shaʻrāwī.	   al-Qāhirah : Akhbār al-Yawm, <1980-[1987]   >	  |v. <4, 7-9   > :|ill ;|21 cm.		00 Qurʼan Appreciation.	BP130.7 .S529	olin				cornell_aco_0252
1801260	31924059181291	juz8 	1900	ua 	1  Shaʻrāwī, Muḥammad Mutawallī.		10 Muʻjizat al-Qurʼān / Muḥammad Mutawallī al-Shaʻrāwī.	   al-Qāhirah : Akhbār al-Yawm, <1980-[1987]   >	  |v. <4, 7-9   > :|ill ;|21 cm.		00 Qurʼan Appreciation.	BP130.7 .S529	olin				cornell_aco_0253
1801260	31924059280796	juz10 	1900	ua 	1  Shaʻrāwī, Muḥammad Mutawallī.		10 Muʻjizat al-Qurʼān / Muḥammad Mutawallī al-Shaʻrāwī.	   al-Qāhirah : Akhbār al-Yawm, <1980-[1987]   >	  |v. <4, 7-9   > :|ill ;|21 cm.		00 Qurʼan Appreciation.	BP130.7 .S529	olin				cornell_aco_0255
