SYS#	Item#	CALL#	DATE	CCG_Book_ID	CRATE#
1846955	31924059307581	BP156 .S52 1975	1975	cornell_aco_0282	5
1846955	31924059307599	BP156 .S52 1975	1975	cornell_aco_0284	5
1846955	31924059307607	BP156 .S52 1975	1975	cornell_aco_0283	5
1846955	31924059307615	BP156 .S52 1975	1975	cornell_aco_0285	5
4430527	31924029159007	BP144 .T19 1961	1961	cornell_aco_0286	5
4430528	31924029159056	BP148 .S53	1968	cornell_aco_0288	5
4437722	31924092320989	BP135.I135 S153	1900	cornell_aco_0275	5
4437722	31924092320997	BP135.I135 S153	1900	cornell_aco_0274	5
5971146	31924104632900	BP165.5 .G53 1952	1952	cornell_aco_0290	5
7070811	31924114866159	BP166 .B25 1977	1977	cornell_aco_0291	5
1880518	31924059127203	BP174 .T11 1984	1984	cornell_aco_0293	6
1880518	31924059127211	BP174 .T11 1984	1984	cornell_aco_0292	6
1880518	31924059127229	BP174 .T11 1984	1984	cornell_aco_0294	6
1880518	31924059127237	BP174 .T11 1984	1984	cornell_aco_0296	6
1880518	31924059127245	BP174 .T11 1984	1984	cornell_aco_0295	6
1880518	31924059127252	BP174 .T11 1984	1984	cornell_aco_0297	6
1880518	31924059127260	BP174 .T11 1984	1984	cornell_aco_0298	6
1880518	31924059127526	BP174 .T11 1984	1984	cornell_aco_0301	6
1880518	31924059127534	BP174 .T11 1984	1984	cornell_aco_0300	6
1880518	31924059127542	BP174 .T11 1984	1984	cornell_aco_0299	6
1880518	31924059127682	BP174 .T11 1984	1984	cornell_aco_0304	6
1880518	31924059127690	BP174 .T11 1984	1984	cornell_aco_0303	6
1880518	31924059127708	BP174 .T11 1984	1984	cornell_aco_0302	6
1015398	31924059368245	BP194 .I12 1980	1980	cornell_aco_0320	7
1676597	31924051450645	BP189.26.I13 A13 1974	1975	cornell_aco_0309	7
1789534	31924059181341	BP193.5 .H15	1980	cornell_aco_0319	7
1789534	31924059367874	BP193.5 .H15	1980	cornell_aco_0314	7
1789534	31924059367882	BP193.5 .H15	1980	cornell_aco_0316	7
1789534	31924059367890	BP193.5 .H15	1980	cornell_aco_0315	7
1789534	31924059367908	BP193.5 .H15	1980	cornell_aco_0317	7
1789534	31924059367916	BP193.5 .H15	1980	cornell_aco_0318	7
1880518	31924059127278	BP174 .T11 1984	1984	cornell_aco_0305	7
1930345	31924068913387	BP187.65.E3 C359	1945	cornell_aco_0308	7
1931643	31924074309489	BP60 .J41 1908a	1908	cornell_aco_0323	7
1933750	31924068870793	BP75.2 .F52	1964	cornell_aco_0324	7
4432700	31924029185755	BP190.5.S3 S52 1965	1965	cornell_aco_0313	7
4432714	31924029185961	BP192.8 .K37 1968	1968	cornell_aco_0310	7
4432728	31924029186133	BP193.1 .I18 1969	1969	cornell_aco_0312	7
6405535	31924109363360	BP194 .J35 1973	1973	cornell_aco_0321	7
6581260	31924110881244	BP178 .H35 1907	1907	cornell_aco_0306	7
6749538	31924110993254	BP182 .G405 1955	1955	cornell_aco_0307	7
7070817	31924114866167	BP192.7.B26 I27 1983	1984	cornell_aco_0311	7
7523043	31924116622444	BP194.1 .H35 2000	    	cornell_aco_0322	7
1588269	31924059368021	Oversize BP130.4 .T14 1980 +	1980	cornell_aco_0340	8
1588269	31924059368179	Oversize BP130.4 .T14 1980 +	1980	cornell_aco_0344	8
1588269	31924059368187	Oversize BP130.4 .T14 1980 +	1980	cornell_aco_0343	8
1588269	31924059368328	Oversize BP130.4 .T14 1980 +	1980	cornell_aco_0342	8
1588269	31924059368351	Oversize BP130.4 .T14 1980 +	1980	cornell_aco_0341	8
1933750	31924068870801	BP75.2 .F52	1964	cornell_aco_0326	8
1933750	31924068870819	BP75.2 .F52	1964	cornell_aco_0325	8
1935111	31924068913189	BP80.A29 A16 1947	1947	cornell_aco_0333	8
1968700	31924072010766	Oversize BP193.16 .H42 1963 +	1963	cornell_aco_0339	8
4431184	31924029167280	BP80.A19 A65	1969	cornell_aco_0332	8
4431264	31924029168214	BP80.F25 M95	1969	cornell_aco_0334	8
4431382	31924029169469	BP88.I132 A4	1970	cornell_aco_0335	8
4437359	31924092309875	BP75.5 .I13	1868	cornell_aco_0327	8
4437359	31924092309883	BP75.5 .I13	1868	cornell_aco_0328	8
4437359	31924092309891	BP75.5 .I13	1868	cornell_aco_0329	8
4437359	31924092309909	BP75.5 .I13	1868	cornell_aco_0330	8
4437359	31924092309917	BP75.5 .I13	1868	cornell_aco_0331	8
4509091	31924029365552	BX385.A1 S52 1966	1966	cornell_aco_0337	8
4510848	31924032343745	BT1405.D79 M2 1969	1969	cornell_aco_0338	8
7164986	31924115447033	BP80.I25 D43 1900z	1900	cornell_aco_0336	8
1879955	31924059066013	PJ6620 .I135 1984	1984	cornell_aco_0360	9
1879955	31924059066021	PJ6620 .I135 1984	1984	cornell_aco_0352	9
1879955	31924059066039	PJ6620 .I135 1984	1984	cornell_aco_0358	9
1879955	31924059066047	PJ6620 .I135 1984	1984	cornell_aco_0351	9
1879955	31924059066062	PJ6620 .I135 1984	1984	cornell_aco_0357	9
1879955	31924059066070	PJ6620 .I135 1984	1984	cornell_aco_0359	9
1879955	31924059066187	PJ6620 .I135 1984	1984	cornell_aco_0354	9
1879955	31924059066195	PJ6620 .I135 1984	1984	cornell_aco_0349	9
1879955	31924059066203	PJ6620 .I135 1984	1984	cornell_aco_0346	9
1879955	31924059066211	PJ6620 .I135 1984	1984	cornell_aco_0345	9
1879955	31924059066229	PJ6620 .I135 1984	1984	cornell_aco_0353	9
1879955	31924059066237	PJ6620 .I135 1984	1984	cornell_aco_0355	9
1879955	31924059066369	PJ6620 .I135 1984	1984	cornell_aco_0356	9
1879955	31924059066377	PJ6620 .I135 1984	1984	cornell_aco_0350	9
1879955	31924059066385	PJ6620 .I135 1984	1984	cornell_aco_0347	9
1879955	31924059066393	PJ6620 .I135 1984	1984	cornell_aco_0348	9
1847327	31924059307136	Oversize PJ6696.Z8 M23 1984 +	1984	cornell_aco_0383	10
1847327	31924059307144	Oversize PJ6696.Z8 M23 1984 +	1984	cornell_aco_0384	10
3526982	31924088029156	PJ7631 .A163 1955	1955	cornell_aco_0382	10
3526982	31924088029172	PJ7631 .A163 1955	1955	cornell_aco_0381	10
3526982	31924088029180	PJ7631 .A163 1955	1955	cornell_aco_0380	10
3526982	31924088029198	PJ7631 .A163 1955	1955	cornell_aco_0379	10
3526982	31924088035500	PJ7631 .A163 1955	1955	cornell_aco_0378	10
3526982	31924088035518	PJ7631 .A163 1955	1955	cornell_aco_0377	10
3526982	31924088035526	PJ7631 .A163 1955	1955	cornell_aco_0376	10
3526982	31924088035534	PJ7631 .A163 1955	1955	cornell_aco_0375	10
3526982	31924088035542	PJ7631 .A163 1955	1955	cornell_aco_0374	10
3526982	31924088035559	PJ7631 .A163 1955	1955	cornell_aco_0373	10
3526982	31924088035567	PJ7631 .A163 1955	1955	cornell_aco_0372	10
3526982	31924088035575	PJ7631 .A163 1955	1955	cornell_aco_0371	10
3526982	31924088035583	PJ7631 .A163 1955	1955	cornell_aco_0370	10
3526982	31924088035591	PJ7631 .A163 1955	1955	cornell_aco_0369	10
3526982	31924088035609	PJ7631 .A163 1955	1955	cornell_aco_0368	10
3526982	31924088035617	PJ7631 .A163 1955	1955	cornell_aco_0367	10
3526982	31924088035625	PJ7631 .A163 1955	1955	cornell_aco_0364	10
3526982	31924088035633	PJ7631 .A163 1955	1955	cornell_aco_0365	10
3526982	31924088035641	PJ7631 .A163 1955	1955	cornell_aco_0366	10
3526982	31924088035658	PJ7631 .A163 1955	1955	cornell_aco_0361	10
3526982	31924088035666	PJ7631 .A163 1955	1955	cornell_aco_0362	10
3526982	31924088035674	PJ7631 .A163 1955	1955	cornell_aco_0363	10
