003/Inst,001/BSN,OCLC number(s),245a/Title
LeBAU,b12407938,"784301990","Taṭawwur Miṣr al-iqtiṣādī fī al-ʻaṣr al-ḥadīth /"
LeBAU,b1240794x,"784301992","ʻIlm al-iqtiṣād lil-Miṣrīyīn :"
LeBAU,b12408001,"784301999","al-Mashākil al-iqtiṣādīyah wa-al-ijtimāʻīyah al-rīfīyah al-kubrá fī Miṣr :"
LeBAU,b12408025,"784302002","al-Salām al-ijtimāʻī /"
LeBAU,b12408074,"784302009","Iqtiṣādīyāt Miṣr /"
LeBAU,b12408153,"784302018","al-Asās al-iqtiṣādī lil-ḥaḍārah al-Amrīkīyah /"
LeBAU,b12408268,"784302031","al-ʻAlāqāt al-dawlīyah fī ʻishrīn sanah, 1919-1939 /"
LeBAU,b12409674,"784302198","Ārāʼ ḥurrah /"
LeBAU,b12409686,"784302199","al-Dīmuqrāṭīyah /"
LeBAU,b12409777,"784302210","al-Dīmuqrāṭīyah :"
LeBAU,b12409868,"784302220","al-Jamʻīyāt al-waṭanīyah :"
LeBAU,b12412028,"43233549","Lubnān fī al-ʻālam :"
LeBAU,b12414621,"784303770","al-Muʼtamar al-ʻĀmm lil-Ḥizb al-Ḥurr al-Dustūrī al-Tūnisī :"
LeBAU,b12414694,"784303778","al-Ḥizb al-Waṭanī fī ʻām 1365-1946 /"
LeBAU,b12414827,"784303793","al-Iqtiṣād al-siyāsī li-ṭalabat al-sanah al-thānīyah :"
LeBAU,b12414840,"784303795","al-Niẓām al-iqtiṣādī al-ḥāḍir :"
LeBAU,b12415820,"784304390","Khulāṣat al-Iqtiṣād al-Siyāsī /"
LeBAU,b12415911,"784304400","Mūjaz al-iqtisād al-siyāsi /"
LeBAU,b12416654,"784304479","Daʻāʼim al-Intāj al-ʻĀlamī wa-al-Tijārah al-Dawlīyah /"
LeBAU,b1241685x,"784304504","Fī ḥall Majlis al-Nūwāb wa-ijtimāʻ al-barlamān fī Nūfimbir sanat 1925 :"
LeBAU,b12416897,"784304508","al-Tanẓīm al-Iqtiṣādī wa-ittiḥādāt ghuraf al-tijārah fī al-bilād al-ʻArabīyah wa-al-Islāmīyah ;"
LeBAU,b12417191,"784304556","Mūjaz tārikh al-madhāhib wa-al-nuẓum al-iqtiṣādīyah /"
LeBAU,b12417397,"784304602","Maḍābiṭ dawr al-inʻiqād /"
LeBAU,b12426325,"40125793","Taqaddum Sūrīyah al-iqtiṣādī, 1947 /"
LeBAU,b12426866,"784310833","Fī sabīl nahḍah iqtiṣādīyah Lubnānīyah yusāhimu fīhā Lubnān al-mughtarib /"
LeBAU,b12427901,"784311083","al-Mīzān al-ṣaḥīḥ, aw, malḥūẓah ʻala kitāb tārīkh al-tashrīʻ al-Islāmī /"
LeBAU,b12428061,"784311122","al-Qiyās fī al-sharʻ al-Islāmī wa-ithbāt annahu lam yarid fī al-Islām naṣṣ yukhālif al-qiyās al-ṣaḥīḥ /"
LeBAU,b12428425,"784311216","al-Iḥkām fī uṣūl al-aḥkām /"
LeBAU,b1242898x,"784311364","al-Qaḍa’ al-Mārūnī wa-ʻalāqathu bi-al-sharʻ al-Rūmānī ;"
LeBAU,b12429284,"784311447","al-Nuqṭah al-rābiʻah fī al-mīzān /"
LeBAU,b12429442,"784311488","al-Aḥwāl al-shakhṣīyah fī al-sharīʻah al-Islāmīyah :"
LeBAU,b12429995,"784312097","Mashrūʻāt al-sanawāt al-khams :"
LeBAU,b12430870,"784312269","Khawāṭir fī al-Siyāsah wa-al-Iqtiṣād /"
LeBAU,b12431291,"784312318","al-Aḥkām al-sulṭānīyah /"
LeBAU,b12431412,"784312332","Tārīkh al-maḥākim wa-al-nuẓum al-idārīyah min 941 H.-1337 H.,1534 M.-1918 M. /"
LeBAU,b12431473,"784312338","Ijtihād Nabī al-Islām :"
LeBAU,b12431606,"784312353","al-Mamlakah al-ʻArabīyah al-Saʻūdīyah :"
LeBAU,b12431655,"784312358","al-Wasīṭ fī uṣūl fiqh al-Ḥanafīyah :"
LeBAU,b12431795,"784312374","Muqābalah bayna al-ḥuqūq al-Rumānīyah wa-al-ḥuqūq al-Islāmīyah wa-al-Ifransīyah wa-al-Inklīzīyah /"
LeBAU,b12431898,"784312387","Bulūgh al-sūl fī madkhal ʻilm al-uṣūl /"
LeBAU,b12431941,"784312392","al-Tibyān fī zakāt al-athmān /"
LeBAU,b12432374,"784312450","al-Muʼtamar al-dawlī li-tajmīʻ ḥuqūq al-duwal /"
LeBAU,b1243243x,"772648131","al-Kitāb al-sanawī lil-siyāsah al-ʻArabīyah."
LeBAU,b12432994,"784313500","Mustaqbal al-ʻIrāq al-ṣināʻī /"
LeBAU,b12433573,"784313576","al-ʻUmmāl al-Tūnisīyūn wa-ẓuhūr al-ḥarakah al-Niqābīyah /"
LeBAU,b12434012,"784313631","Iʻānat ghalāʼ al-maʻīshah wa-taḥdīd al-ujūr /"
LeBAU,b12434425,"784313730","Qānūn taʼsīs maṣraf ṣināʻī raqm 12 li-sanat 1940 :"
LeBAU,b12434437,"784313731","Qānūn taʻsīs maṣrif zirāʻī raqm 18 li-sanat 1940 :"
LeBAU,b12434802,"784313800","al-Fallāḥūn /"
LeBAU,b12435120,"784313866","Mushkilāt al-iskān fī al-rīf al-Miṣrī  /"
LeBAU,b1243517x,"784313874","Idārat wa-tanẓīm shuʼūn al-ʻummāl min al-nāḥīyatayn al-fannīyah wa-al-tashrīʻīyah /"
LeBAU,b12436409,"784315270","Iṣlāḥ niẓām al-naqd fi Miṣr /"
LeBAU,b12437359,"784315765","al-Taqrīr al-muqaddam ilá al-jamʻīyah al-ʻumūmīyah al-ʻadīyah al-rābiʻah wa-al-khamsīn /"
LeBAU,b12437463,"784315792","Niẓām al-naqd al-asāsī wa-iḥdāth Maṣrif Sūriyā al-Markazī al-ṣādir bi-mūjab al-marsūm al-tashrīʻī dhī al-raqm 87 wa al-tārīkh 28 Ādhār 1953 /"
LeBAU,b12437505,"784315797","Marāsīm takhtaṣṣ bi-murāqabat iṣdār al-fākihah al-Lubnānīyah."
LeBAU,b12437578,"784315809","al-Qutn fī khamsīn ʻāman /"
LeBAU,b12437888,"784316360","Qiṣṣat al-bitrūl /"
LeBAU,b12438145,"784316391","Ḥarb al-batrūl fī al-Sharq al-Awsaṭ /"
LeBAU,b12438224,"784316421","Ṣūrat al-muqāwalah al-munʻaqidah bayna al-Ḥukūmah al-ʻIrāqīyah wa-Sharikat al-Nafṭ al-Turkīyah al-Maḥdūdah /"
LeBAU,b1243825x,"784316438","Taqrīr ʻan ṣināʻat al-taʻdīn bi-Miṣr /"
LeBAU,b12438388,"784316480","al-Azmah al-iqtiṣādīyah fī al-ʻIrāq :"
LeBAU,b12438959,"784316794","Nafṭuna al-salīb /"
LeBAU,b12439150,"784317782","Marsūm ishtirāʻī raqm 12 ṣādir bi-tārīkh 5 K 2 sanat 1955 :"
LeBAU,b12439496,"784317818","al-Khilāfah fī al-dustūr al-Islāmī /"
LeBAU,b12440061,"784317939","Zayt al-Sharq al-Awsaṭ :"
LeBAU,b12440425,"784318136","Ḥāshīyat al-Bājūrī ʻalá ibn Qāsim /"
LeBAU,b12440656,"784318243","al-taqālīd al-Islāmīyah wa-al-mabādiʼ al-Nāzīyah hal tattafiqān? :"
LeBAU,b12440784,"784318841","Kitāb ʻumdat al-taḥqīq fī al-taqlīd wa-al-talfīq /"
LeBAU,b12440966,"784319029","Dustūr al-Mamlakah al-Lībīyah al-Muttaḥidah :"
LeBAU,b12441314,"784319757","Muʼtamar al-Qāhirah :"
LeBAU,b12441326,"784319759","Mīzānīyat al-dawlah al-ʻIrāqīyah :"
LeBAU,b12441338,"784319765","al-Taʻāwun al-dawlī wa-al-salām al-ʻāmm /"
LeBAU,b12441363,"784319770","Jamʻiyat al-umam wa-al-intidābāt :"
LeBAU,b12441375,"784319772","al-Niẓām al-dustūrī al-Miṣrī :"
LeBAU,b12441387,"784319773","ʻUṣbat al-Umam wa-al-ʻIrāq /"
LeBAU,b12441430,"784319786","Qarār Majlis ʻUṣbat al-Umam wa-mudhakkirātihi bi-shaʼn dukhūl al-ʻIrāq ʻUṣbat al-Umam, fī ijtimāʻihi al-munʻaqid fī 28 Kānūn al-Thānī 1932."
LeBAU,b12441508,"39880704","Kitāb al-Amwāl /"
LeBAU,b12441521,"784319812","al-Taʻlīl al-tārīkhī li-manshaʼ al-imtiyāzāt al-ajnabīyah al-khāṣṣah fī al-Imbarāṭūrīyah al-ʻUthmānīyah /"
LeBAU,b12441570,"784319825","Taqrīr bi-aʻmāl Wizārat al-Mālīyah fī al-dawlah al-Sūrīyah fī ʻahd wazīr al-mālīyah al-sābiq Ḥamdī al-Naṣr."
LeBAU,b1244182x,"784319856","Muʻāhadat taḥāluf bayna Miṣr wa-Barīṭāniyā al-ʻUẓmā, (26 Aghusṭus sanat 1936) /"
LeBAU,b12441946,"784319868","al-Wathāʼiq wa-al-muʻāhadāt fī bilād al-ʻArab :"
